epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.505200,0.031590,4.333230,0.048771,val
2,0.02008000,2.914333,0.271562,2.302130,0.402148,val
3,0.04006000,1.856200,0.487987,1.736470,0.531055,val
4,0.06004000,1.454984,0.586557,1.960502,0.493359,val
5,0.08002000,1.355725,0.612025,1.684934,0.560294,val
6,0.10000000,1.348875,0.615121,2.041956,0.488454,val
7,0.09997267,1.267492,0.636397,1.963311,0.506859,val
8,0.09989069,1.232607,0.645458,1.881208,0.525977,val
9,0.09975417,1.192632,0.657526,1.736540,0.550839,val
10,0.09956325,1.174353,0.660915,1.708407,0.556284,val
11,0.09931813,1.153742,0.667457,1.582601,0.584076,val
12,0.09901910,1.137595,0.670584,1.546064,0.589315,val
13,0.09866646,1.119600,0.675833,1.691152,0.574598,val
14,0.09826062,1.111541,0.677768,1.535284,0.593015,val
15,0.09780201,1.098703,0.681274,1.565389,0.591808,val
16,0.09729113,1.087955,0.684823,1.802825,0.539775,val
17,0.09672855,1.078787,0.686948,2.179434,0.480423,val
18,0.09611488,1.068754,0.688839,1.617581,0.585949,val
19,0.09545078,1.059271,0.691708,1.846864,0.547036,val
20,0.09473699,1.048938,0.694894,1.561519,0.587937,val
21,0.09397429,1.039100,0.697190,1.514921,0.597358,val
22,0.09316351,1.028516,0.700270,1.668160,0.581618,val
23,0.09230553,1.017711,0.703733,1.730790,0.551356,val
24,0.09140130,1.010705,0.705357,1.714841,0.570002,val
25,0.09045180,1.003383,0.707259,1.631298,0.581629,val
26,0.08945808,0.990303,0.709880,1.496739,0.613350,val
27,0.08842121,0.979142,0.714855,1.591603,0.593233,val
28,0.08734234,0.970390,0.715925,1.466836,0.615280,val
29,0.08622264,0.963408,0.718253,1.585629,0.600770,val
30,0.08506333,0.946362,0.721318,1.600568,0.593555,val
31,0.08386569,0.934258,0.725787,1.628666,0.602562,val
32,0.08263103,0.925714,0.727839,1.672109,0.586949,val
33,0.08136068,0.914298,0.731183,1.610271,0.590177,val
34,0.08005605,0.901333,0.733922,1.522295,0.617429,val
35,0.07871856,0.886163,0.738398,1.483411,0.626884,val
36,0.07734967,0.874110,0.741982,1.497645,0.617348,val
37,0.07595088,0.860029,0.745651,1.564068,0.611225,val
38,0.07452372,0.846637,0.748912,1.440069,0.617142,val
39,0.07306975,0.831845,0.752346,1.522488,0.612017,val
40,0.07159056,0.818573,0.756570,1.552430,0.615533,val
41,0.07008776,0.799598,0.761714,1.680728,0.589901,val
42,0.06856301,0.787626,0.765104,1.453840,0.633100,val
43,0.06701796,0.763057,0.772704,1.590895,0.602642,val
44,0.06545430,0.754542,0.774534,1.529427,0.612776,val
45,0.06387376,0.735899,0.779263,1.402547,0.645071,val
46,0.06227805,0.719648,0.783873,1.429465,0.631112,val
47,0.06066892,0.698376,0.790206,1.480351,0.640958,val
48,0.05904812,0.687238,0.793471,1.419286,0.633261,val
49,0.05741744,0.668953,0.799407,1.419777,0.635409,val
50,0.05577865,0.648624,0.804806,1.428726,0.645956,val
51,0.05413355,0.629156,0.809997,1.418114,0.638304,val
52,0.05248394,0.610948,0.815020,1.576343,0.618463,val
53,0.05083161,0.589656,0.821077,1.360162,0.655928,val
54,0.04917839,0.574719,0.825690,1.487210,0.636799,val
55,0.04752606,0.544488,0.834609,1.436869,0.652091,val
56,0.04587645,0.529936,0.838887,1.417398,0.652114,val
57,0.04423135,0.504913,0.846406,1.412298,0.648667,val
58,0.04259256,0.489298,0.851907,1.494905,0.648139,val
59,0.04096188,0.466710,0.857927,1.374167,0.665579,val
60,0.03934108,0.446002,0.864899,1.378787,0.658410,val
61,0.03773195,0.425393,0.870478,1.528416,0.640591,val
62,0.03613624,0.407239,0.876075,1.512388,0.636707,val
63,0.03455570,0.383206,0.883468,1.403551,0.660754,val
64,0.03299204,0.367358,0.888355,1.528348,0.649472,val
65,0.03144699,0.345694,0.894621,1.350070,0.668739,val
66,0.02992224,0.321308,0.902454,1.321981,0.687178,val
67,0.02841944,0.305923,0.908286,1.412679,0.662339,val
68,0.02694025,0.282083,0.915561,1.383864,0.677505,val
69,0.02548628,0.267872,0.920312,1.299570,0.691176,val
70,0.02405912,0.247849,0.926128,1.297540,0.694669,val
71,0.02266033,0.228610,0.932869,1.366782,0.683824,val
72,0.02129144,0.209721,0.938457,1.302995,0.685202,val
73,0.01995395,0.195458,0.943752,1.362247,0.674575,val
74,0.01864932,0.175640,0.949895,1.320931,0.690705,val
75,0.01737897,0.157584,0.955705,1.253713,0.699483,val
76,0.01614431,0.145795,0.959786,1.237061,0.707904,val
77,0.01494667,0.124631,0.966864,1.199670,0.716958,val
78,0.01378736,0.107718,0.971956,1.296028,0.694037,val
79,0.01266766,0.094295,0.976132,1.226243,0.713327,val
80,0.01158879,0.082944,0.980198,1.152458,0.735455,val
81,0.01055192,0.071047,0.983543,1.148459,0.729148,val
82,0.00955820,0.055540,0.988244,1.100269,0.735535,val
83,0.00860870,0.042620,0.992072,1.060057,0.742969,val
84,0.00770447,0.033212,0.994427,1.005455,0.757261,val
85,0.00684649,0.025510,0.996537,0.982147,0.761914,val
86,0.00603571,0.020366,0.997627,0.939061,0.766877,val
87,0.00527301,0.017369,0.998209,0.939183,0.770852,val
88,0.00455922,0.014523,0.998791,0.921275,0.771565,val
89,0.00389512,0.012992,0.999138,0.918173,0.780940,val
90,0.00328145,0.011901,0.999333,0.902947,0.781043,val
91,0.00271887,0.011360,0.999382,0.894501,0.786018,val
92,0.00220799,0.010493,0.999498,0.892176,0.783502,val
93,0.00174938,0.010100,0.999591,0.882164,0.783238,val
94,0.00134354,0.009751,0.999676,0.891435,0.784995,val
95,0.00099090,0.009490,0.999671,0.886750,0.785018,val
96,0.00069187,0.009441,0.999680,0.889637,0.783479,val
97,0.00044675,0.009108,0.999738,0.882995,0.785191,val
98,0.00025583,0.009184,0.999702,0.889374,0.785191,val
99,0.00011931,0.009053,0.999747,0.884811,0.786753,val
100,0.00003733,0.008948,0.999773,0.884664,0.785581,val
