epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.410997,0.042933,4.173836,0.065981,val
2,0.02008000,2.425846,0.372374,1.888882,0.492440,val
3,0.04006000,1.400862,0.601518,1.541191,0.576310,val
4,0.06004000,1.172315,0.659150,1.634888,0.565935,val
5,0.08002000,1.163487,0.663818,1.576669,0.588431,val
6,0.10000000,1.213672,0.651560,2.056896,0.510030,val
7,0.09997267,1.173141,0.662510,1.618766,0.581434,val
8,0.09989069,1.145714,0.669160,1.751842,0.561834,val
9,0.09975417,1.126061,0.674654,1.703679,0.566521,val
10,0.09956325,1.116108,0.677207,1.887965,0.531951,val
11,0.09931813,1.102014,0.681593,1.734240,0.555940,val
12,0.09901910,1.093356,0.683541,1.576749,0.592084,val
13,0.09866646,1.078888,0.687673,1.482179,0.605859,val
14,0.09826062,1.070602,0.690507,1.991319,0.538051,val
15,0.09780201,1.065421,0.691454,1.625378,0.580538,val
16,0.09729113,1.059271,0.692627,1.663867,0.590154,val
17,0.09672855,1.051523,0.694757,1.681913,0.568658,val
18,0.09611488,1.043290,0.697744,1.524690,0.605124,val
19,0.09545078,1.035628,0.699566,1.523869,0.606572,val
20,0.09473699,1.028027,0.701654,1.731460,0.580032,val
21,0.09397429,1.022811,0.703582,1.781638,0.562017,val
22,0.09316351,1.014074,0.704717,1.776166,0.553562,val
23,0.09230553,1.002919,0.707931,1.609571,0.585903,val
24,0.09140130,0.996579,0.709340,1.564684,0.601149,val
25,0.09045180,0.983517,0.712883,1.871234,0.548277,val
26,0.08945808,0.974603,0.715094,1.811199,0.575241,val
27,0.08842121,0.965820,0.717839,1.780876,0.564269,val
28,0.08734234,0.958433,0.720466,1.613490,0.591935,val
29,0.08622264,0.945253,0.723479,1.473627,0.620221,val
30,0.08506333,0.937403,0.725550,1.495798,0.614384,val
31,0.08386569,0.927859,0.728150,1.496047,0.616774,val
32,0.08263103,0.912103,0.731754,1.686599,0.572576,val
33,0.08136068,0.903784,0.735069,1.587381,0.608915,val
34,0.08005605,0.889375,0.738137,1.664425,0.589154,val
35,0.07871856,0.877017,0.741605,1.683710,0.587224,val
36,0.07734967,0.869656,0.742948,1.617617,0.600138,val
37,0.07595088,0.855542,0.747818,1.537188,0.619497,val
38,0.07452372,0.838179,0.751323,1.559205,0.612132,val
39,0.07306975,0.825564,0.755112,1.665728,0.591142,val
