epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.505251,0.031238,4.335287,0.048472,val
2,0.02008000,2.903201,0.273151,2.299929,0.409409,val
3,0.04006000,1.837264,0.494404,1.713560,0.526781,val
4,0.06004000,1.440640,0.589585,1.650932,0.560972,val
5,0.08002000,1.348643,0.614653,1.602437,0.557330,val
6,0.10000000,1.339950,0.617705,1.788123,0.540418,val
7,0.09997267,1.264421,0.637280,1.774411,0.543359,val
8,0.09989069,1.222157,0.648936,1.936164,0.524173,val
9,0.09975417,1.189299,0.657471,1.616379,0.564511,val
10,0.09956325,1.164193,0.663350,1.815534,0.550517,val
11,0.09931813,1.151422,0.667034,1.553634,0.593233,val
12,0.09901910,1.129195,0.673472,1.577000,0.579917,val
13,0.09866646,1.118277,0.676331,1.657759,0.570519,val
14,0.09826062,1.108086,0.679153,1.567515,0.587351,val
15,0.09780201,1.099081,0.681486,1.590575,0.581583,val
16,0.09729113,1.084867,0.685088,1.844777,0.545485,val
17,0.09672855,1.075285,0.688561,1.770146,0.570600,val
18,0.09611488,1.066823,0.689943,1.521877,0.606250,val
19,0.09545078,1.055945,0.693517,1.660714,0.565533,val
20,0.09473699,1.050078,0.694410,1.848811,0.542900,val
21,0.09397429,1.036528,0.697966,1.821182,0.547128,val
22,0.09316351,1.025489,0.702022,1.687503,0.568635,val
23,0.09230553,1.015749,0.703068,1.607738,0.584651,val
24,0.09140130,1.010680,0.704792,1.550795,0.601023,val
25,0.09045180,1.001197,0.706761,1.537699,0.604837,val
26,0.08945808,0.989102,0.710627,1.593876,0.588729,val
27,0.08842121,0.981122,0.713866,1.568293,0.593704,val
28,0.08734234,0.970679,0.714946,1.431150,0.623759,val
29,0.08622264,0.957881,0.720188,1.556971,0.590349,val
30,0.08506333,0.948891,0.720729,1.575544,0.594210,val
31,0.08386569,0.938487,0.724585,1.970478,0.530595,val
32,0.08263103,0.921374,0.728958,1.683449,0.572771,val
33,0.08136068,0.914317,0.730538,1.687053,0.574104,val
34,0.08005605,0.896186,0.735453,1.618427,0.592130,val
35,0.07871856,0.887466,0.738520,1.430576,0.625816,val
36,0.07734967,0.869024,0.742512,1.543144,0.602631,val
37,0.07595088,0.858361,0.745898,1.535276,0.597966,val
38,0.07452372,0.847051,0.749028,1.630625,0.593543,val
39,0.07306975,0.831093,0.753467,1.642080,0.580457,val
40,0.07159056,0.818860,0.756470,1.623741,0.599483,val
41,0.07008776,0.800580,0.762097,1.426567,0.637971,val
42,0.06856301,0.788916,0.764198,1.543412,0.615866,val
43,0.06701796,0.772315,0.769629,1.703375,0.584754,val
44,0.06545430,0.752047,0.774867,1.495329,0.624874,val
45,0.06387376,0.736016,0.779364,1.529199,0.623219,val
46,0.06227805,0.716626,0.784233,1.576400,0.618796,val
47,0.06066892,0.701378,0.789371,1.538338,0.621542,val
48,0.05904812,0.683257,0.794336,1.551031,0.615039,val
49,0.05741744,0.667300,0.799187,1.416767,0.641464,val
50,0.05577865,0.649678,0.804535,1.386239,0.644715,val
51,0.05413355,0.626803,0.810850,1.512041,0.624759,val
52,0.05248394,0.614753,0.813652,1.361730,0.661903,val
53,0.05083161,0.582471,0.822122,1.461905,0.638603,val
54,0.04917839,0.570787,0.827136,1.517471,0.621496,val
55,0.04752606,0.545291,0.834438,1.379687,0.661167,val
56,0.04587645,0.530306,0.838962,1.397349,0.657847,val
57,0.04423135,0.501967,0.847030,1.348443,0.665947,val
58,0.04259256,0.487488,0.851958,1.537824,0.619290,val
59,0.04096188,0.465825,0.858548,1.449402,0.644313,val
60,0.03934108,0.447704,0.863568,1.526325,0.644945,val
61,0.03773195,0.425479,0.870341,1.418463,0.665797,val
62,0.03613624,0.405125,0.876258,1.380218,0.673035,val
63,0.03455570,0.387527,0.882090,1.462263,0.648736,val
64,0.03299204,0.363836,0.889335,1.495820,0.656365,val
65,0.03144699,0.344818,0.895183,1.435482,0.665855,val
66,0.02992224,0.326172,0.901088,1.399946,0.675207,val
67,0.02841944,0.300355,0.908860,1.388304,0.672599,val
68,0.02694025,0.284958,0.914421,1.340480,0.677459,val
69,0.02548628,0.263611,0.921551,1.276179,0.695347,val
70,0.02405912,0.243686,0.928370,1.330800,0.684386,val
71,0.02266033,0.232231,0.931974,1.388316,0.685512,val
72,0.02129144,0.207219,0.939715,1.440667,0.679584,val
73,0.01995395,0.195554,0.943518,1.324073,0.684777,val
74,0.01864932,0.173151,0.950128,1.309514,0.693670,val
75,0.01737897,0.158083,0.955351,1.279030,0.704481,val
76,0.01614431,0.138464,0.962496,1.302180,0.699127,val
77,0.01494667,0.127710,0.965616,1.328812,0.691337,val
78,0.01378736,0.111570,0.970887,1.258008,0.707273,val
79,0.01266766,0.096116,0.975820,1.195110,0.723265,val
80,0.01158879,0.079097,0.981012,1.180003,0.717842,val
81,0.01055192,0.065544,0.985340,1.196910,0.714786,val
82,0.00955820,0.055252,0.988255,1.101822,0.737006,val
83,0.00860870,0.045025,0.991302,1.103773,0.741958,val
84,0.00770447,0.032970,0.994405,1.046788,0.746335,val
85,0.00684649,0.024991,0.996294,1.033456,0.750850,val
86,0.00603571,0.020396,0.997618,0.981163,0.761868,val
87,0.00527301,0.017130,0.998338,0.966475,0.767233,val
88,0.00455922,0.014824,0.998880,0.947825,0.770221,val
89,0.00389512,0.013037,0.999120,0.934986,0.773196,val
90,0.00328145,0.011653,0.999387,0.923809,0.780423,val
91,0.00271887,0.011124,0.999449,0.926623,0.774931,val
92,0.00220799,0.010600,0.999524,0.918403,0.778642,val
93,0.00174938,0.009884,0.999631,0.922901,0.780767,val
94,0.00134354,0.009785,0.999569,0.924800,0.780400,val
95,0.00099090,0.009392,0.999684,0.917918,0.781549,val
96,0.00069187,0.009155,0.999707,0.916818,0.779837,val
97,0.00044675,0.009315,0.999640,0.918889,0.779814,val
98,0.00025583,0.008945,0.999756,0.913569,0.781962,val
99,0.00011931,0.009039,0.999756,0.918581,0.781744,val
100,0.00003733,0.009013,0.999702,0.915289,0.782939,val
