epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.489840,0.034752,4.320397,0.054894,val
2,0.02008000,2.578425,0.345974,2.215523,0.423598,val
3,0.04006000,1.309679,0.632470,2.170044,0.462684,val
4,0.06004000,0.782918,0.771377,2.266050,0.463729,val
5,0.08002000,0.728301,0.785928,2.572978,0.437753,val
6,0.10000000,0.757868,0.779332,2.548734,0.435604,val
7,0.09997267,0.651143,0.808331,2.693906,0.430940,val
8,0.09989069,0.615866,0.820076,2.538268,0.423610,val
9,0.09975417,0.588282,0.828014,2.592592,0.445037,val
10,0.09956325,0.571265,0.831866,2.432284,0.458892,val
11,0.09931813,0.559750,0.835280,2.548724,0.438028,val
12,0.09901910,0.542974,0.841011,2.516512,0.453458,val
13,0.09866646,0.537498,0.842387,2.719461,0.421002,val
14,0.09826062,0.529274,0.845335,2.440027,0.444589,val
15,0.09780201,0.519831,0.847962,2.713506,0.426448,val
16,0.09729113,0.512956,0.850249,2.563746,0.442348,val
17,0.09672855,0.506828,0.852026,2.712460,0.430526,val
18,0.09611488,0.493622,0.856326,2.666247,0.439740,val
19,0.09545078,0.498315,0.854965,2.438256,0.452309,val
20,0.09473699,0.485095,0.858215,2.644158,0.449437,val
21,0.09397429,0.472512,0.862425,2.449040,0.458617,val
22,0.09316351,0.472896,0.862505,2.585372,0.443670,val
23,0.09230553,0.466727,0.863268,2.710871,0.424828,val
24,0.09140130,0.455875,0.867408,2.777122,0.420795,val
25,0.09045180,0.448848,0.869265,2.521155,0.468509,val
26,0.08945808,0.446882,0.869971,2.622746,0.445496,val
27,0.08842121,0.431259,0.874414,2.475101,0.448437,val
28,0.08734234,0.429879,0.874964,2.438243,0.460248,val
29,0.08622264,0.419549,0.877850,2.593979,0.455411,val
30,0.08506333,0.407804,0.880337,2.572082,0.431778,val
31,0.08386569,0.403697,0.882905,2.643208,0.454308,val
32,0.08263103,0.392943,0.886038,2.530786,0.460041,val
33,0.08136068,0.387626,0.886724,2.455466,0.460340,val
34,0.08005605,0.379464,0.889108,2.720407,0.436926,val
35,0.07871856,0.369511,0.891717,2.739681,0.440085,val
36,0.07734967,0.356085,0.896488,2.520949,0.470841,val
37,0.07595088,0.350180,0.898782,2.537935,0.451321,val
38,0.07452372,0.342340,0.900618,2.622106,0.448725,val
39,0.07306975,0.334735,0.902362,2.590779,0.465993,val
40,0.07159056,0.319373,0.907525,2.490324,0.463132,val
41,0.07008776,0.315671,0.908274,2.505615,0.458352,val
42,0.06856301,0.301438,0.912346,2.554100,0.452826,val
43,0.06701796,0.290487,0.916085,2.788472,0.440625,val
44,0.06545430,0.282497,0.919009,2.472544,0.473817,val
45,0.06387376,0.274470,0.920979,2.521531,0.463523,val
46,0.06227805,0.260744,0.925740,2.566181,0.474207,val
47,0.06066892,0.252123,0.928080,2.447698,0.461466,val
48,0.05904812,0.240279,0.930968,2.411588,0.463913,val
49,0.05741744,0.231681,0.933706,2.492330,0.465648,val
50,0.05577865,0.220567,0.937422,2.543971,0.449678,val
51,0.05413355,0.212112,0.940592,2.584036,0.457008,val
52,0.05248394,0.203196,0.942971,2.487774,0.465165,val
53,0.05083161,0.188409,0.947579,2.492487,0.464304,val
54,0.04917839,0.185099,0.948194,2.416246,0.484352,val
55,0.04752606,0.173402,0.952102,2.576328,0.452332,val
56,0.04587645,0.162738,0.955914,2.418243,0.457709,val
57,0.04423135,0.155219,0.958045,2.472750,0.469301,val
58,0.04259256,0.146444,0.960705,2.348633,0.469187,val
59,0.04096188,0.138498,0.962790,2.584415,0.448794,val
60,0.03934108,0.117248,0.969920,2.357773,0.479860,val
61,0.03773195,0.130179,0.966314,2.429435,0.476850,val
62,0.03613624,0.091713,0.977897,2.464886,0.459455,val
63,0.03455570,0.135211,0.964515,2.314379,0.489913,val
64,0.03299204,0.047321,0.990431,1.997227,0.533042,val
65,0.03144699,0.013676,0.998996,1.826281,0.566590,val
66,0.02992224,0.014086,0.999395,2.095811,0.508766,val
67,0.02841944,0.424727,0.885436,2.101004,0.516556,val
68,0.02694025,0.025853,0.995844,1.839381,0.561167,val
69,0.02548628,0.008758,0.999667,1.790479,0.576643,val
70,0.02405912,0.009181,0.999778,1.820358,0.576574,val
71,0.02266033,0.010312,0.999782,1.887777,0.574874,val
72,0.02129144,0.440204,0.884075,2.135380,0.506239,val
73,0.01995395,0.049202,0.989592,1.890872,0.551482,val
74,0.01864932,0.007732,0.999569,1.788362,0.576264,val
75,0.01737897,0.007277,0.999804,1.816780,0.575138,val
76,0.01614431,0.008349,0.999787,1.868901,0.571519,val
77,0.01494667,0.008898,0.999796,1.878811,0.574793,val
78,0.01378736,0.008762,0.999804,1.902612,0.576356,val
79,0.01266766,0.008913,0.999800,1.895762,0.579998,val
80,0.01158879,0.009002,0.999804,1.936407,0.573380,val
81,0.01055192,0.009888,0.999822,1.916492,0.575333,val
82,0.00955820,0.311142,0.921049,2.151090,0.485030,val
83,0.00860870,0.104091,0.976736,1.839798,0.564131,val
84,0.00770447,0.006256,0.999680,1.798543,0.573357,val
85,0.00684649,0.004695,0.999809,1.799086,0.581468,val
86,0.00603571,0.005064,0.999836,1.820889,0.578952,val
87,0.00527301,0.005605,0.999876,1.838942,0.579779,val
88,0.00455922,0.006050,0.999849,1.864502,0.576999,val
89,0.00389512,0.006283,0.999849,1.880809,0.578240,val
90,0.00328145,0.006508,0.999862,1.893593,0.578022,val
91,0.00271887,0.006563,0.999916,1.910580,0.576482,val
92,0.00220799,0.006552,0.999879,1.916367,0.579389,val
93,0.00174938,0.006622,0.999893,1.929423,0.576482,val
94,0.00134354,0.006644,0.999893,1.934156,0.578952,val
95,0.00099090,0.006610,0.999911,1.939109,0.576068,val
96,0.00069187,0.006626,0.999929,1.941867,0.576241,val
97,0.00044675,0.006566,0.999938,1.949720,0.576873,val
98,0.00025583,0.006583,0.999929,1.954293,0.573920,val
99,0.00011931,0.006565,0.999929,1.944852,0.578631,val
100,0.00003733,0.006561,0.999947,1.947694,0.575092,val
