epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,4.629914,0.015171,4.554143,0.023150,val,0.1
2,0.02008000,3.686749,0.139276,3.292735,0.212316,val,0.1
3,0.04006000,2.942392,0.263517,2.810650,0.290993,val,0.1
4,0.06004000,2.365741,0.378988,2.737857,0.331629,val,0.1
5,0.08002000,1.975911,0.461083,2.084089,0.432698,val,0.1
6,0.10000000,1.726452,0.518639,2.056796,0.452137,val,0.1
7,0.09997267,1.429407,0.588542,1.983504,0.479216,val,0.1
8,0.09989069,1.225751,0.642179,2.114661,0.470600,val,0.1
9,0.09975417,1.071539,0.683764,2.011725,0.491280,val,0.1
10,0.09956325,0.935930,0.720047,2.061393,0.470795,val,0.1
11,0.09931813,0.845928,0.744271,2.085508,0.473460,val,0.1
12,0.09901910,0.737233,0.777149,2.412485,0.430974,val,0.1
13,0.09866646,0.671950,0.794806,2.331449,0.440154,val,0.1
14,0.09826062,0.598887,0.817620,2.358463,0.452872,val,0.1
15,0.09780201,0.569160,0.827469,2.356524,0.456330,val,0.1
16,0.09729113,0.527309,0.839235,2.829091,0.434777,val,0.1
17,0.09672855,0.526994,0.838335,2.554028,0.453068,val,0.1
18,0.09611488,0.469588,0.855614,2.466063,0.459272,val,0.1
19,0.09545078,0.450317,0.862830,2.528814,0.449035,val,0.1
20,0.09473699,0.431977,0.867806,2.657407,0.432387,val,0.1
21,0.09397429,0.416967,0.873523,2.462242,0.463913,val,0.1
22,0.09316351,0.438195,0.867015,2.524298,0.461144,val,0.1
23,0.09230553,0.381339,0.884608,2.585262,0.452608,val,0.1
24,0.09140130,0.411721,0.873779,2.660219,0.446427,val,0.1
25,0.09045180,0.355015,0.892995,2.440652,0.472932,val,0.1
26,0.08945808,0.367079,0.889722,2.475292,0.466889,val,0.1
27,0.08842121,0.366764,0.889096,2.828565,0.446967,val,0.1
28,0.08734234,0.331024,0.899703,2.481855,0.456388,val,0.1
29,0.08622264,0.357572,0.893094,2.729167,0.440441,val,0.1
30,0.08506333,0.308933,0.909461,2.441272,0.472335,val,0.1
31,0.08386569,0.298900,0.911209,2.658491,0.444324,val,0.1
32,0.08263103,0.309676,0.908553,2.663470,0.463936,val,0.1
33,0.08136068,0.310440,0.908166,2.677538,0.458123,val,0.1
34,0.08005605,0.278190,0.918787,2.596353,0.465016,val,0.1
35,0.07871856,0.260036,0.922713,2.504517,0.485064,val,0.1
36,0.07734967,0.265713,0.921653,2.656594,0.448863,val,0.1
37,0.07595088,0.262834,0.923868,2.400714,0.482583,val,0.1
38,0.07452372,0.266039,0.921367,2.623095,0.464028,val,0.1
39,0.07306975,0.237830,0.931189,2.398897,0.484226,val,0.1
40,0.07159056,0.206069,0.940242,2.657890,0.451448,val,0.1
41,0.07008776,0.218224,0.936785,2.333931,0.493233,val,0.1
42,0.06856301,0.201617,0.941830,2.565189,0.471553,val,0.1
43,0.06701796,0.203529,0.942716,2.537218,0.465636,val,0.1
44,0.06545430,0.191686,0.946708,2.481298,0.490602,val,0.1
45,0.06387376,0.167191,0.953655,2.444075,0.492613,val,0.1
46,0.06227805,0.151192,0.959194,2.354498,0.490062,val,0.1
47,0.06066892,0.135562,0.964237,2.350462,0.483180,val,0.1
48,0.05904812,0.137811,0.963596,2.453482,0.480676,val,0.1
49,0.05741744,0.144529,0.961983,2.555410,0.471645,val,0.1
50,0.05577865,0.178694,0.950235,2.528422,0.459593,val,0.1
51,0.05413355,0.192308,0.946257,2.393226,0.489040,val,0.1
52,0.05248394,0.127556,0.966454,2.223086,0.513454,val,0.1
53,0.05083161,0.056335,0.988614,1.974596,0.547932,val,0.1
54,0.04917839,0.018337,0.998113,1.649060,0.594646,val,0.1
55,0.04752606,0.008188,0.999423,1.572426,0.603240,val,0.1
56,0.04587645,0.006881,0.999600,1.551682,0.615303,val,0.1
57,0.04423135,0.007858,0.999645,1.557482,0.613545,val,0.1
58,0.04259256,0.008486,0.999490,1.566001,0.614131,val,0.1
59,0.04096188,0.008629,0.999600,1.600578,0.614499,val,0.1
60,0.03934108,0.008828,0.999534,1.608337,0.619773,val,0.1
61,0.03773195,0.009062,0.999556,1.645116,0.616349,val,0.1
62,0.03613624,0.008590,0.999623,1.645438,0.619060,val,0.1
63,0.03455570,0.009041,0.999623,1.677345,0.609226,val,0.1
64,0.03299204,0.008683,0.999734,1.678291,0.616648,val,0.1
65,0.03144699,0.008923,0.999645,1.681210,0.613327,val,0.1
66,0.02992224,0.008990,0.999711,1.696296,0.608008,val,0.1
67,0.02841944,0.009387,0.999689,1.722861,0.610202,val,0.1
68,0.02694025,0.009094,0.999689,1.700461,0.611179,val,0.1
69,0.02548628,0.009041,0.999689,1.699097,0.615866,val,0.1
70,0.02405912,0.009033,0.999711,1.710525,0.605951,val,0.1
71,0.02266033,0.009181,0.999756,1.709728,0.608835,val,0.1
72,0.02129144,0.008735,0.999711,1.699555,0.612420,val,0.1
73,0.01995395,0.008862,0.999689,1.690935,0.618015,val,0.1
74,0.01864932,0.014848,0.998806,2.324844,0.468555,val,0.1
75,0.01737897,1.306097,0.650955,2.177793,0.466544,val,0.1
76,0.01614431,0.432433,0.884899,2.023094,0.500827,val,0.1
77,0.01494667,0.114214,0.975352,1.828365,0.565349,val,0.1
78,0.01378736,0.024508,0.997181,1.646749,0.603022,val,0.1
79,0.01266766,0.007712,0.999534,1.596917,0.610352,val,0.1
80,0.01158879,0.005265,0.999600,1.583208,0.614281,val,0.1
81,0.01055192,0.004596,0.999578,1.575119,0.614844,val,0.1
82,0.00955820,0.004067,0.999734,1.570722,0.616602,val,0.1
83,0.00860870,0.004052,0.999800,1.569508,0.616579,val,0.1
84,0.00770447,0.004071,0.999800,1.570651,0.617188,val,0.1
85,0.00684649,0.004270,0.999716,1.573621,0.618336,val,0.1
86,0.00603571,0.004187,0.999778,1.576378,0.618704,val,0.1
87,0.00527301,0.004372,0.999756,1.575220,0.616797,val,0.1
88,0.00455922,0.004356,0.999734,1.576507,0.620508,val,0.1
89,0.00389512,0.004442,0.999800,1.577694,0.619164,val,0.1
90,0.00328145,0.004540,0.999734,1.587031,0.619531,val,0.1
91,0.00271887,0.004483,0.999845,1.583972,0.619899,val,0.1
92,0.00220799,0.004563,0.999822,1.584980,0.620485,val,0.1
93,0.00174938,0.004537,0.999889,1.586489,0.618578,val,0.1
94,0.00134354,0.004566,0.999845,1.591629,0.619704,val,0.1
95,0.00099090,0.004591,0.999822,1.596026,0.619141,val,0.1
96,0.00069187,0.004573,0.999822,1.589623,0.618532,val,0.1
97,0.00044675,0.004657,0.999800,1.589336,0.618164,val,0.1
98,0.00025583,0.004516,0.999822,1.592025,0.618578,val,0.1
99,0.00011931,0.004573,0.999889,1.593617,0.620531,val,0.1
100,0.00003733,0.004553,0.999867,1.589815,0.619508,val,0.1
