epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
1,0.00010000,4.634988,0.014379,0.016161,0.014367,0.011118,4.575549,0.019473,0.017275,0.020264,0.015382,val
2,0.02008000,3.856294,0.107369,0.094197,0.107264,0.096201,3.489506,0.181418,0.188592,0.184023,0.162569,val
3,0.04006000,3.398193,0.187870,0.172828,0.187774,0.176687,3.075117,0.249191,0.272529,0.251419,0.232910,val
4,0.06004000,2.998053,0.260040,0.245238,0.259921,0.249680,2.932736,0.272393,0.290316,0.274185,0.254171,val
5,0.08002000,2.695948,0.314591,0.302135,0.314543,0.306011,2.754906,0.308658,0.340471,0.311623,0.294363,val
6,0.10000000,2.449012,0.362539,0.352336,0.362616,0.355418,2.614255,0.334841,0.382183,0.338153,0.324590,val
7,0.09999351,2.206511,0.410517,0.401841,0.410427,0.404552,2.407512,0.382918,0.432401,0.387416,0.376914,val
8,0.09997405,2.027331,0.452090,0.443950,0.452030,0.446491,2.235662,0.413130,0.449012,0.415073,0.409631,val
9,0.09994162,1.883742,0.486038,0.479418,0.486009,0.481581,2.118450,0.438362,0.460802,0.442536,0.432536,val
10,0.09989622,1.768654,0.508698,0.502282,0.508656,0.504309,2.091943,0.457817,0.482684,0.462352,0.450949,val
11,0.09983788,1.652552,0.538452,0.533527,0.538339,0.535127,1.964791,0.486580,0.513446,0.489639,0.482314,val
12,0.09976661,1.559456,0.561133,0.556727,0.561346,0.558235,2.057589,0.480275,0.499225,0.480829,0.471031,val
13,0.09968241,1.484671,0.577860,0.574041,0.577783,0.575239,1.884282,0.504856,0.535780,0.505636,0.504727,val
14,0.09958533,1.395412,0.602692,0.599564,0.602805,0.600553,1.977514,0.493431,0.509721,0.496565,0.484622,val
15,0.09947537,1.331338,0.617553,0.615017,0.617686,0.615832,1.948513,0.496012,0.515681,0.500698,0.492179,val
16,0.09935258,1.273879,0.628164,0.626116,0.628415,0.626875,1.879919,0.518722,0.546526,0.522108,0.517513,val
17,0.09921698,1.214015,0.643152,0.641246,0.643545,0.641972,1.860105,0.524546,0.546016,0.527179,0.522822,val
18,0.09906860,1.158439,0.655003,0.653055,0.655295,0.653772,1.964310,0.505326,0.558106,0.508709,0.512208,val
19,0.09890749,1.103147,0.671411,0.669861,0.671439,0.670302,1.928926,0.517261,0.537146,0.518455,0.513070,val
20,0.09873369,1.043818,0.687271,0.685898,0.687386,0.686331,1.842932,0.537784,0.556554,0.540755,0.534958,val
21,0.09854724,1.007106,0.697210,0.695743,0.697185,0.696201,1.858526,0.534546,0.564403,0.535786,0.537135,val
22,0.09834819,0.957793,0.712585,0.711634,0.712869,0.711987,1.824624,0.541432,0.560624,0.543169,0.540885,val
23,0.09813659,0.924141,0.719468,0.718383,0.719646,0.718792,1.856837,0.537174,0.559359,0.540818,0.535950,val
24,0.09791250,0.886769,0.726625,0.725766,0.726694,0.726040,1.970454,0.523086,0.547627,0.527643,0.516171,val
25,0.09767598,0.837677,0.742957,0.742600,0.743225,0.742712,1.928595,0.540306,0.561307,0.543852,0.537732,val
26,0.09742708,0.802551,0.752946,0.752681,0.753045,0.752686,1.862028,0.555063,0.574780,0.558678,0.556350,val
27,0.09716587,0.773766,0.759627,0.759302,0.759766,0.759378,1.901224,0.538294,0.564741,0.541470,0.539108,val
28,0.09689243,0.741324,0.769519,0.769350,0.769660,0.769379,1.927891,0.549127,0.568301,0.551612,0.548499,val
29,0.09660681,0.707738,0.777847,0.777468,0.777958,0.777557,2.020662,0.534922,0.555594,0.537320,0.530893,val
30,0.09630910,0.691913,0.783288,0.783257,0.783556,0.783282,1.966227,0.544705,0.568430,0.548272,0.547368,val
31,0.09599937,0.657137,0.793400,0.793475,0.793526,0.793385,1.977905,0.547725,0.565371,0.550394,0.543396,val
32,0.09567771,0.616613,0.804305,0.804112,0.804455,0.804153,2.063005,0.530798,0.557859,0.534850,0.531934,val
33,0.09534418,0.599059,0.810206,0.810112,0.810269,0.810105,2.050417,0.539579,0.556060,0.541068,0.536926,val
34,0.09499889,0.586662,0.812475,0.812691,0.812671,0.812597,1.971692,0.551673,0.563112,0.553431,0.547471,val
35,0.09464193,0.558291,0.822089,0.822395,0.822388,0.822305,2.057811,0.547256,0.568922,0.549578,0.546517,val
36,0.09427337,0.554304,0.820931,0.820998,0.821206,0.820995,2.074791,0.547649,0.572550,0.549004,0.548060,val
37,0.09389333,0.538757,0.826843,0.826912,0.826992,0.826841,2.107036,0.539620,0.568817,0.539083,0.540055,val
38,0.09350190,0.501774,0.840076,0.840311,0.840238,0.840187,2.181545,0.538394,0.561826,0.540278,0.537762,val
39,0.09309917,0.505847,0.837469,0.837780,0.837835,0.837730,2.140514,0.544945,0.564012,0.548295,0.541760,val
