epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
1,0.00010000,4.633408,0.014220,0.014452,0.014222,0.010999,4.568948,0.020833,0.023049,0.021319,0.016941,val
2,0.02008000,3.849748,0.110966,0.098618,0.110869,0.100088,3.462623,0.180608,0.202840,0.183372,0.158268,val
3,0.04006000,3.362781,0.192602,0.177841,0.192623,0.181590,3.260580,0.214861,0.236691,0.216206,0.198186,val
4,0.06004000,3.011947,0.250948,0.237814,0.250965,0.241494,3.003160,0.257637,0.313717,0.257385,0.243604,val
5,0.08002000,2.715762,0.305707,0.293602,0.305771,0.297148,2.669773,0.320101,0.345767,0.320702,0.304069,val
6,0.10000000,2.485387,0.350871,0.340423,0.351077,0.343660,2.652586,0.332037,0.374335,0.335532,0.319289,val
7,0.09999351,2.235284,0.404132,0.394806,0.404121,0.397676,2.353012,0.390813,0.426704,0.394170,0.380606,val
8,0.09997405,2.072870,0.438207,0.429634,0.438297,0.432299,2.289985,0.402514,0.432980,0.404798,0.397403,val
9,0.09994162,1.935128,0.470439,0.463561,0.470584,0.465868,2.207535,0.426960,0.444269,0.430359,0.417214,val
10,0.09989622,1.809688,0.496229,0.489937,0.496317,0.491864,2.225895,0.413722,0.441771,0.416353,0.405185,val
11,0.09983788,1.710023,0.521280,0.515918,0.521454,0.517810,2.034753,0.457242,0.488017,0.460545,0.455148,val
12,0.09976661,1.626382,0.542456,0.537737,0.542853,0.539447,2.029268,0.467700,0.488400,0.469830,0.460325,val
13,0.09968241,1.543923,0.559012,0.554759,0.559251,0.556158,2.040230,0.473425,0.498990,0.475484,0.470218,val
14,0.09958533,1.471385,0.577979,0.574547,0.578335,0.575806,2.009869,0.476621,0.489624,0.477708,0.469132,val
15,0.09947537,1.399678,0.597714,0.594537,0.597914,0.595631,1.972553,0.492246,0.511168,0.494107,0.489599,val
16,0.09935258,1.341194,0.608135,0.605020,0.608223,0.606094,1.993796,0.493079,0.519236,0.493734,0.489794,val
17,0.09921698,1.281213,0.624628,0.622032,0.624959,0.622925,1.994210,0.492188,0.510956,0.493251,0.488830,val
18,0.09906860,1.226464,0.638995,0.636711,0.639283,0.637591,2.011476,0.487789,0.514022,0.488772,0.484958,val
19,0.09890749,1.171144,0.653924,0.651765,0.654059,0.652482,2.067015,0.479876,0.511489,0.479399,0.476947,val
20,0.09873369,1.119487,0.664732,0.663056,0.664880,0.663608,2.021851,0.509472,0.526027,0.509951,0.504419,val
21,0.09854724,1.066467,0.680345,0.678667,0.680586,0.679316,1.930628,0.515273,0.532499,0.515506,0.510819,val
22,0.09834819,1.026210,0.687494,0.685965,0.687798,0.686560,2.053061,0.498457,0.527093,0.499656,0.495942,val
23,0.09813659,0.985968,0.700048,0.698894,0.700310,0.699308,2.014778,0.506669,0.543571,0.509531,0.508146,val
24,0.09791250,0.941690,0.714168,0.713231,0.714427,0.713617,2.096153,0.502346,0.522639,0.506998,0.496545,val
25,0.09767598,0.896999,0.722866,0.722639,0.723473,0.722814,2.091121,0.508522,0.533117,0.509376,0.507529,val
26,0.09742708,0.877802,0.728881,0.728289,0.729144,0.728533,2.018499,0.510927,0.537384,0.514334,0.513059,val
27,0.09716587,0.831866,0.743166,0.742997,0.743505,0.743077,2.076393,0.504675,0.526541,0.507297,0.503463,val
28,0.09689243,0.794862,0.752370,0.751909,0.752655,0.752086,2.134433,0.507988,0.530236,0.510783,0.507983,val
29,0.09660681,0.779301,0.756012,0.755692,0.756134,0.755752,2.210679,0.498933,0.516204,0.501379,0.495123,val
30,0.09630910,0.734516,0.768448,0.768009,0.768674,0.768162,2.079298,0.515484,0.544072,0.519832,0.518899,val
31,0.09599937,0.701996,0.779957,0.779815,0.780192,0.779893,2.196744,0.512962,0.540401,0.513923,0.512043,val
32,0.09567771,0.674086,0.785853,0.786066,0.786323,0.786086,2.250348,0.506352,0.534862,0.509731,0.506810,val
33,0.09534418,0.650312,0.792983,0.793129,0.793227,0.793069,2.249429,0.511402,0.528143,0.515487,0.509386,val
34,0.09499889,0.631902,0.796903,0.797119,0.797270,0.797077,2.271922,0.512704,0.531461,0.514705,0.510309,val
35,0.09464193,0.612577,0.804875,0.805181,0.805206,0.805092,2.362543,0.515490,0.535505,0.518272,0.511806,val
36,0.09427337,0.583458,0.812367,0.812467,0.812654,0.812473,2.217009,0.519631,0.539213,0.521610,0.519731,val
37,0.09389333,0.561306,0.819228,0.819299,0.819462,0.819283,2.212992,0.515168,0.531914,0.517858,0.514759,val
38,0.09350190,0.523726,0.832330,0.832735,0.832707,0.832621,2.319057,0.528153,0.546146,0.529949,0.526699,val
39,0.09309917,0.523741,0.833240,0.833454,0.833560,0.833420,2.336967,0.516493,0.531978,0.518653,0.512839,val
40,0.09268526,0.533121,0.829257,0.829413,0.829407,0.829321,2.349057,0.527778,0.548807,0.530951,0.525158,val
41,0.09226028,0.493076,0.841651,0.841707,0.841774,0.841666,2.451487,0.508346,0.530641,0.513337,0.507063,val
42,0.09182432,0.491046,0.840827,0.840866,0.841030,0.840851,2.354415,0.518212,0.530731,0.518641,0.515086,val
43,0.09137752,0.472840,0.847864,0.848090,0.848098,0.848002,2.398724,0.510182,0.536540,0.510471,0.509185,val
44,0.09091997,0.448776,0.854319,0.854404,0.854445,0.854360,2.477020,0.511953,0.532226,0.515493,0.511540,val
45,0.09045180,0.432685,0.859498,0.859738,0.859785,0.859691,2.416494,0.508704,0.524292,0.509339,0.505937,val
46,0.08997314,0.431842,0.861688,0.861873,0.861839,0.861762,2.510398,0.506094,0.536019,0.509291,0.509221,val
47,0.08948410,0.418426,0.863223,0.863697,0.863624,0.863595,2.377498,0.531807,0.547041,0.534087,0.530572,val
48,0.08898482,0.419153,0.864706,0.864782,0.864829,0.864738,2.468175,0.514798,0.536491,0.517060,0.514253,val
49,0.08847542,0.378140,0.878585,0.878910,0.878885,0.878839,2.437312,0.538969,0.554672,0.539934,0.536271,val
50,0.08795603,0.377007,0.877974,0.877982,0.878039,0.877952,2.415561,0.519115,0.537629,0.521863,0.518262,val
51,0.08742679,0.373842,0.877275,0.877543,0.877423,0.877412,2.510619,0.525156,0.544876,0.526355,0.523682,val
52,0.08688785,0.347672,0.887563,0.887691,0.887694,0.887628,2.417433,0.516927,0.528902,0.520164,0.514290,val
53,0.08633932,0.355362,0.884460,0.884588,0.884610,0.884548,2.512279,0.512252,0.527378,0.514732,0.508732,val
54,0.08578137,0.338719,0.891459,0.891750,0.891675,0.891654,2.456440,0.526241,0.539366,0.526570,0.522616,val
