epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
1,0.00010000,4.639606,0.013428,0.011211,0.013424,0.005196,4.571749,0.017727,0.010438,0.017087,0.008652,val
2,0.02008000,3.848375,0.109922,0.098250,0.110011,0.100685,3.443744,0.177011,0.194764,0.175420,0.142583,val
3,0.04006000,3.218201,0.210617,0.193784,0.210796,0.198058,3.056180,0.252344,0.287126,0.247358,0.222358,val
4,0.06004000,2.729878,0.297874,0.283330,0.298107,0.287925,2.726552,0.323323,0.407280,0.319372,0.305050,val
5,0.08002000,2.338893,0.376507,0.365291,0.376873,0.369190,2.339524,0.382801,0.445874,0.380625,0.367566,val
6,0.10000000,2.090336,0.429537,0.421178,0.429960,0.424138,2.276515,0.395393,0.509072,0.392400,0.386742,val
7,0.09999351,1.865243,0.483721,0.476210,0.484174,0.479008,2.008955,0.459386,0.505828,0.457612,0.444098,val
8,0.09997405,1.707640,0.520276,0.513632,0.520632,0.516043,2.110268,0.437489,0.532635,0.432245,0.425851,val
9,0.09994162,1.591271,0.547662,0.542197,0.548110,0.544360,2.082261,0.447472,0.544108,0.443899,0.440712,val
10,0.09989622,1.501026,0.572275,0.567504,0.572574,0.569329,1.757455,0.523932,0.574747,0.519624,0.516212,val
11,0.09983788,1.434151,0.592117,0.587894,0.592502,0.589477,1.899799,0.510030,0.564980,0.505727,0.488980,val
12,0.09976661,1.390734,0.601863,0.598400,0.602173,0.599580,1.816348,0.516579,0.579746,0.513688,0.510293,val
13,0.09968241,1.341657,0.612322,0.609558,0.612659,0.610536,1.783231,0.525839,0.597254,0.518061,0.518554,val
14,0.09958533,1.303607,0.623274,0.619907,0.623695,0.621298,1.728128,0.532985,0.606208,0.531162,0.526830,val
15,0.09947537,1.260579,0.633505,0.630563,0.633886,0.631756,1.805497,0.522472,0.617455,0.519945,0.520379,val
16,0.09935258,1.241085,0.642615,0.639856,0.642932,0.640904,1.693356,0.550919,0.615062,0.546864,0.547705,val
17,0.09921698,1.207723,0.648733,0.646468,0.649057,0.647317,1.719432,0.537511,0.605882,0.534340,0.531800,val
18,0.09906860,1.180453,0.655088,0.653350,0.655390,0.653965,1.726224,0.542498,0.619364,0.540510,0.541745,val
19,0.09890749,1.158249,0.662514,0.660832,0.662913,0.661455,1.926328,0.510903,0.596105,0.507990,0.499916,val
20,0.09873369,1.137529,0.670321,0.668514,0.670603,0.669132,1.589756,0.578355,0.624545,0.573405,0.566520,val
21,0.09854724,1.119735,0.673690,0.671931,0.674083,0.672662,1.890266,0.520439,0.594339,0.517828,0.509410,val
22,0.09834819,1.099084,0.679046,0.677275,0.679565,0.677983,1.844264,0.522932,0.623927,0.518182,0.528458,val
23,0.09813659,1.087086,0.679172,0.677761,0.679558,0.678227,1.602913,0.560593,0.630485,0.557685,0.557474,val
24,0.09791250,1.068165,0.685902,0.684792,0.686309,0.685220,1.533243,0.588913,0.646483,0.583126,0.584878,val
25,0.09767598,1.046468,0.692119,0.690746,0.692421,0.691258,1.811586,0.550080,0.622723,0.547741,0.542996,val
26,0.09742708,1.043921,0.692896,0.691583,0.693270,0.692017,1.609136,0.577493,0.626027,0.572403,0.570288,val
27,0.09716587,1.029529,0.696030,0.695214,0.696411,0.695517,1.575470,0.567682,0.620001,0.567752,0.559970,val
28,0.09689243,1.018512,0.699428,0.698480,0.699754,0.698833,1.752328,0.551103,0.630661,0.548153,0.547171,val
29,0.09660681,1.007830,0.702642,0.701800,0.702918,0.702051,1.589922,0.576746,0.623477,0.571736,0.564662,val
30,0.09630910,0.994878,0.706462,0.705510,0.706830,0.705861,1.462926,0.598943,0.643262,0.592723,0.588679,val
31,0.09599937,0.990718,0.705685,0.704895,0.706226,0.705288,1.606979,0.577493,0.647572,0.572302,0.575986,val
32,0.09567771,0.977984,0.711431,0.710488,0.711704,0.710827,1.503059,0.597082,0.649066,0.591964,0.591053,val
33,0.09534418,0.970974,0.710444,0.709553,0.710874,0.709895,1.651526,0.565349,0.628327,0.559205,0.559725,val
34,0.09499889,0.961880,0.714804,0.713963,0.715071,0.714264,1.486114,0.598208,0.636979,0.593396,0.592569,val
35,0.09464193,0.945352,0.718572,0.717842,0.719035,0.718159,1.472273,0.604653,0.656644,0.600297,0.599560,val
36,0.09427337,0.949513,0.718947,0.717913,0.719138,0.718274,1.671067,0.579435,0.645439,0.574241,0.571329,val
37,0.09389333,0.938666,0.720711,0.720118,0.720958,0.720263,1.579380,0.588074,0.659878,0.585574,0.581295,val
38,0.09350190,0.936939,0.719953,0.719200,0.720286,0.719438,1.689996,0.574966,0.655034,0.572159,0.578031,val
39,0.09309917,0.926560,0.724969,0.724272,0.725268,0.724458,1.554057,0.587776,0.642184,0.584596,0.583041,val
40,0.09268526,0.910354,0.730740,0.730067,0.731028,0.730281,1.529159,0.593199,0.653173,0.591772,0.591989,val
41,0.09226028,0.912143,0.728052,0.727100,0.728270,0.727433,1.495629,0.607364,0.660867,0.605766,0.600680,val
42,0.09182432,0.892562,0.731618,0.730972,0.731881,0.731184,1.597902,0.582537,0.632876,0.577383,0.574879,val
43,0.09137752,0.893284,0.733413,0.732764,0.733733,0.733018,1.506565,0.600620,0.657393,0.596638,0.597376,val
44,0.09091997,0.888387,0.734634,0.733798,0.734983,0.734174,1.544912,0.595990,0.649446,0.592235,0.589854,val
45,0.09045180,0.875625,0.738254,0.737617,0.738504,0.737857,1.556201,0.596553,0.652343,0.592378,0.591381,val
46,0.08997314,0.863289,0.741786,0.741425,0.742142,0.741515,1.421210,0.622748,0.657579,0.615981,0.614477,val
47,0.08948410,0.855479,0.743551,0.743103,0.743863,0.743261,1.754492,0.556468,0.643942,0.556650,0.556585,val
48,0.08898482,0.870193,0.738972,0.738375,0.739324,0.738600,1.491945,0.609789,0.662862,0.605560,0.607883,val
49,0.08847542,0.853735,0.744163,0.743731,0.744640,0.743960,1.535102,0.601149,0.642379,0.595522,0.594637,val
50,0.08795603,0.847546,0.748686,0.747957,0.748988,0.748234,1.771366,0.564499,0.642727,0.560978,0.565483,val
51,0.08742679,0.843493,0.748123,0.747913,0.748435,0.747945,1.578296,0.597679,0.651855,0.591504,0.593849,val
52,0.08688785,0.835291,0.751218,0.750767,0.751570,0.750905,1.561073,0.589120,0.649085,0.584918,0.589089,val
53,0.08633932,0.818275,0.753319,0.753202,0.753719,0.753263,1.661525,0.580974,0.637306,0.575201,0.578088,val
54,0.08578137,0.832020,0.751344,0.751094,0.751601,0.751126,1.653963,0.571404,0.646905,0.568371,0.569012,val
55,0.08521413,0.814403,0.753997,0.753607,0.754385,0.753744,1.515574,0.608433,0.655555,0.602164,0.601249,val
56,0.08463775,0.809427,0.756069,0.755882,0.756380,0.755916,1.385824,0.628562,0.660455,0.624018,0.619757,val
57,0.08405239,0.791770,0.760283,0.760075,0.760520,0.760107,1.611582,0.584180,0.655367,0.577101,0.582855,val
58,0.08345818,0.793970,0.761867,0.761420,0.762192,0.761590,1.354963,0.642969,0.666342,0.641705,0.640171,val
59,0.08285530,0.790477,0.762498,0.761905,0.762712,0.762113,1.632130,0.581606,0.639783,0.576563,0.578912,val
60,0.08224389,0.788646,0.761374,0.761281,0.761709,0.761315,1.469103,0.615062,0.657418,0.609996,0.612195,val
61,0.08162411,0.767753,0.768730,0.768041,0.768945,0.768324,1.680246,0.578757,0.668929,0.573109,0.581158,val
62,0.08099612,0.773112,0.766086,0.765782,0.766391,0.765865,1.488066,0.614786,0.663037,0.612481,0.610156,val
63,0.08036009,0.754950,0.770180,0.769744,0.770327,0.769873,1.523134,0.603182,0.655734,0.596055,0.596185,val
64,0.07971618,0.753015,0.769832,0.769705,0.770087,0.769701,1.472186,0.614338,0.663576,0.610699,0.611159,val
65,0.07906456,0.743071,0.775975,0.775750,0.776238,0.775847,1.440346,0.622955,0.675749,0.619301,0.620467,val
66,0.07840540,0.729851,0.777107,0.777265,0.777516,0.777230,1.527133,0.599954,0.658739,0.594420,0.595197,val
67,0.07773886,0.729118,0.779055,0.778845,0.779287,0.778904,1.518052,0.608054,0.650420,0.603790,0.601189,val
68,0.07706513,0.727527,0.779317,0.779360,0.779556,0.779318,1.553290,0.600781,0.665242,0.595094,0.603638,val
69,0.07638437,0.713451,0.783709,0.783612,0.783984,0.783622,1.595765,0.600425,0.660613,0.592050,0.593524,val
70,0.07569677,0.705399,0.783277,0.783104,0.783491,0.783164,1.825647,0.559409,0.655426,0.553198,0.551131,val
71,0.07500250,0.702519,0.785536,0.785189,0.785784,0.785360,1.457292,0.616016,0.661174,0.611100,0.612625,val
72,0.07430174,0.694879,0.789662,0.789425,0.789962,0.789577,1.493632,0.615085,0.662835,0.613930,0.614355,val
73,0.07359468,0.687635,0.790360,0.790459,0.790660,0.790398,1.677443,0.582663,0.653861,0.577131,0.579718,val
74,0.07288149,0.682451,0.792451,0.792518,0.792770,0.792509,1.424031,0.629883,0.666804,0.626291,0.624515,val
75,0.07216236,0.674601,0.794130,0.794095,0.794381,0.794048,1.537952,0.615257,0.678751,0.612737,0.615773,val
76,0.07143748,0.661939,0.796115,0.796004,0.796397,0.796060,1.466022,0.619485,0.670830,0.613007,0.613984,val
77,0.07070705,0.648464,0.802596,0.802489,0.802886,0.802559,1.482240,0.614740,0.664356,0.610502,0.612384,val
78,0.06997123,0.660802,0.797336,0.797351,0.797603,0.797321,1.587657,0.601827,0.660177,0.597576,0.595413,val
79,0.06923024,0.645336,0.803171,0.802849,0.803353,0.802927,1.445024,0.628585,0.674540,0.625329,0.624801,val
80,0.06848425,0.633938,0.806362,0.806631,0.806704,0.806550,1.491233,0.619704,0.667696,0.615598,0.615501,val
81,0.06773347,0.627423,0.806483,0.806253,0.806682,0.806355,1.410200,0.634398,0.676392,0.631688,0.634991,val
82,0.06697809,0.608088,0.811911,0.811858,0.812084,0.811849,1.617985,0.596174,0.647583,0.594780,0.590438,val
83,0.06621830,0.618249,0.809516,0.809481,0.809778,0.809528,1.502343,0.621921,0.657841,0.616831,0.615846,val
84,0.06545430,0.600055,0.813343,0.813501,0.813646,0.813460,1.686863,0.595186,0.658036,0.589792,0.595095,val
85,0.06468630,0.600296,0.817809,0.817998,0.818123,0.817945,1.482325,0.628320,0.674165,0.623680,0.624581,val
86,0.06391448,0.591079,0.817782,0.818011,0.818053,0.817927,1.557106,0.620037,0.669654,0.618582,0.616465,val
87,0.06313906,0.579916,0.819484,0.819583,0.819859,0.819618,1.561716,0.615200,0.669765,0.612727,0.614947,val
88,0.06236022,0.574388,0.821622,0.821668,0.821945,0.821703,1.665341,0.585857,0.654346,0.581788,0.584560,val
89,0.06157818,0.565700,0.825269,0.825248,0.825523,0.825267,1.652202,0.594658,0.657367,0.589067,0.587517,val
90,0.06079313,0.557616,0.827013,0.827137,0.827199,0.827071,1.436765,0.634398,0.677682,0.631809,0.634445,val
91,0.06000528,0.539452,0.832820,0.833047,0.833102,0.832973,1.615571,0.613557,0.677581,0.608069,0.610315,val
92,0.05921484,0.541456,0.833338,0.833380,0.833547,0.833362,1.408455,0.638166,0.679443,0.635768,0.634994,val
93,0.05842201,0.519434,0.836443,0.836708,0.836729,0.836625,1.464621,0.638695,0.670469,0.636225,0.634600,val
94,0.05762699,0.526572,0.837143,0.837307,0.837380,0.837250,1.441715,0.647599,0.677251,0.642993,0.642561,val
95,0.05683000,0.506219,0.842732,0.842847,0.842972,0.842823,1.554495,0.625551,0.677072,0.619417,0.620547,val
96,0.05603123,0.499611,0.843905,0.843912,0.844049,0.843891,1.527639,0.629056,0.671939,0.626276,0.626116,val
97,0.05523090,0.498241,0.845923,0.846096,0.846131,0.846013,1.571529,0.624885,0.679851,0.620639,0.626066,val
98,0.05442921,0.486569,0.849634,0.849802,0.849863,0.849745,1.448547,0.643463,0.674615,0.638661,0.639486,val
99,0.05362638,0.475104,0.851671,0.851951,0.851912,0.851828,1.436652,0.648725,0.684667,0.643041,0.638755,val
100,0.05282260,0.464771,0.855994,0.856169,0.856196,0.856106,1.342820,0.666670,0.695135,0.662711,0.663306,val
101,0.05201810,0.452552,0.859402,0.859554,0.859581,0.859508,1.501144,0.629239,0.670198,0.622844,0.623122,val
102,0.05121307,0.443861,0.860369,0.860456,0.860516,0.860412,1.492482,0.635432,0.673088,0.634869,0.628411,val
103,0.05040772,0.428878,0.864327,0.864508,0.864561,0.864476,1.447759,0.652700,0.694379,0.647644,0.646254,val
104,0.04960228,0.441840,0.861688,0.861858,0.861855,0.861788,1.429139,0.645106,0.677787,0.639096,0.640184,val
105,0.04879693,0.418293,0.870334,0.870496,0.870459,0.870402,1.468686,0.639327,0.671480,0.635555,0.632546,val
106,0.04799190,0.408579,0.871912,0.872177,0.872128,0.872097,1.523834,0.626758,0.669020,0.621957,0.625610,val
107,0.04718740,0.395971,0.875407,0.875425,0.875503,0.875387,1.438884,0.650057,0.685491,0.646103,0.650073,val
108,0.04638362,0.385606,0.879994,0.880142,0.880142,0.880087,1.366737,0.663637,0.682078,0.658694,0.656434,val
109,0.04558079,0.389864,0.877863,0.878057,0.878003,0.877958,1.553043,0.634007,0.674580,0.630110,0.628629,val
110,0.04477910,0.376411,0.881503,0.881826,0.881633,0.881670,1.494319,0.643807,0.681898,0.637890,0.637553,val
111,0.04397877,0.360617,0.887602,0.887735,0.887734,0.887673,1.384787,0.663074,0.691860,0.656861,0.659356,val
112,0.04318000,0.349008,0.891587,0.891981,0.891854,0.891871,1.425771,0.663051,0.693466,0.657048,0.659110,val
