epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
1,0.00010000,4.596893,0.012988,0.011781,0.013032,0.008319,4.540025,0.020499,0.018020,0.021142,0.012326,val
2,0.02008000,4.494836,0.044591,0.042148,0.044554,0.039025,3.921082,0.083615,0.076685,0.085121,0.047594,val
3,0.04006000,3.757995,0.114812,0.097349,0.114781,0.098723,3.582254,0.143851,0.156760,0.146942,0.117360,val
4,0.06004000,3.328656,0.186654,0.167913,0.186774,0.172136,3.174992,0.219911,0.259869,0.222043,0.197518,val
5,0.08002000,2.859649,0.273879,0.257727,0.273702,0.262050,2.709995,0.310770,0.384685,0.313361,0.298542,val
6,0.10000000,2.405875,0.366334,0.354250,0.366308,0.357917,4.771933,0.144801,0.241160,0.144453,0.135782,val
7,0.09999351,2.024136,0.451110,0.442338,0.450714,0.445152,2.256810,0.410743,0.516461,0.412218,0.406192,val
8,0.09997405,1.740861,0.513792,0.507557,0.513889,0.509818,1.928443,0.477906,0.545428,0.478619,0.470019,val
9,0.09994162,1.555087,0.562079,0.556278,0.562132,0.558393,1.830785,0.506862,0.576474,0.513815,0.501540,val
10,0.09989622,1.391243,0.603106,0.598854,0.602964,0.600270,1.595048,0.557415,0.595632,0.560937,0.554415,val
11,0.09983788,1.270115,0.634386,0.630991,0.634660,0.632322,1.605317,0.542928,0.608442,0.548023,0.542362,val
12,0.09976661,1.166517,0.661376,0.658610,0.661376,0.659520,1.564942,0.569585,0.634596,0.570245,0.561718,val
13,0.09968241,1.073761,0.684190,0.681845,0.684401,0.682723,1.382016,0.614138,0.651955,0.614701,0.615217,val
14,0.09958533,0.999595,0.702757,0.700750,0.702884,0.701440,1.447639,0.606900,0.649640,0.606891,0.603273,val
15,0.09947537,0.936134,0.719870,0.718323,0.719884,0.718851,1.397425,0.615105,0.668859,0.616296,0.618484,val
16,0.09935258,0.869160,0.736532,0.735419,0.736721,0.735778,1.404115,0.613586,0.656418,0.614687,0.613018,val
17,0.09921698,0.813357,0.749191,0.748525,0.749465,0.748755,1.477334,0.616525,0.668704,0.617419,0.617944,val
