epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
1,0.00010000,4.601661,0.013492,0.012463,0.013444,0.008993,4.553887,0.020599,0.011134,0.021153,0.011331,val
2,0.02008000,4.469527,0.046611,0.042706,0.046611,0.039692,3.885634,0.089850,0.066949,0.090643,0.056047,val
3,0.04006000,3.763207,0.112067,0.095027,0.112055,0.097875,3.873169,0.144995,0.143838,0.148628,0.117700,val
4,0.06004000,3.393520,0.175587,0.157182,0.175603,0.161231,3.317989,0.217067,0.231063,0.219555,0.193440,val
5,0.08002000,2.968716,0.253367,0.237352,0.253368,0.241384,2.885850,0.279614,0.321949,0.284542,0.262204,val
6,0.10000000,2.535326,0.334645,0.321841,0.334790,0.325765,2.406993,0.369504,0.402319,0.372631,0.352640,val
7,0.09999351,2.185249,0.409789,0.399742,0.409732,0.402884,5.624290,0.020282,0.078753,0.020113,0.016230,val
8,0.09997405,1.961200,0.459635,0.450820,0.459774,0.454073,2.098170,0.438644,0.487443,0.440476,0.424070,val
9,0.09994162,1.733762,0.515475,0.508164,0.515507,0.510696,1.924908,0.479026,0.528880,0.484285,0.474404,val
10,0.09989622,1.592857,0.548151,0.542477,0.548202,0.544464,1.885430,0.499824,0.551619,0.502155,0.498087,val
11,0.09983788,1.458131,0.581263,0.576076,0.581411,0.577894,2.080402,0.508147,0.581752,0.512517,0.508450,val
12,0.09976661,1.343962,0.613057,0.609157,0.613372,0.610636,1.656220,0.547332,0.590888,0.548739,0.534569,val
13,0.09968241,1.254748,0.635334,0.631973,0.635613,0.633265,1.614106,0.563808,0.600672,0.565410,0.554497,val
14,0.09958533,1.167863,0.654220,0.651283,0.654383,0.652392,1.646055,0.572289,0.610644,0.572447,0.564495,val
15,0.09947537,1.091869,0.676904,0.674643,0.677053,0.675464,1.512552,0.584014,0.618625,0.583265,0.580185,val
16,0.09935258,1.029687,0.691966,0.690475,0.692317,0.691029,1.564313,0.578647,0.627910,0.579141,0.578272,val
17,0.09921698,0.965834,0.711899,0.710417,0.712043,0.710910,1.599940,0.574758,0.631150,0.576435,0.575340,val
18,0.09906860,0.912694,0.725419,0.724132,0.725686,0.724665,1.510374,0.594999,0.643547,0.598329,0.595002,val
19,0.09890749,0.858487,0.736568,0.735427,0.736761,0.735814,1.537954,0.595650,0.647273,0.597580,0.601817,val
20,0.09873369,0.815358,0.748955,0.748145,0.749316,0.748530,1.518131,0.611058,0.664131,0.616024,0.614177,val
21,0.09854724,0.770309,0.764395,0.763945,0.764688,0.764132,1.605468,0.611199,0.647052,0.615065,0.606516,val
22,0.09834819,0.723331,0.774450,0.773843,0.774789,0.774158,1.495110,0.619663,0.648257,0.623037,0.618050,val
23,0.09813659,0.691906,0.783787,0.783217,0.783992,0.783421,1.442726,0.640989,0.664995,0.643437,0.638597,val
24,0.09791250,0.642887,0.798194,0.798207,0.798473,0.798182,1.481259,0.626507,0.656802,0.627321,0.625684,val
25,0.09767598,0.612319,0.807088,0.806902,0.807264,0.806960,1.515557,0.623428,0.652157,0.628749,0.621926,val
26,0.09742708,0.573073,0.816968,0.816783,0.817087,0.816790,1.532681,0.636766,0.662952,0.637493,0.634645,val
27,0.09716587,0.548123,0.826127,0.826353,0.826398,0.826263,1.491169,0.631639,0.666868,0.632208,0.630673,val
28,0.09689243,0.518081,0.832504,0.832279,0.832525,0.832287,1.500401,0.641446,0.670373,0.641818,0.641843,val
29,0.09660681,0.479617,0.845985,0.845817,0.845999,0.845803,1.588348,0.629211,0.656965,0.630263,0.627252,val
30,0.09630910,0.460295,0.849526,0.849516,0.849771,0.849554,1.569961,0.638936,0.667268,0.640588,0.637818,val
31,0.09599937,0.445808,0.854973,0.855160,0.855193,0.855092,1.522489,0.645786,0.678164,0.645067,0.645441,val
