epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.659055,0.011212,4.670236,0.011109,val
2,0.01004000,4.455003,0.029891,4.179160,0.052048,val
3,0.02003000,4.037228,0.065048,3.844248,0.091826,val
4,0.03002000,3.783005,0.099523,3.621473,0.142273,val
5,0.04001000,3.567095,0.139518,3.524184,0.159535,val
6,0.05000000,3.383839,0.173299,3.248627,0.199670,val
7,0.04997483,3.253313,0.196202,3.188782,0.217741,val
8,0.04989938,3.081073,0.229691,2.997465,0.248698,val
9,0.04977379,2.954446,0.254339,3.074497,0.239108,val
10,0.04959832,2.913321,0.261487,3.027069,0.247748,val
11,0.04937332,2.781171,0.290105,2.740175,0.307573,val
12,0.04909925,2.619773,0.318570,2.619119,0.332078,val
13,0.04877666,2.540576,0.334447,2.621246,0.326711,val
14,0.04840619,2.464664,0.353502,2.510788,0.339791,val
15,0.04798860,2.461828,0.351102,2.667984,0.316729,val
16,0.04752472,2.462861,0.356501,5.999238,0.046423,val
17,0.04701549,3.005588,0.250762,2.815075,0.295931,val
18,0.04646193,2.600920,0.325981,2.521267,0.353211,val
19,0.04586516,2.455806,0.356696,2.870829,0.288687,val
20,0.04522638,2.564627,0.338336,2.486801,0.361633,val
21,0.04454688,2.377914,0.371969,2.371290,0.376038,val
22,0.04382802,2.263473,0.397548,2.358923,0.389651,val
23,0.04307126,2.164129,0.415886,2.304485,0.393206,val
24,0.04227811,2.124716,0.427610,2.251357,0.405042,val
25,0.04145018,2.048602,0.439354,2.256391,0.395669,val
26,0.04058913,2.070957,0.434696,2.208429,0.416661,val
27,0.03969669,2.216875,0.409592,2.323520,0.401728,val
28,0.03877467,2.177523,0.418472,2.451293,0.394707,val
29,0.03782492,2.006761,0.452010,2.223517,0.409517,val
30,0.03684935,1.954728,0.463690,2.300896,0.410543,val
31,0.03584992,2.046583,0.445229,2.243379,0.416027,val
32,0.03482866,1.921384,0.469922,2.288257,0.410584,val
33,0.03378761,1.828527,0.494138,2.113945,0.445764,val
34,0.03272888,1.793941,0.500883,2.115660,0.441524,val
35,0.03165459,1.738985,0.511646,2.084335,0.452492,val
36,0.03056691,1.728543,0.512340,2.143833,0.440908,val
37,0.02946803,1.775643,0.502973,2.247239,0.424063,val
38,0.02836016,1.681901,0.527877,2.114591,0.446767,val
39,0.02724553,1.612889,0.546361,2.096757,0.453260,val
40,0.02612640,1.586085,0.548183,2.100959,0.454427,val
41,0.02500500,1.667632,0.531411,2.277359,0.423547,val
42,0.02388360,1.575898,0.550818,2.078913,0.460087,val
43,0.02276447,1.451362,0.580921,2.130073,0.465020,val
44,0.02164984,1.358268,0.604146,2.115347,0.459237,val
45,0.02054197,1.322649,0.611834,2.390254,0.437101,val
46,0.01944309,1.288313,0.620194,2.196798,0.459102,val
47,0.01835541,1.227771,0.638388,2.151701,0.473917,val
48,0.01728112,1.173872,0.652339,2.155290,0.462433,val
49,0.01622239,1.131564,0.662516,2.143244,0.482481,val
50,0.01518134,1.070753,0.679407,2.173240,0.472416,val
51,0.01416008,1.028559,0.691019,2.125840,0.486821,val
52,0.01316065,0.973462,0.704863,2.183394,0.469894,val
53,0.01218508,0.934972,0.715592,2.189317,0.481612,val
54,0.01123533,0.874396,0.731300,2.235295,0.476662,val
55,0.01031331,0.835750,0.743096,2.241471,0.479577,val
56,0.00942087,0.778275,0.760467,2.288879,0.479859,val
57,0.00855982,0.746819,0.770696,2.285748,0.478850,val
58,0.00773189,0.695399,0.784837,2.293994,0.482915,val
59,0.00693874,0.649741,0.799413,2.318812,0.486094,val
60,0.00618198,0.618834,0.809317,2.349271,0.486921,val
61,0.00546312,0.575484,0.820915,2.367561,0.487472,val
62,0.00478362,0.546841,0.829924,2.411918,0.489190,val
63,0.00414484,0.509935,0.842848,2.404947,0.493138,val
64,0.00354807,0.478899,0.853166,2.435393,0.487572,val
65,0.00299451,0.456146,0.860446,2.441089,0.491935,val
66,0.00248528,0.433734,0.868651,2.510821,0.488146,val
67,0.00202140,0.413836,0.875119,2.510630,0.483706,val
68,0.00160381,0.390108,0.883815,2.463758,0.487003,val
69,0.00123334,0.379021,0.887133,2.461122,0.492745,val
70,0.00091075,0.364031,0.892479,2.485085,0.493888,val
71,0.00063668,0.356543,0.894674,2.466276,0.493396,val
72,0.00041168,0.348276,0.898371,2.504712,0.492369,val
73,0.00023621,0.341571,0.900407,2.458119,0.494973,val
74,0.00011062,0.339937,0.900381,2.466145,0.494105,val
75,0.00003517,0.342199,0.899668,2.487936,0.496493,val
