epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.641956,0.013995,4.577901,0.020830,val
2,0.02008000,3.706485,0.132674,3.325482,0.202792,val
3,0.04006000,3.027936,0.245122,2.829205,0.298093,val
4,0.06004000,2.509181,0.343962,2.668671,0.330894,val
5,0.08002000,2.166103,0.420139,2.401086,0.381710,val
6,0.10000000,1.943246,0.468183,2.255554,0.411581,val
7,0.09994966,1.735354,0.514414,1.878044,0.482456,val
8,0.09979873,1.593539,0.549196,2.072335,0.463373,val
9,0.09954753,1.500100,0.573479,1.870087,0.511937,val
10,0.09919656,1.436354,0.590961,1.652689,0.539235,val
11,0.09874652,1.376691,0.606130,1.848087,0.521737,val
12,0.09819832,1.331976,0.617340,1.932940,0.499104,val
13,0.09755307,1.292887,0.627964,1.720045,0.540901,val
14,0.09681206,1.258659,0.634539,2.025359,0.483732,val
15,0.09597679,1.223432,0.643037,1.742393,0.551183,val
16,0.09504894,1.197762,0.653505,1.759937,0.540728,val
17,0.09403037,1.163126,0.661135,1.749513,0.538637,val
18,0.09292315,1.136334,0.667587,1.857660,0.534490,val
19,0.09172949,1.105114,0.674763,1.786847,0.532916,val
20,0.09045180,1.075620,0.683226,1.696347,0.565809,val
21,0.08909266,1.065480,0.688879,1.641542,0.568302,val
22,0.08765481,1.028793,0.696935,1.749817,0.542682,val
23,0.08614113,1.018952,0.698003,1.723669,0.554699,val
24,0.08455468,0.983748,0.709717,1.584745,0.579400,val
25,0.08289865,0.965789,0.713063,1.674067,0.567153,val
26,0.08117637,0.942485,0.718637,1.606066,0.577436,val
27,0.07939132,0.923684,0.726180,1.694089,0.564763,val
28,0.07754709,0.908955,0.729398,1.619864,0.578826,val
29,0.07564740,0.878309,0.737211,1.678271,0.577447,val
30,0.07369606,0.855398,0.743855,1.573117,0.588465,val
31,0.07169702,0.831840,0.749046,1.575787,0.595554,val
32,0.06965429,0.807996,0.756190,1.573660,0.594807,val
33,0.06757198,0.797291,0.760875,1.425081,0.630124,val
34,0.06545430,0.751642,0.772510,1.578772,0.595473,val
35,0.06330551,0.734160,0.777393,1.682233,0.581733,val
36,0.06112993,0.711618,0.782974,1.449966,0.621048,val
37,0.05893195,0.671554,0.794150,1.535225,0.607939,val
38,0.05671599,0.649813,0.801950,1.494178,0.626494,val
39,0.05448652,0.621880,0.809615,1.397024,0.637580,val
40,0.05224802,0.589104,0.818078,1.464688,0.618991,val
41,0.05000500,0.571265,0.824211,1.420586,0.637879,val
42,0.04776198,0.545074,0.830880,1.465324,0.630446,val
43,0.04552348,0.508483,0.840995,1.393503,0.655607,val
44,0.04329401,0.466736,0.854889,1.450301,0.643176,val
45,0.04107805,0.450037,0.858312,1.363115,0.655262,val
46,0.03888007,0.414542,0.871871,1.380231,0.656020,val
47,0.03670449,0.376467,0.883962,1.428535,0.646025,val
48,0.03455570,0.337191,0.896613,1.419127,0.657295,val
49,0.03243802,0.308556,0.905167,1.321097,0.683364,val
50,0.03035571,0.271704,0.917409,1.420808,0.659800,val
51,0.02831298,0.246237,0.924918,1.260939,0.689844,val
52,0.02631394,0.205755,0.939076,1.216603,0.702505,val
53,0.02436260,0.163124,0.953288,1.251000,0.694060,val
54,0.02246291,0.136665,0.962383,1.216825,0.701459,val
55,0.02061868,0.108373,0.971199,1.213645,0.703102,val
56,0.01883363,0.091496,0.977394,1.154190,0.717865,val
57,0.01711135,0.071056,0.983719,1.103327,0.732456,val
58,0.01545532,0.053066,0.988708,1.071176,0.739970,val
59,0.01386887,0.041901,0.992498,1.035219,0.752574,val
60,0.01235519,0.032442,0.995677,1.003690,0.752711,val
61,0.01091734,0.025448,0.997164,0.981444,0.755940,val
62,0.00955820,0.021875,0.997448,0.973639,0.760949,val
63,0.00828051,0.018518,0.998646,0.972901,0.759628,val
64,0.00708685,0.017364,0.998757,0.955952,0.764097,val
65,0.00597963,0.015889,0.998779,0.954029,0.761144,val
66,0.00496106,0.014740,0.999268,0.949895,0.765292,val
67,0.00403321,0.013793,0.999312,0.939041,0.764465,val
68,0.00319794,0.013634,0.999356,0.938275,0.764120,val
69,0.00245693,0.012976,0.999467,0.937706,0.763729,val
70,0.00181168,0.012235,0.999645,0.934455,0.764901,val
71,0.00126348,0.012240,0.999245,0.928733,0.765074,val
72,0.00081344,0.012156,0.999556,0.932587,0.765464,val
73,0.00046247,0.011654,0.999623,0.932290,0.764120,val
74,0.00021127,0.011491,0.999512,0.930694,0.764683,val
75,0.00006034,0.011648,0.999467,0.930724,0.764683,val
