epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,4.710617,0.015401,4.653013,0.022452,val
2,0.00010090,4.189400,0.085892,4.031788,0.122367,val
3,0.00020080,3.968835,0.124642,3.802673,0.157188,val
4,0.00030070,3.781958,0.155162,3.640285,0.194028,val
5,0.00040060,3.645132,0.181663,3.533279,0.210779,val
6,0.00050050,3.533316,0.206541,3.511881,0.217700,val
7,0.00060040,3.453979,0.222866,3.424562,0.237865,val
8,0.00070030,3.376604,0.239340,3.355401,0.248364,val
9,0.00080020,3.310011,0.255083,3.326302,0.254897,val
10,0.00090010,3.244752,0.268774,3.252978,0.278411,val
11,0.00100000,3.179900,0.284981,3.277648,0.269772,val
12,0.00099970,3.099674,0.307065,3.151041,0.302365,val
13,0.00099878,3.017799,0.323342,3.144744,0.295696,val
14,0.00099726,2.937919,0.345617,3.085949,0.322037,val
15,0.00099514,2.851315,0.366042,3.077444,0.318266,val
16,0.00099241,2.779912,0.385175,3.079177,0.318940,val
17,0.00098908,2.680803,0.409897,3.014189,0.337328,val
18,0.00098516,2.592234,0.434753,3.035406,0.343169,val
19,0.00098065,2.507076,0.458162,3.014628,0.351392,val
20,0.00097555,2.403896,0.484993,3.027255,0.359721,val
21,0.00096988,2.299087,0.515227,3.076758,0.359346,val
22,0.00096363,2.168017,0.556062,3.128156,0.352360,val
23,0.00095682,2.054615,0.590800,3.114633,0.365164,val
24,0.00094945,1.925610,0.635013,3.181513,0.354489,val
25,0.00094153,1.795930,0.677092,3.200488,0.359639,val
26,0.00093308,1.670657,0.720348,3.254659,0.368695,val
27,0.00092410,1.555721,0.761636,3.293334,0.357527,val
28,0.00091460,1.444820,0.803982,3.310806,0.355299,val
29,0.00090460,1.353363,0.838978,3.356470,0.363627,val
30,0.00089411,1.287019,0.862008,3.376147,0.361692,val
31,0.00088314,1.237377,0.879222,3.422837,0.353422,val
32,0.00087170,1.191820,0.894636,3.368150,0.364847,val
33,0.00085981,1.148380,0.911712,3.403354,0.357961,val
34,0.00084748,1.129872,0.915621,3.401899,0.354032,val
35,0.00083473,1.110165,0.920544,3.440122,0.356976,val
36,0.00082157,1.088153,0.928423,3.415174,0.358413,val
37,0.00080802,1.074567,0.930006,3.415928,0.361316,val
38,0.00079410,1.057083,0.934575,3.452000,0.369862,val
39,0.00077982,1.052134,0.932812,3.451627,0.364988,val
40,0.00076519,1.029411,0.937824,3.420208,0.368161,val
41,0.00075025,1.014340,0.940365,3.469444,0.369604,val
42,0.00073500,1.001217,0.943529,3.515610,0.360982,val
43,0.00071947,0.986468,0.945771,3.575526,0.356167,val
44,0.00070366,0.997968,0.940338,3.538935,0.358079,val
45,0.00068762,0.965266,0.951081,3.588036,0.359698,val
46,0.00067134,0.960529,0.950875,3.565738,0.363504,val
47,0.00065485,0.956527,0.951972,3.590841,0.359838,val
48,0.00063818,0.939113,0.956862,3.642247,0.353961,val
49,0.00062134,0.931142,0.958338,3.660513,0.351785,val
50,0.00060435,0.926999,0.959990,3.641634,0.356794,val
51,0.00058724,0.912757,0.963957,3.635229,0.361117,val
52,0.00057002,0.911444,0.964587,3.653781,0.360425,val
53,0.00055271,0.906497,0.965192,3.694860,0.353029,val
54,0.00053534,0.896358,0.968911,3.676657,0.358020,val
55,0.00051793,0.887303,0.971351,3.667310,0.356126,val
56,0.00050050,0.883651,0.972633,3.697909,0.360882,val
57,0.00048307,0.881993,0.973163,3.720925,0.357093,val
58,0.00046566,0.875928,0.974284,3.686146,0.366208,val
59,0.00044829,0.869980,0.976972,3.677108,0.365774,val
60,0.00043098,0.863358,0.978449,3.638723,0.371516,val
61,0.00041376,0.855479,0.981184,3.711832,0.362660,val
62,0.00039665,0.847855,0.983404,3.706712,0.365182,val
63,0.00037966,0.853049,0.981787,3.688751,0.370947,val
64,0.00036282,0.843498,0.984794,3.693477,0.366818,val
65,0.00034615,0.840511,0.984843,3.714402,0.366149,val
66,0.00032966,0.836592,0.986792,3.702678,0.366308,val
67,0.00031338,0.834387,0.986864,3.682123,0.373845,val
68,0.00029734,0.828738,0.989095,3.686915,0.368853,val
69,0.00028153,0.825010,0.989920,3.721663,0.370490,val
70,0.00026600,0.820643,0.991325,3.725704,0.368044,val
71,0.00025075,0.818446,0.991473,3.730895,0.369487,val
72,0.00023581,0.819582,0.991029,3.724185,0.374120,val
73,0.00022118,0.815063,0.992976,3.702932,0.375698,val
74,0.00020690,0.812591,0.993223,3.716641,0.374120,val
75,0.00019298,0.809510,0.994406,3.679663,0.378560,val
76,0.00017943,0.806477,0.995120,3.715765,0.374771,val
77,0.00016627,0.805068,0.994972,3.723250,0.374003,val
78,0.00015352,0.804308,0.995194,3.715079,0.369856,val
79,0.00014119,0.801880,0.996095,3.707278,0.379012,val
80,0.00012930,0.802231,0.995958,3.719692,0.373745,val
81,0.00011786,0.800317,0.996180,3.694590,0.378478,val
82,0.00010689,0.797233,0.997462,3.714863,0.380414,val
83,0.00009640,0.796490,0.997338,3.704110,0.378185,val
84,0.00008640,0.795419,0.997634,3.708449,0.372185,val
85,0.00007690,0.795142,0.997647,3.694719,0.379563,val
86,0.00006792,0.794421,0.997782,3.698603,0.380138,val
87,0.00005947,0.793083,0.998102,3.691534,0.385604,val
88,0.00005155,0.792564,0.998214,3.688904,0.385288,val
89,0.00004418,0.791946,0.998398,3.692330,0.384854,val
90,0.00003737,0.792173,0.998053,3.683638,0.383710,val
91,0.00003112,0.791247,0.998373,3.668377,0.384854,val
92,0.00002545,0.790385,0.998707,3.677250,0.385997,val
93,0.00002035,0.789770,0.998866,3.670037,0.385722,val
94,0.00001584,0.790038,0.998620,3.667143,0.387399,val
95,0.00001192,0.789448,0.999039,3.667335,0.386648,val
96,0.00000859,0.789823,0.998669,3.661008,0.389511,val
97,0.00000586,0.790164,0.998546,3.663556,0.385997,val
98,0.00000374,0.789219,0.998990,3.663680,0.387675,val
99,0.00000222,0.789554,0.998743,3.663396,0.388484,val
