epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.633408,0.014220,4.568948,0.020833,val
2,0.02008000,3.849748,0.110966,3.462623,0.180608,val
3,0.04006000,3.362781,0.192602,3.260580,0.214861,val
4,0.06004000,3.011947,0.250948,3.003160,0.257637,val
5,0.08002000,2.715762,0.305707,2.669773,0.320101,val
6,0.10000000,2.485387,0.350871,2.652586,0.332037,val
7,0.09997267,2.237243,0.404677,2.396698,0.388050,val
8,0.09989069,2.075735,0.438044,2.370410,0.392725,val
9,0.09975417,1.933113,0.470451,2.204067,0.432168,val
10,0.09956325,1.810137,0.496586,2.178711,0.429723,val
11,0.09931813,1.709869,0.522886,2.001629,0.467424,val
12,0.09901910,1.626587,0.544759,1.980945,0.476029,val
13,0.09866646,1.544262,0.557753,2.070520,0.461806,val
14,0.09826062,1.465050,0.578324,2.022983,0.468392,val
15,0.09780201,1.400105,0.596029,1.988533,0.487613,val
16,0.09729113,1.333601,0.610909,1.991060,0.484885,val
17,0.09672855,1.273402,0.626829,1.970243,0.501302,val
18,0.09611488,1.208240,0.642817,2.028377,0.483507,val
19,0.09545078,1.157050,0.657168,2.073470,0.486979,val
20,0.09473699,1.100665,0.671348,2.003294,0.506159,val
21,0.09397429,1.050299,0.681288,1.931120,0.508663,val
22,0.09316351,1.006061,0.694549,2.094296,0.496111,val
23,0.09230553,0.959862,0.705952,2.004647,0.509989,val
24,0.09140130,0.916660,0.717104,2.021115,0.515291,val
25,0.09045180,0.863053,0.732174,2.027395,0.518129,val
26,0.08945808,0.827946,0.743964,2.044221,0.521250,val
27,0.08842121,0.780718,0.757376,2.113445,0.516534,val
28,0.08734234,0.739086,0.766797,2.125456,0.510516,val
29,0.08622264,0.707597,0.776651,2.288447,0.487765,val
30,0.08506333,0.671027,0.788668,2.111988,0.528388,val
31,0.08386569,0.627513,0.798172,2.179799,0.530247,val
32,0.08263103,0.594858,0.810959,2.170616,0.532851,val
33,0.08136068,0.562078,0.817647,2.278865,0.518147,val
34,0.08005605,0.545871,0.823272,2.219397,0.527144,val
35,0.07871856,0.491609,0.841166,2.331807,0.519848,val
36,0.07734967,0.476076,0.846948,2.396364,0.513220,val
37,0.07595088,0.451368,0.855528,2.351984,0.520317,val
38,0.07452372,0.417941,0.864810,2.300194,0.545913,val
39,0.07306975,0.396374,0.871806,2.360536,0.527895,val
40,0.07159056,0.375254,0.878744,2.398576,0.534054,val
41,0.07008776,0.338047,0.890917,2.389882,0.529531,val
42,0.06856301,0.333990,0.891461,2.476532,0.521344,val
43,0.06701796,0.301155,0.903928,2.321913,0.540998,val
44,0.06545430,0.278746,0.910802,2.413155,0.530441,val
45,0.06387376,0.254806,0.918533,2.350510,0.543561,val
46,0.06227805,0.232994,0.924705,2.446082,0.539086,val
47,0.06066892,0.231609,0.926148,2.438932,0.534488,val
48,0.05904812,0.208550,0.933930,2.442209,0.539121,val
49,0.05741744,0.191773,0.939032,2.517314,0.536775,val
50,0.05577865,0.166578,0.948827,2.413856,0.545262,val
51,0.05413355,0.154741,0.952179,2.473418,0.552048,val
52,0.05248394,0.138254,0.957243,2.454352,0.560394,val
53,0.05083161,0.123039,0.962763,2.401928,0.560277,val
54,0.04917839,0.110268,0.966991,2.458066,0.562782,val
55,0.04752606,0.103640,0.969897,2.458952,0.560570,val
56,0.04587645,0.092049,0.972942,2.423255,0.559110,val
57,0.04423135,0.079951,0.977059,2.449258,0.559110,val
58,0.04259256,0.064513,0.982527,2.388150,0.562424,val
59,0.04096188,0.056161,0.985448,2.399097,0.561321,val
60,0.03934108,0.048345,0.987914,2.377182,0.574342,val
61,0.03773195,0.044891,0.988356,2.347954,0.574559,val
62,0.03613624,0.034716,0.991966,2.324846,0.580852,val
63,0.03455570,0.029724,0.993827,2.283551,0.581011,val
64,0.03299204,0.027194,0.994148,2.309488,0.582412,val
65,0.03144699,0.021221,0.996303,2.281455,0.582272,val
66,0.02992224,0.017549,0.996811,2.258065,0.585685,val
67,0.02841944,0.018240,0.996563,2.238194,0.589633,val
68,0.02694025,0.013328,0.998324,2.241152,0.587521,val
69,0.02548628,0.011748,0.998571,2.229885,0.588548,val
70,0.02405912,0.010632,0.998718,2.227004,0.592061,val
71,0.02266033,0.009878,0.998830,2.212751,0.594882,val
72,0.02129144,0.009038,0.999039,2.185857,0.594665,val
73,0.01995395,0.009172,0.998916,2.182610,0.596501,val
74,0.01864932,0.008180,0.998990,2.168457,0.592119,val
75,0.01737897,0.007421,0.999211,2.160580,0.596284,val
76,0.01614431,0.007259,0.999285,2.148379,0.594231,val
77,0.01494667,0.006566,0.999359,2.149246,0.593797,val
78,0.01378736,0.006199,0.999433,2.133425,0.593046,val
79,0.01266766,0.005996,0.999507,2.127942,0.594507,val
80,0.01158879,0.005666,0.999507,2.118364,0.593105,val
81,0.01055192,0.005700,0.999458,2.125548,0.597879,val
82,0.00955820,0.005684,0.999433,2.123331,0.593856,val
83,0.00860870,0.005316,0.999545,2.124929,0.595158,val
84,0.00770447,0.005545,0.999520,2.122081,0.593639,val
85,0.00684649,0.005129,0.999581,2.104168,0.596026,val
86,0.00603571,0.004797,0.999630,2.108235,0.595316,val
87,0.00527301,0.004982,0.999680,2.104195,0.596559,val
88,0.00455922,0.004744,0.999680,2.103473,0.599222,val
89,0.00389512,0.005094,0.999630,2.104424,0.599715,val
90,0.00328145,0.004626,0.999754,2.098199,0.596125,val
91,0.00271887,0.004540,0.999729,2.098199,0.596559,val
92,0.00220799,0.004822,0.999606,2.097076,0.597862,val
93,0.00174938,0.004526,0.999704,2.099421,0.595750,val
94,0.00134354,0.004606,0.999778,2.096296,0.598354,val
95,0.00099090,0.004583,0.999704,2.096399,0.596184,val
96,0.00069187,0.004638,0.999655,2.097023,0.598472,val
