epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.660560,0.012224,4.901705,0.014364,val
2,0.01004000,4.428262,0.036325,4.103845,0.060629,val
3,0.02003000,3.969805,0.079831,3.763858,0.109029,val
4,0.03002000,3.728815,0.115161,3.670274,0.137874,val
5,0.04001000,3.547007,0.145888,3.441006,0.174016,val
6,0.05000000,3.406740,0.169759,3.338052,0.180726,val
7,0.04998633,3.257417,0.196966,3.235359,0.205964,val
8,0.04994535,3.218824,0.205271,3.240173,0.204345,val
9,0.04987710,3.110249,0.228128,3.930789,0.168438,val
10,0.04978165,3.001689,0.249026,2.977091,0.250909,val
11,0.04965910,2.890079,0.269075,3.006483,0.254458,val
12,0.04950960,2.797209,0.285438,2.867661,0.275015,val
13,0.04933330,2.746953,0.295144,2.715413,0.303233,val
14,0.04913040,2.856241,0.277390,2.960339,0.286640,val
15,0.04890111,2.705221,0.305852,2.674165,0.314735,val
16,0.04864570,2.658388,0.314640,2.620550,0.324184,val
17,0.04836444,2.551970,0.335143,2.700719,0.309567,val
18,0.04805763,2.657745,0.311713,2.736866,0.307298,val
19,0.04772562,2.486906,0.348491,2.652317,0.322213,val
20,0.04736876,2.401837,0.366075,2.470370,0.366091,val
21,0.04698745,2.330523,0.381051,2.428226,0.366448,val
22,0.04658210,2.296011,0.389770,2.459347,0.360372,val
23,0.04615315,2.227831,0.400267,2.349584,0.388384,val
24,0.04570108,2.166622,0.415228,2.320677,0.398942,val
25,0.04522638,2.145228,0.418950,2.386045,0.382865,val
26,0.04472957,2.109136,0.426999,2.300491,0.397147,val
27,0.04421119,2.065456,0.439646,2.295270,0.395845,val
28,0.04367180,2.021357,0.446429,2.302177,0.402965,val
29,0.04311201,1.957604,0.463645,2.265246,0.412021,val
30,0.04253241,1.930113,0.470515,2.254242,0.419007,val
31,0.04193365,2.017649,0.451669,2.259575,0.417153,val
32,0.04131638,1.890819,0.476214,2.214901,0.431142,val
33,0.04068127,1.837803,0.489272,2.187689,0.431459,val
34,0.04002902,1.855034,0.485854,2.264589,0.418121,val
35,0.03936034,1.796981,0.500290,2.195773,0.433078,val
36,0.03867597,1.754239,0.506830,2.271974,0.413623,val
37,0.03797664,1.703072,0.518488,2.158390,0.437553,val
38,0.03726314,1.633578,0.538710,2.160763,0.448186,val
39,0.03653622,1.589383,0.548674,2.232660,0.441125,val
40,0.03579670,1.547435,0.554733,2.336805,0.430550,val
41,0.03504538,1.510839,0.566038,2.674048,0.415218,val
42,0.03428308,1.484062,0.573295,2.254174,0.442744,val
43,0.03351063,1.431766,0.587439,2.200814,0.437911,val
44,0.03272888,1.410731,0.589005,2.319732,0.430075,val
45,0.03193869,1.352972,0.603453,2.225570,0.451266,val
46,0.03114091,1.318324,0.613786,2.352062,0.432679,val
47,0.03033642,1.284534,0.621294,2.429903,0.444597,val
48,0.02952611,1.235792,0.632786,2.318429,0.447060,val
49,0.02871085,1.196596,0.643395,2.279537,0.457934,val
50,0.02789154,1.167070,0.651412,2.264240,0.453729,val
51,0.02706907,1.174911,0.649114,2.300963,0.447535,val
52,0.02624435,1.118820,0.662354,2.338404,0.458468,val
53,0.02541827,1.052672,0.682016,2.335870,0.459747,val
54,0.02459173,0.991738,0.696526,2.300075,0.462374,val
55,0.02376565,0.977926,0.700097,2.341877,0.465137,val
56,0.02294093,0.912888,0.719027,2.382563,0.449096,val
57,0.02211846,0.893578,0.723376,2.415010,0.462474,val
58,0.02129915,0.860839,0.733012,2.407996,0.469911,val
59,0.02048389,0.793544,0.754231,2.453556,0.463102,val
60,0.01967358,0.768926,0.759795,2.487573,0.462885,val
61,0.01886909,0.711097,0.774740,2.573517,0.458826,val
62,0.01807131,0.676293,0.787066,2.525565,0.469419,val
63,0.01728112,0.649996,0.794630,2.525945,0.475219,val
64,0.01649937,0.591641,0.812051,2.612487,0.464961,val
65,0.01572692,0.579194,0.815615,2.676979,0.455506,val
66,0.01496462,0.537171,0.828436,2.651936,0.473994,val
67,0.01421330,0.490325,0.842851,2.660482,0.473008,val
68,0.01347378,0.467051,0.850819,2.656284,0.476756,val
69,0.01274686,0.427771,0.863944,2.737496,0.479384,val
70,0.01203336,0.392172,0.876723,2.779674,0.474961,val
71,0.01133403,0.369837,0.882325,2.816878,0.474175,val
72,0.01064966,0.337404,0.893998,2.823214,0.481454,val
73,0.00998098,0.324846,0.897855,2.840165,0.481079,val
74,0.00932873,0.292175,0.910140,2.764141,0.481079,val
75,0.00869362,0.274435,0.915399,2.862993,0.481988,val
76,0.00807635,0.253572,0.921611,2.828904,0.484885,val
77,0.00747759,0.237447,0.925816,2.836903,0.483032,val
78,0.00689799,0.217249,0.933974,2.855021,0.481847,val
79,0.00633820,0.205704,0.937111,2.865571,0.482932,val
80,0.00579881,0.192877,0.943348,2.888403,0.492938,val
81,0.00528043,0.174149,0.948300,2.870179,0.490551,val
82,0.00478362,0.164185,0.951823,2.892285,0.491102,val
83,0.00430892,0.155253,0.955172,2.887083,0.494633,val
84,0.00385685,0.141458,0.960115,2.871156,0.493431,val
85,0.00342790,0.133613,0.962718,2.898339,0.488932,val
86,0.00302255,0.127159,0.964575,2.879362,0.489976,val
87,0.00264124,0.122937,0.966179,2.889922,0.486879,val
88,0.00228438,0.114464,0.969050,2.908347,0.490727,val
89,0.00195237,0.111368,0.969639,2.908350,0.494258,val
90,0.00164556,0.107196,0.971870,2.907998,0.499724,val
91,0.00136430,0.105109,0.972365,2.909022,0.494299,val
92,0.00110889,0.099608,0.973728,2.907228,0.491912,val
93,0.00087960,0.096135,0.974964,2.893974,0.496311,val
94,0.00067670,0.093706,0.976145,2.929566,0.492129,val
95,0.00050040,0.093730,0.975383,2.905923,0.496645,val
96,0.00035090,0.092425,0.976417,2.908342,0.500434,val
97,0.00022835,0.093371,0.975247,2.907715,0.499015,val
98,0.00013290,0.093376,0.976712,2.903901,0.503355,val
99,0.00006465,0.091131,0.976542,2.897598,0.495009,val
100,0.00002367,0.092929,0.976147,2.901491,0.496311,val
