epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,4.606648,0.010203,4.605358,0.011660,val
2,0.00200800,4.576456,0.017830,4.573160,0.021684,val
3,0.00400600,4.394263,0.032478,4.342568,0.037684,val
4,0.00600400,4.127062,0.055918,4.278805,0.052717,val
5,0.00800200,3.898056,0.088152,4.401465,0.072664,val
6,0.01000000,3.713027,0.114605,4.095639,0.092946,val
7,0.00999727,3.570284,0.139861,3.642851,0.140261,val
8,0.00998908,3.451258,0.160159,3.656647,0.147464,val
9,0.00997544,3.334459,0.182725,3.341076,0.195049,val
10,0.00995636,3.240605,0.198456,3.302312,0.200556,val
11,0.00993187,3.159974,0.216449,3.267008,0.218768,val
12,0.00990200,3.093166,0.228030,3.190998,0.234234,val
13,0.00986677,3.038888,0.240857,3.108961,0.236563,val
14,0.00982622,2.983101,0.249481,3.055348,0.249900,val
15,0.00978040,2.937245,0.258609,3.004666,0.250927,val
16,0.00972936,2.894377,0.269790,2.930452,0.274722,val
17,0.00967315,2.850486,0.277172,2.962438,0.267995,val
18,0.00961184,2.817170,0.282916,2.932858,0.285455,val
19,0.00954549,2.775756,0.292769,2.858824,0.286675,val
20,0.00947417,2.741564,0.297897,2.870582,0.284253,val
21,0.00939797,2.711291,0.303400,2.821440,0.298025,val
22,0.00931697,2.679771,0.307252,2.826022,0.284605,val
23,0.00923125,2.648696,0.316062,2.764513,0.301497,val
24,0.00914090,2.613485,0.323702,2.752074,0.307039,val
25,0.00904604,2.582070,0.330521,2.727203,0.310946,val
26,0.00894676,2.556521,0.333903,2.780542,0.306881,val
27,0.00884316,2.525730,0.338694,2.784674,0.298060,val
28,0.00873537,2.502903,0.347674,2.742178,0.313943,val
29,0.00862350,2.482106,0.350302,2.677304,0.328858,val
30,0.00850768,2.458229,0.353638,2.675859,0.319310,val
31,0.00838802,2.422637,0.364080,2.689708,0.325327,val
32,0.00826467,2.406237,0.366211,2.620340,0.344032,val
33,0.00813775,2.384700,0.371593,2.621904,0.341586,val
34,0.00800740,2.352500,0.376536,2.666495,0.332037,val
35,0.00787377,2.336162,0.379144,2.604933,0.349697,val
36,0.00773701,2.314075,0.389869,2.587056,0.351234,val
37,0.00759725,2.291268,0.390001,2.595171,0.351709,val
38,0.00745467,2.263840,0.394426,2.600471,0.348395,val
39,0.00730940,2.248728,0.399061,2.623657,0.344114,val
40,0.00716161,2.222755,0.405348,2.659556,0.334759,val
41,0.00701147,2.208890,0.409211,2.547670,0.352636,val
42,0.00685913,2.190915,0.412555,2.539394,0.362560,val
43,0.00670476,2.164542,0.416789,2.554209,0.357152,val
44,0.00654854,2.143839,0.420897,2.563342,0.357334,val
45,0.00639063,2.126623,0.426436,2.628419,0.349123,val
46,0.00623120,2.097562,0.431468,2.563288,0.360624,val
47,0.00607043,2.091559,0.433544,2.499520,0.375106,val
48,0.00590850,2.060037,0.440615,2.579291,0.357134,val
49,0.00574558,2.044444,0.448410,2.567012,0.362660,val
50,0.00558185,2.023001,0.450789,2.542648,0.363803,val
51,0.00541748,2.002023,0.453326,2.578860,0.363275,val
52,0.00525267,1.983870,0.460998,2.541356,0.369111,val
53,0.00508759,1.956597,0.463758,2.541057,0.360982,val
54,0.00492241,1.944356,0.463978,2.556345,0.361809,val
55,0.00475733,1.924371,0.470024,2.549267,0.371774,val
56,0.00459252,1.911840,0.471565,2.534588,0.378836,val
57,0.00442815,1.888412,0.479035,2.550349,0.377733,val
58,0.00426442,1.863954,0.484379,2.580082,0.367885,val
59,0.00410150,1.851372,0.487664,2.547370,0.384953,val
60,0.00393957,1.826407,0.492720,2.562458,0.372484,val
61,0.00377880,1.809087,0.497537,2.521066,0.381739,val
