epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,4.606484,0.010362,4.605354,0.011660,val
2,0.00200800,4.579151,0.017942,4.571888,0.018429,val
3,0.00400600,4.437963,0.029364,4.359264,0.034054,val
4,0.00600400,4.194361,0.050875,4.366065,0.050863,val
5,0.00800200,3.948874,0.080732,4.254572,0.072213,val
6,0.01000000,3.791756,0.105280,3.918236,0.100683,val
7,0.00999727,3.644870,0.126075,3.728364,0.133769,val
8,0.00998908,3.541536,0.143969,3.637169,0.144027,val
9,0.00997544,3.445949,0.162444,3.456933,0.174749,val
10,0.00995636,3.377297,0.174444,3.407808,0.180644,val
11,0.00993187,3.316956,0.184112,3.354651,0.190216,val
12,0.00990200,3.258839,0.196230,3.253032,0.212726,val
13,0.00986677,3.204164,0.204348,3.276142,0.203295,val
14,0.00982622,3.151145,0.214587,3.170354,0.217049,val
15,0.00978040,3.114517,0.224022,3.170783,0.225888,val
16,0.00972936,3.068483,0.232764,3.154542,0.231354,val
17,0.00967315,3.033945,0.239219,3.101642,0.234885,val
18,0.00961184,2.994816,0.249693,3.088834,0.244217,val
19,0.00954549,2.962390,0.252700,3.036774,0.253724,val
20,0.00947417,2.931119,0.260095,2.998954,0.260493,val
21,0.00939797,2.902217,0.265597,3.023124,0.260593,val
22,0.00931697,2.860110,0.273094,2.972534,0.258598,val
23,0.00923125,2.837410,0.278528,2.985554,0.267162,val
24,0.00914090,2.802814,0.286473,2.900307,0.274030,val
25,0.00904604,2.772883,0.291277,2.928342,0.268722,val
26,0.00894676,2.753342,0.295901,2.889882,0.281074,val
27,0.00884316,2.720649,0.303973,2.906105,0.280892,val
28,0.00873537,2.697869,0.306151,2.895182,0.290247,val
29,0.00862350,2.676551,0.309651,2.852103,0.292001,val
30,0.00850768,2.649353,0.317732,2.870447,0.285807,val
31,0.00838802,2.627777,0.322011,2.853406,0.296898,val
32,0.00826467,2.598810,0.327433,2.818695,0.301256,val
33,0.00813775,2.582034,0.330855,2.825655,0.290957,val
34,0.00800740,2.555270,0.337094,2.834134,0.298101,val
35,0.00787377,2.532371,0.341060,2.808477,0.300687,val
36,0.00773701,2.513718,0.343693,2.822722,0.301239,val
37,0.00759725,2.495752,0.346779,2.771321,0.307039,val
38,0.00745467,2.465567,0.353616,2.812226,0.310394,val
39,0.00730940,2.451689,0.356099,2.765405,0.314811,val
40,0.00716161,2.430131,0.363148,2.795209,0.311180,val
41,0.00701147,2.409290,0.363663,2.829658,0.307098,val
42,0.00685913,2.391904,0.370875,2.775756,0.316805,val
43,0.00670476,2.370517,0.371362,2.764940,0.319368,val
44,0.00654854,2.346745,0.378043,2.769183,0.324600,val
45,0.00639063,2.322844,0.383571,2.775312,0.317474,val
46,0.00623120,2.298413,0.390170,2.732764,0.326864,val
47,0.00607043,2.291764,0.389941,2.731441,0.331069,val
48,0.00590850,2.270482,0.394530,2.754293,0.327357,val
49,0.00574558,2.242183,0.403954,2.761426,0.325527,val
