epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,4.606426,0.011050,4.605356,0.011660,val
2,0.00200800,4.568040,0.019257,4.545194,0.024071,val
3,0.00400600,4.424631,0.029487,4.361320,0.037960,val
4,0.00600400,4.203406,0.049683,4.310851,0.049561,val
5,0.00800200,3.968655,0.080472,4.070709,0.081052,val
6,0.01000000,3.794552,0.105155,3.969894,0.088530,val
7,0.00999727,3.651167,0.125597,3.671233,0.128619,val
8,0.00998908,3.551605,0.143819,3.676847,0.127258,val
9,0.00997544,3.450741,0.162133,3.493997,0.164684,val
10,0.00995636,3.360270,0.179521,3.512481,0.168555,val
11,0.00993187,3.282834,0.193896,3.381985,0.195741,val
12,0.00990200,3.215475,0.205923,3.309819,0.197576,val
13,0.00986677,3.150015,0.217334,3.174969,0.218609,val
14,0.00982622,3.086828,0.232606,3.121026,0.228926,val
15,0.00978040,3.034504,0.242976,3.149964,0.227372,val
16,0.00972936,2.980767,0.253418,3.050707,0.254540,val
17,0.00967315,2.935269,0.261854,3.001136,0.259214,val
18,0.00961184,2.889042,0.269472,2.955089,0.271842,val
19,0.00954549,2.842648,0.280937,2.944611,0.276458,val
20,0.00947417,2.809304,0.283208,2.888943,0.270282,val
21,0.00939797,2.770008,0.293567,2.916930,0.278335,val
22,0.00931697,2.740580,0.298327,2.913295,0.276851,val
23,0.00923125,2.706015,0.304221,2.821654,0.292324,val
24,0.00914090,2.668958,0.309630,2.819294,0.292582,val
25,0.00904604,2.641795,0.319035,2.936563,0.279027,val
26,0.00894676,2.608205,0.324119,2.816097,0.295678,val
27,0.00884316,2.577271,0.331513,2.836422,0.292816,val
28,0.00873537,2.549368,0.335721,2.814996,0.305462,val
29,0.00862350,2.520159,0.341687,2.733620,0.315685,val
30,0.00850768,2.493730,0.349574,2.715457,0.309843,val
31,0.00838802,2.457904,0.355219,2.770473,0.304869,val
32,0.00826467,2.433984,0.358238,2.647739,0.328113,val
33,0.00813775,2.408833,0.364954,2.746848,0.303192,val
34,0.00800740,2.384509,0.371328,2.670483,0.326577,val
35,0.00787377,2.362095,0.375083,2.647343,0.328964,val
36,0.00773701,2.344060,0.378839,2.636956,0.330659,val
37,0.00759725,2.322029,0.383836,2.666154,0.328706,val
38,0.00745467,2.290628,0.388780,2.634188,0.340149,val
39,0.00730940,2.275211,0.393245,2.599513,0.339380,val
40,0.00716161,2.249945,0.400521,2.582113,0.347076,val
41,0.00701147,2.237364,0.400491,2.632631,0.336635,val
42,0.00685913,2.217498,0.405361,2.603652,0.341433,val
43,0.00670476,2.190637,0.411626,2.589696,0.344589,val
44,0.00654854,2.166312,0.413996,2.597696,0.351991,val
45,0.00639063,2.142582,0.422495,2.573296,0.350448,val
46,0.00623120,2.128514,0.424121,2.575488,0.357117,val
47,0.00607043,2.120184,0.427014,2.592350,0.344724,val
48,0.00590850,2.087690,0.432406,2.556614,0.357527,val
49,0.00574558,2.071256,0.437777,2.550318,0.367674,val
50,0.00558185,2.054451,0.438782,2.585243,0.353686,val
51,0.00541748,2.034551,0.443942,2.556613,0.365880,val
52,0.00525267,2.016846,0.447021,2.564405,0.362618,val
53,0.00508759,1.993108,0.453815,2.587876,0.366707,val
54,0.00492241,1.973416,0.457555,2.588369,0.362542,val
55,0.00475733,1.958565,0.462369,2.577122,0.373944,val
56,0.00459252,1.945200,0.462100,2.562998,0.370572,val
57,0.00442815,1.919524,0.469994,2.562868,0.368226,val
58,0.00426442,1.902206,0.475156,2.568659,0.367850,val
59,0.00410150,1.887473,0.479025,2.540657,0.366073,val
60,0.00393957,1.863595,0.482405,2.579067,0.373692,val
61,0.00377880,1.846762,0.486104,2.587855,0.368660,val
62,0.00361937,1.824171,0.491289,2.602635,0.366490,val
63,0.00346146,1.816063,0.495566,2.562583,0.374144,val
64,0.00330524,1.796950,0.496085,2.554658,0.375938,val
65,0.00315087,1.774587,0.503483,2.574318,0.378801,val
66,0.00299853,1.764437,0.505737,2.578095,0.372724,val
67,0.00284839,1.747622,0.511168,2.553299,0.382865,val
68,0.00270060,1.726708,0.514093,2.602043,0.374754,val
69,0.00255533,1.700777,0.525026,2.584466,0.380103,val
70,0.00241275,1.688673,0.524456,2.575705,0.378760,val
71,0.00227299,1.685525,0.525062,2.606255,0.377282,val
72,0.00213623,1.667073,0.531294,2.591273,0.377282,val
73,0.00200260,1.640248,0.537085,2.600259,0.379868,val
74,0.00187225,1.630366,0.538465,2.604606,0.381405,val
75,0.00174533,1.611841,0.543599,2.620812,0.377323,val
76,0.00162198,1.588009,0.546949,2.618105,0.376197,val
77,0.00150232,1.585796,0.549252,2.617623,0.380519,val
78,0.00138650,1.572299,0.554938,2.621976,0.380044,val
79,0.00127463,1.561202,0.557768,2.626017,0.385962,val
80,0.00116684,1.541141,0.559728,2.625405,0.383892,val
81,0.00106324,1.533786,0.562777,2.631748,0.382865,val
82,0.00096396,1.517669,0.565725,2.653832,0.383182,val
83,0.00086910,1.512539,0.568803,2.641479,0.383774,val
84,0.00077875,1.496639,0.573346,2.640382,0.384502,val
85,0.00069303,1.482147,0.574388,2.636148,0.388942,val
86,0.00061203,1.474581,0.577537,2.644909,0.383024,val
87,0.00053583,1.469847,0.580722,2.642065,0.383892,val
88,0.00046451,1.466649,0.579075,2.657603,0.382431,val
89,0.00039816,1.460657,0.582925,2.652896,0.386713,val
90,0.00033685,1.442791,0.585970,2.655089,0.385628,val
91,0.00028064,1.435971,0.588525,2.648460,0.387147,val
92,0.00022960,1.433016,0.590222,2.650360,0.388666,val
93,0.00018378,1.437316,0.584398,2.659489,0.387423,val
94,0.00014323,1.417291,0.591727,2.657675,0.389159,val
95,0.00010800,1.426465,0.589579,2.656816,0.387106,val
96,0.00007813,1.405730,0.593923,2.656476,0.384068,val
97,0.00005364,1.417190,0.593674,2.658773,0.386396,val
98,0.00003456,1.416215,0.593767,2.658215,0.387540,val
99,0.00002092,1.411590,0.595809,2.658519,0.386830,val
100,0.00001273,1.409670,0.598017,2.658651,0.387047,val
