epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.639411,0.014368,4.587506,0.013338,val
2,0.02008000,3.952883,0.096038,3.719648,0.130631,val
3,0.04006000,3.411847,0.177625,3.194096,0.218691,val
4,0.06004000,2.986337,0.251936,2.954805,0.266182,val
5,0.08002000,2.598215,0.322773,3.015329,0.286165,val
6,0.10000000,2.326671,0.379074,2.626385,0.342084,val
7,0.09997267,2.069784,0.438914,2.450732,0.397998,val
8,0.09989069,1.882860,0.478777,2.141881,0.438603,val
9,0.09975417,1.748197,0.511617,2.121014,0.440022,val
10,0.09956325,1.643491,0.537250,1.938575,0.475043,val
11,0.09931813,1.564930,0.557070,1.937689,0.482439,val
12,0.09901910,1.500370,0.575566,1.912050,0.482481,val
13,0.09866646,1.445567,0.584355,1.941305,0.475354,val
14,0.09826062,1.403154,0.596889,1.827545,0.512311,val
15,0.09780201,1.361981,0.607481,2.527415,0.420250,val
16,0.09729113,1.317870,0.619811,2.041866,0.470838,val
17,0.09672855,1.293345,0.625008,1.951315,0.500340,val
18,0.09611488,1.259654,0.636157,1.737141,0.542734,val
19,0.09545078,1.222704,0.644693,1.775756,0.526001,val
20,0.09473699,1.191211,0.653964,2.143904,0.472832,val
21,0.09397429,1.177351,0.656390,1.700576,0.548083,val
22,0.09316351,1.142774,0.668000,1.698068,0.545813,val
23,0.09230553,1.120215,0.670774,1.790778,0.530857,val
24,0.09140130,1.102910,0.678313,1.753652,0.542060,val
25,0.09045180,1.076668,0.682133,1.919560,0.518188,val
26,0.08945808,1.055021,0.688967,1.748262,0.547667,val
27,0.08842121,1.036023,0.695805,1.569166,0.566864,val
28,0.08734234,1.014663,0.699212,1.633929,0.566723,val
29,0.08622264,0.995044,0.704693,1.679024,0.557309,val
30,0.08506333,0.975202,0.709893,1.662240,0.561262,val
31,0.08386569,0.959390,0.714708,1.751761,0.543250,val
32,0.08263103,0.944118,0.719019,1.883143,0.528370,val
33,0.08136068,0.917429,0.727357,1.851608,0.529097,val
34,0.08005605,0.896313,0.732307,1.748636,0.567538,val
35,0.07871856,0.896197,0.731619,1.733329,0.557139,val
36,0.07734967,0.862922,0.743152,1.761022,0.551022,val
37,0.07595088,0.844325,0.746597,1.830737,0.545479,val
38,0.07452372,0.826352,0.751570,1.748347,0.556905,val
39,0.07306975,0.802414,0.759168,1.688369,0.581744,val
40,0.07159056,0.796812,0.759213,1.695578,0.571814,val
41,0.07008776,0.774383,0.765943,1.558771,0.605498,val
42,0.06856301,0.747144,0.772994,1.599730,0.594806,val
43,0.06701796,0.744039,0.773671,1.617855,0.597210,val
44,0.06545430,0.702949,0.785870,1.542350,0.601510,val
45,0.06387376,0.696707,0.787652,1.624433,0.591961,val
46,0.06227805,0.657619,0.797527,1.651897,0.593480,val
47,0.06066892,0.653766,0.800238,1.730407,0.572864,val
48,0.05904812,0.619368,0.809535,1.633977,0.618501,val
49,0.05741744,0.597106,0.815757,1.642194,0.591328,val
50,0.05577865,0.586093,0.820337,1.566207,0.614372,val
51,0.05413355,0.555361,0.826819,1.527487,0.622742,val
52,0.05248394,0.549481,0.829236,1.617543,0.599991,val
53,0.05083161,0.511092,0.840137,1.595893,0.613076,val
54,0.04917839,0.482996,0.849428,1.651471,0.603246,val
55,0.04752606,0.466967,0.852495,1.556868,0.619704,val
56,0.04587645,0.445134,0.860810,1.653522,0.611475,val
57,0.04423135,0.429678,0.866861,1.589338,0.625282,val
58,0.04259256,0.386640,0.879171,1.611798,0.619029,val
59,0.04096188,0.369429,0.884333,1.556060,0.636296,val
60,0.03934108,0.339678,0.894083,1.591825,0.625798,val
61,0.03773195,0.333934,0.895903,1.573526,0.636255,val
62,0.03613624,0.307219,0.903831,1.627741,0.633575,val
63,0.03455570,0.289770,0.910138,1.545250,0.642965,val
64,0.03299204,0.246966,0.924654,1.633794,0.621798,val
65,0.03144699,0.234338,0.927794,1.445145,0.660502,val
66,0.02992224,0.207321,0.937551,1.535659,0.646871,val
67,0.02841944,0.192455,0.941765,1.448942,0.668239,val
68,0.02694025,0.165887,0.950257,1.449309,0.665593,val
69,0.02548628,0.140199,0.958600,1.407688,0.673013,val
70,0.02405912,0.123431,0.965103,1.400017,0.676509,val
71,0.02266033,0.100801,0.972413,1.402585,0.679383,val
72,0.02129144,0.081229,0.978993,1.346210,0.685447,val
73,0.01995395,0.071459,0.981776,1.320824,0.705864,val
74,0.01864932,0.052765,0.988096,1.298428,0.706298,val
75,0.01737897,0.045632,0.990117,1.262261,0.713477,val
76,0.01614431,0.033234,0.993803,1.231136,0.720820,val
77,0.01494667,0.025924,0.995465,1.206203,0.718216,val
