epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,4.630587,0.014111,0.010742,4.594655,0.018457,0.012588,test
2,0.02008000,3.822897,0.116790,0.105522,3.866959,0.127246,0.110637,test
3,0.04006000,3.321030,0.202188,0.191374,4.100470,0.139941,0.125124,test
4,0.06004000,2.923432,0.271304,0.262281,3.500687,0.210547,0.187648,test
5,0.08002000,2.605804,0.334349,0.326416,3.117245,0.252148,0.240598,test
6,0.10000000,2.373318,0.379182,0.372617,3.146036,0.263184,0.247850,test
7,0.09999351,2.123519,0.432546,0.426980,3.069006,0.294141,0.267189,test
8,0.09997405,1.945608,0.472138,0.467536,2.890174,0.316602,0.307012,test
9,0.09994162,1.811487,0.500584,0.496573,2.921379,0.324316,0.320060,test
10,0.09989622,1.693445,0.530769,0.527338,2.924316,0.332324,0.327317,test
11,0.09983788,1.595427,0.551025,0.548118,2.891486,0.330273,0.326781,test
12,0.09976661,1.509199,0.572547,0.569589,2.921279,0.351074,0.342823,test
13,0.09968241,1.432723,0.590623,0.588362,3.169599,0.310352,0.304840,test
14,0.09958533,1.360982,0.609138,0.607262,2.812911,0.367188,0.360349,test
15,0.09947537,1.301714,0.624933,0.623228,2.926302,0.347656,0.346048,test
16,0.09935258,1.239337,0.638435,0.636969,3.040119,0.355371,0.346755,test
17,0.09921698,1.181164,0.653323,0.651974,2.735580,0.392676,0.386602,test
18,0.09906860,1.126119,0.667453,0.666060,2.706225,0.399609,0.395131,test
19,0.09890749,1.088544,0.674176,0.672805,2.780771,0.399121,0.397704,test
20,0.09873369,1.037471,0.690326,0.689365,2.802181,0.392188,0.391933,test
21,0.09854724,0.992285,0.702005,0.700893,2.773394,0.405469,0.400908,test
22,0.09834819,0.961387,0.706873,0.706160,2.839368,0.405859,0.400158,test
23,0.09813659,0.923788,0.719695,0.719017,2.950934,0.394141,0.391029,test
24,0.09791250,0.887495,0.727717,0.727036,2.731419,0.421582,0.414509,test
25,0.09767598,0.848340,0.739993,0.739497,3.287298,0.374414,0.379610,test
26,0.09742708,0.820991,0.746816,0.746338,2.927008,0.419043,0.406714,test
27,0.09716587,0.791647,0.754311,0.753873,2.870488,0.406055,0.402364,test
28,0.09689243,0.760916,0.759600,0.759168,3.066892,0.393750,0.397323,test
