epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,4.628606,0.015026,0.011413,4.577709,0.023340,0.018636,test
2,0.02008000,3.839876,0.112936,0.102434,3.404383,0.185352,0.164842,test
3,0.04006000,3.356808,0.191071,0.180959,3.087748,0.242578,0.221880,test
4,0.06004000,2.971667,0.259317,0.249641,2.837328,0.295410,0.282867,test
5,0.08002000,2.655935,0.319516,0.311125,2.500345,0.349512,0.345905,test
6,0.10000000,2.421612,0.365688,0.358663,2.435077,0.369727,0.359218,test
7,0.09999351,2.184311,0.415591,0.409515,2.325902,0.396680,0.383573,test
8,0.09997405,2.010390,0.458595,0.453053,2.162787,0.427246,0.418769,test
9,0.09994162,1.884195,0.482984,0.478269,2.100108,0.447852,0.437893,test
10,0.09989622,1.777622,0.505364,0.501816,1.988539,0.474316,0.471384,test
11,0.09983788,1.673721,0.532047,0.528264,1.976799,0.475000,0.466593,test
12,0.09976661,1.594678,0.550064,0.546801,1.987460,0.479785,0.468861,test
13,0.09968241,1.524248,0.564761,0.562050,2.016429,0.474805,0.461211,test
14,0.09958533,1.448393,0.582547,0.579892,1.919647,0.497363,0.486958,test
15,0.09947537,1.393365,0.595893,0.593603,1.900982,0.501758,0.494812,test
16,0.09935258,1.329569,0.613380,0.611507,1.904239,0.507812,0.500295,test
17,0.09921698,1.273691,0.626943,0.625257,1.867886,0.514062,0.503616,test
18,0.09906860,1.216465,0.642265,0.640621,1.908619,0.512402,0.501679,test
19,0.09890749,1.170257,0.653160,0.651720,1.880137,0.515234,0.512832,test
20,0.09873369,1.128224,0.662154,0.661053,1.842406,0.527637,0.518038,test
21,0.09854724,1.078279,0.677868,0.676557,1.995091,0.504687,0.502897,test
22,0.09834819,1.042439,0.686489,0.685538,1.935566,0.531250,0.523998,test
23,0.09813659,0.996419,0.698314,0.697445,1.835889,0.543457,0.536566,test
24,0.09791250,0.962034,0.706452,0.705559,1.920522,0.521680,0.519940,test
25,0.09767598,0.920238,0.716178,0.715686,1.896921,0.539258,0.532500,test
26,0.09742708,0.881447,0.727921,0.727467,1.972623,0.530762,0.523108,test
27,0.09716587,0.855772,0.735926,0.735423,1.957103,0.531934,0.523228,test
28,0.09689243,0.828817,0.741825,0.741286,1.955509,0.535840,0.530068,test
29,0.09660681,0.786389,0.757605,0.757207,2.038356,0.525684,0.519827,test
30,0.09630910,0.770509,0.757383,0.757051,2.007795,0.533691,0.525956,test
31,0.09599937,0.756634,0.764298,0.764049,2.077414,0.523047,0.514820,test
32,0.09567771,0.723944,0.771314,0.770881,2.015482,0.539941,0.530483,test
33,0.09534418,0.690782,0.782219,0.782022,2.070443,0.534766,0.530240,test
34,0.09499889,0.664328,0.789558,0.789265,2.073073,0.533887,0.532198,test
35,0.09464193,0.644982,0.793926,0.793701,2.049420,0.536621,0.530921,test
36,0.09427337,0.627314,0.802175,0.802036,2.076603,0.541504,0.536701,test
37,0.09389333,0.606546,0.805832,0.805696,2.129745,0.536914,0.530785,test
38,0.09350190,0.590625,0.810123,0.810033,2.067974,0.544531,0.538826,test
39,0.09309917,0.566089,0.817279,0.817189,2.121086,0.541699,0.530959,test
40,0.09268526,0.554162,0.821227,0.821221,2.153771,0.537793,0.531064,test
41,0.09226028,0.537172,0.825294,0.825400,2.142636,0.538867,0.531719,test
42,0.09182432,0.512789,0.835375,0.835438,2.263061,0.533203,0.525740,test
43,0.09137752,0.508480,0.833979,0.833966,2.202056,0.539160,0.532277,test
44,0.09091997,0.469982,0.848396,0.848445,2.191769,0.543555,0.534571,test
45,0.09045180,0.468341,0.849442,0.849376,2.248800,0.540527,0.535226,test
46,0.08997314,0.461208,0.851333,0.851263,2.200415,0.546875,0.543422,test
47,0.08948410,0.441221,0.857082,0.857030,2.212076,0.543848,0.534431,test
48,0.08898482,0.444791,0.855548,0.855569,2.258826,0.542773,0.532549,test
49,0.08847542,0.432793,0.859673,0.859643,2.296875,0.537207,0.536677,test
50,0.08795603,0.404095,0.869067,0.869075,2.237289,0.545020,0.534671,test
51,0.08742679,0.398755,0.872314,0.872415,2.255738,0.543066,0.535117,test
52,0.08688785,0.393789,0.874709,0.874712,2.269979,0.540820,0.537656,test
53,0.08633932,0.386861,0.873895,0.873992,2.244750,0.544043,0.541689,test
54,0.08578137,0.385337,0.875427,0.875396,2.263254,0.548145,0.541639,test
55,0.08521413,0.373212,0.879271,0.879282,2.249280,0.549414,0.543590,test
56,0.08463775,0.362512,0.883392,0.883435,2.296310,0.541699,0.535582,test
57,0.08405239,0.361133,0.881597,0.881615,2.314186,0.539941,0.532230,test
58,0.08345818,0.344023,0.889353,0.889384,2.277482,0.544141,0.537561,test
59,0.08285530,0.336023,0.890319,0.890330,2.325450,0.542090,0.537458,test
60,0.08224389,0.332278,0.892413,0.892360,2.367868,0.539258,0.535608,test
61,0.08162411,0.324210,0.895537,0.895481,2.378473,0.535547,0.530839,test
62,0.08099612,0.321408,0.897579,0.897707,2.277810,0.557910,0.547568,test
63,0.08036009,0.315503,0.897261,0.897259,2.328253,0.550781,0.541741,test
64,0.07971618,0.313995,0.897456,0.897425,2.357177,0.542969,0.536674,test
65,0.07906456,0.291650,0.904780,0.904790,2.277472,0.556250,0.547190,test
66,0.07840540,0.272661,0.910995,0.911177,2.277464,0.559375,0.549878,test
67,0.07773886,0.271266,0.912620,0.912661,2.356299,0.545605,0.537810,test
68,0.07706513,0.284437,0.909145,0.909211,2.356454,0.550684,0.538926,test
69,0.07638437,0.280220,0.908731,0.908720,2.298260,0.553613,0.545512,test
70,0.07569677,0.253492,0.917865,0.917841,2.281189,0.553125,0.548083,test
71,0.07500250,0.261407,0.916482,0.916544,2.310723,0.554883,0.552901,test
72,0.07430174,0.247321,0.920770,0.920827,2.311364,0.555273,0.546348,test
73,0.07359468,0.260219,0.915446,0.915406,2.333870,0.552344,0.542963,test
74,0.07288149,0.254568,0.918479,0.918514,2.306720,0.554492,0.547112,test
75,0.07216236,0.231638,0.924738,0.924790,2.297080,0.553027,0.540447,test
76,0.07143748,0.231941,0.925044,0.925072,2.255214,0.559277,0.554286,test
77,0.07070705,0.229110,0.927308,0.927328,2.392270,0.549414,0.541359,test
78,0.06997123,0.239066,0.921500,0.921476,2.333408,0.550781,0.545843,test
79,0.06923024,0.205410,0.935061,0.935062,2.260933,0.570801,0.561893,test
80,0.06848425,0.189307,0.940126,0.940153,2.332843,0.565625,0.555930,test
81,0.06773347,0.214243,0.932765,0.932736,2.298380,0.562305,0.552124,test
82,0.06697809,0.202671,0.935858,0.935932,2.268972,0.566992,0.557741,test
83,0.06621830,0.190179,0.940227,0.940210,2.417783,0.545898,0.543727,test
84,0.06545430,0.184449,0.941290,0.941342,2.310776,0.566406,0.559488,test
85,0.06468630,0.181378,0.942292,0.942291,2.291337,0.563477,0.554025,test
86,0.06391448,0.172265,0.945675,0.945706,2.319065,0.564648,0.555259,test
87,0.06313906,0.183000,0.940731,0.940763,2.372653,0.554980,0.554254,test
88,0.06236022,0.166702,0.947761,0.947789,2.333537,0.567187,0.557072,test
89,0.06157818,0.174984,0.944388,0.944417,2.292882,0.560937,0.558543,test
90,0.06079313,0.161715,0.949066,0.949088,2.327641,0.563281,0.553929,test
91,0.06000528,0.158434,0.951591,0.951590,2.282199,0.573242,0.562997,test
92,0.05921484,0.153148,0.952541,0.952529,2.297188,0.574512,0.565747,test
93,0.05842201,0.138966,0.957113,0.957105,2.304005,0.571875,0.563475,test
94,0.05762699,0.125224,0.961897,0.961868,2.316519,0.567969,0.560129,test
95,0.05683000,0.119686,0.964042,0.964068,2.308968,0.569238,0.563342,test
96,0.05603123,0.123577,0.962511,0.962532,2.278754,0.574902,0.565709,test
97,0.05523090,0.120604,0.963894,0.963865,2.316563,0.570215,0.561650,test
98,0.05442921,0.118501,0.963209,0.963261,2.345778,0.564453,0.560101,test
99,0.05362638,0.124147,0.961606,0.961645,2.301007,0.565332,0.558926,test
100,0.05282260,0.127581,0.960050,0.960151,2.348211,0.563574,0.553391,test
101,0.05201810,0.120643,0.962933,0.962960,2.351917,0.570996,0.559276,test
102,0.05121307,0.112209,0.966008,0.965989,2.322717,0.565039,0.560065,test
103,0.05040772,0.106655,0.968106,0.968063,2.302411,0.571191,0.569258,test
104,0.04960228,0.105710,0.968286,0.968331,2.294900,0.574902,0.568744,test
105,0.04879693,0.089529,0.973487,0.973484,2.300933,0.571680,0.565704,test
106,0.04799190,0.087746,0.974530,0.974530,2.260952,0.578711,0.568546,test
107,0.04718740,0.077628,0.978308,0.978332,2.245386,0.579199,0.569752,test
108,0.04638362,0.065026,0.982082,0.982110,2.243398,0.591211,0.583562,test
109,0.04558079,0.058039,0.984878,0.984911,2.239596,0.583008,0.573850,test
110,0.04477910,0.057231,0.984730,0.984709,2.234308,0.586133,0.578431,test
111,0.04397877,0.054284,0.985667,0.985668,2.266527,0.577148,0.568045,test
112,0.04318000,0.049439,0.987154,0.987157,2.142227,0.591113,0.584032,test
113,0.04238301,0.051346,0.986599,0.986599,2.229690,0.586328,0.577333,test
114,0.04158799,0.045079,0.988846,0.988867,2.196480,0.589648,0.578848,test
115,0.04079516,0.040318,0.989867,0.989891,2.201676,0.589648,0.581567,test
116,0.04000472,0.039419,0.990661,0.990667,2.157780,0.596484,0.589445,test
117,0.03921687,0.031943,0.992259,0.992266,2.113064,0.592969,0.585916,test
118,0.03843182,0.023302,0.995687,0.995734,2.101770,0.601270,0.592888,test
119,0.03764978,0.024821,0.994700,0.994711,2.081507,0.599512,0.590379,test
120,0.03687094,0.021423,0.995517,0.995511,2.101437,0.593945,0.584533,test
121,0.03609552,0.018289,0.996715,0.996711,2.050513,0.609961,0.599992,test
122,0.03532370,0.013602,0.998047,0.998044,2.037173,0.610156,0.601747,test
123,0.03455570,0.010001,0.998424,0.998422,2.008809,0.610645,0.601583,test
124,0.03379170,0.009469,0.998935,0.998933,1.988492,0.610742,0.602479,test
125,0.03303191,0.007425,0.999001,0.999000,1.992106,0.607227,0.599290,test
126,0.03227653,0.007320,0.999023,0.999022,1.961768,0.614551,0.604485,test
127,0.03152575,0.006942,0.999112,0.999111,1.943680,0.614258,0.606386,test
128,0.03077976,0.006493,0.999356,0.999356,1.932471,0.611133,0.601621,test
129,0.03003877,0.006194,0.999268,0.999267,1.911402,0.612793,0.603419,test
130,0.02930295,0.006440,0.999068,0.999067,1.900616,0.615625,0.606669,test
131,0.02857252,0.005655,0.999268,0.999267,1.890009,0.619238,0.610539,test
132,0.02784764,0.005693,0.999290,0.999289,1.870223,0.619043,0.609391,test
133,0.02712851,0.005089,0.999312,0.999311,1.863873,0.619824,0.608604,test
134,0.02641532,0.005682,0.999134,0.999133,1.873163,0.611621,0.601031,test
135,0.02570826,0.005163,0.999423,0.999422,1.847273,0.617578,0.608209,test
136,0.02500750,0.005012,0.999467,0.999467,1.847853,0.620703,0.611180,test
137,0.02431323,0.004461,0.999512,0.999511,1.828047,0.622363,0.613097,test
138,0.02362563,0.004242,0.999556,0.999556,1.816007,0.621777,0.612363,test
139,0.02294487,0.004078,0.999490,0.999489,1.809368,0.622168,0.613001,test
140,0.02227114,0.004131,0.999467,0.999467,1.813298,0.621094,0.611930,test
141,0.02160460,0.004063,0.999534,0.999533,1.797501,0.624219,0.614944,test
142,0.02094544,0.003876,0.999556,0.999556,1.789318,0.622168,0.612535,test
143,0.02029382,0.003712,0.999534,0.999533,1.786914,0.625195,0.614370,test
144,0.01964991,0.003790,0.999556,0.999556,1.782253,0.625195,0.615943,test
145,0.01901388,0.003528,0.999534,0.999533,1.774214,0.622559,0.613445,test
146,0.01838589,0.003668,0.999490,0.999489,1.767568,0.625293,0.616277,test
147,0.01776611,0.003629,0.999534,0.999533,1.767203,0.625781,0.616764,test
148,0.01715470,0.003703,0.999600,0.999600,1.758555,0.622266,0.613206,test
149,0.01655182,0.003620,0.999512,0.999511,1.756250,0.624609,0.614157,test
150,0.01595761,0.003492,0.999623,0.999622,1.754666,0.626074,0.615854,test
151,0.01537225,0.003421,0.999578,0.999578,1.753545,0.624121,0.613286,test
152,0.01479587,0.003545,0.999578,0.999578,1.746173,0.625586,0.615259,test
153,0.01422863,0.003420,0.999578,0.999578,1.746962,0.626563,0.615925,test
154,0.01367068,0.003344,0.999600,0.999600,1.753556,0.626465,0.615997,test
155,0.01312215,0.003468,0.999556,0.999556,1.738039,0.628320,0.618032,test
156,0.01258321,0.003415,0.999556,0.999556,1.739083,0.624219,0.613855,test
157,0.01205397,0.003284,0.999578,0.999578,1.735104,0.625293,0.616162,test
158,0.01153458,0.003292,0.999667,0.999667,1.735306,0.627930,0.617038,test
159,0.01102518,0.003381,0.999556,0.999556,1.733465,0.625781,0.615294,test
160,0.01052590,0.003283,0.999578,0.999578,1.728988,0.626855,0.616431,test
161,0.01003686,0.003097,0.999734,0.999733,1.726036,0.628418,0.617815,test
162,0.00955820,0.003201,0.999600,0.999600,1.728463,0.626465,0.615237,test
163,0.00909003,0.003338,0.999583,0.999600,1.727408,0.626660,0.615731,test
164,0.00863248,0.003102,0.999556,0.999556,1.726251,0.627637,0.617627,test
165,0.00818568,0.003092,0.999623,0.999622,1.722898,0.628125,0.617611,test
166,0.00774972,0.003119,0.999645,0.999644,1.723799,0.627539,0.616569,test
167,0.00732474,0.003191,0.999623,0.999622,1.723566,0.626660,0.616094,test
168,0.00691083,0.003137,0.999689,0.999689,1.724686,0.628223,0.618092,test
169,0.00650810,0.003015,0.999667,0.999667,1.722576,0.627344,0.616927,test
170,0.00611667,0.003083,0.999667,0.999667,1.720500,0.627051,0.616678,test
171,0.00573663,0.002953,0.999711,0.999711,1.714988,0.628711,0.618209,test
172,0.00536807,0.003044,0.999689,0.999689,1.717909,0.627930,0.617208,test
173,0.00501111,0.002950,0.999645,0.999644,1.716486,0.629004,0.618525,test
174,0.00466582,0.003042,0.999600,0.999600,1.719136,0.627246,0.616284,test
175,0.00433229,0.002916,0.999711,0.999711,1.715174,0.628906,0.618578,test
176,0.00401063,0.002900,0.999778,0.999778,1.710572,0.628906,0.618175,test
177,0.00370090,0.002991,0.999689,0.999689,1.718606,0.627734,0.616994,test
178,0.00340319,0.002878,0.999756,0.999756,1.715135,0.628906,0.618403,test
179,0.00311757,0.002939,0.999667,0.999667,1.712419,0.630664,0.620426,test
180,0.00284413,0.002922,0.999689,0.999689,1.715781,0.626074,0.616723,test
181,0.00258292,0.002899,0.999711,0.999711,1.713259,0.627637,0.617440,test
182,0.00233402,0.002868,0.999689,0.999689,1.714363,0.627246,0.616698,test
183,0.00209750,0.002893,0.999711,0.999711,1.714671,0.628516,0.618501,test
184,0.00187341,0.002947,0.999623,0.999622,1.706378,0.628906,0.618846,test
185,0.00166181,0.002890,0.999689,0.999689,1.706506,0.629102,0.618436,test
186,0.00146276,0.002790,0.999756,0.999756,1.706204,0.628320,0.618064,test
187,0.00127631,0.002970,0.999689,0.999689,1.714597,0.629102,0.619102,test
188,0.00110251,0.002885,0.999756,0.999756,1.709268,0.630371,0.619888,test
189,0.00094140,0.002880,0.999711,0.999711,1.705377,0.631641,0.621497,test
190,0.00079302,0.002883,0.999711,0.999711,1.706447,0.629004,0.618816,test
191,0.00065742,0.002847,0.999711,0.999711,1.708727,0.628516,0.618438,test
192,0.00053463,0.002865,0.999667,0.999667,1.710981,0.628320,0.617904,test
193,0.00042467,0.002869,0.999800,0.999800,1.710167,0.629980,0.619531,test
194,0.00032759,0.002871,0.999689,0.999689,1.710351,0.630469,0.620336,test
195,0.00024339,0.002749,0.999800,0.999800,1.704929,0.627930,0.617732,test
196,0.00017212,0.002868,0.999645,0.999644,1.711109,0.629590,0.619582,test
197,0.00011378,0.002798,0.999734,0.999733,1.712209,0.626953,0.616817,test
198,0.00006838,0.002840,0.999667,0.999667,1.708960,0.629199,0.619464,test
199,0.00003595,0.002865,0.999734,0.999733,1.708762,0.628320,0.617984,test
200,0.00001649,0.002805,0.999778,0.999778,1.708604,0.629980,0.619756,test
