epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00005000,4.651061,0.011869,0.009730,4.930748,0.013672,0.005805,test
2,0.01004000,4.488059,0.029588,0.023457,4.367403,0.048047,0.028626,test
3,0.02003000,4.012309,0.075499,0.062004,3.860023,0.098437,0.071963,test
4,0.03002000,3.712332,0.119834,0.104922,3.778583,0.116309,0.096671,test
5,0.04001000,3.486998,0.157937,0.143169,3.521631,0.153418,0.138613,test
6,0.05000000,3.315306,0.189337,0.175707,3.678806,0.130176,0.108598,test
7,0.04999676,3.167262,0.213519,0.200523,3.351422,0.177148,0.163557,test
8,0.04998703,2.999841,0.248552,0.236756,3.204267,0.209473,0.209302,test
9,0.04997081,2.840807,0.277060,0.266278,3.118482,0.237988,0.234733,test
10,0.04994812,2.715678,0.306251,0.296542,3.140228,0.241602,0.237761,test
11,0.04991895,2.653476,0.315343,0.306072,3.910638,0.208398,0.200207,test
12,0.04988331,2.570564,0.334071,0.325029,3.048770,0.263477,0.259234,test
13,0.04984122,2.547125,0.336608,0.328758,3.093070,0.250098,0.244242,test
14,0.04979268,2.465113,0.356475,0.348264,2.996318,0.274121,0.269874,test
15,0.04973771,2.415046,0.366221,0.358957,2.879528,0.278223,0.276156,test
16,0.04967632,2.302186,0.391313,0.384580,2.947454,0.264941,0.263593,test
17,0.04960853,2.243135,0.404452,0.398647,2.822861,0.294141,0.282274,test
18,0.04953435,2.330155,0.386800,0.380638,3.166496,0.237305,0.226761,test
19,0.04945380,2.234274,0.403384,0.397160,2.829047,0.306250,0.298686,test
20,0.04936691,2.082343,0.437959,0.433162,2.772522,0.306934,0.308108,test
21,0.04927369,2.040083,0.446632,0.442028,2.671662,0.328223,0.326537,test
22,0.04917418,2.029769,0.447238,0.442925,2.710892,0.327832,0.325559,test
23,0.04906839,1.929824,0.470553,0.466779,2.837084,0.308105,0.298263,test
24,0.04895635,2.039687,0.449978,0.445909,4.458267,0.150586,0.127308,test
25,0.04883810,2.117362,0.432203,0.427179,2.576955,0.357617,0.342083,test
26,0.04871367,1.853839,0.489758,0.485993,2.642579,0.347559,0.339674,test
