epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00005000,4.661898,0.011265,0.008976,4.661813,0.011328,0.004754,test
2,0.01004000,4.378366,0.036670,0.030517,4.064649,0.071094,0.044468,test
3,0.02003000,3.941928,0.082751,0.069707,3.776448,0.109961,0.083288,test
4,0.03002000,3.692080,0.120344,0.105805,3.465462,0.168359,0.140262,test
5,0.04001000,3.471692,0.158398,0.144398,3.261424,0.198730,0.178925,test
6,0.05000000,3.290155,0.190383,0.176680,3.118247,0.219043,0.204411,test
7,0.04999676,3.155964,0.218227,0.205847,3.237874,0.203516,0.190408,test
8,0.04998703,3.144921,0.222387,0.210727,3.176150,0.213965,0.202633,test
9,0.04997081,2.983982,0.251973,0.240365,2.812401,0.287012,0.280723,test
10,0.04994812,2.889916,0.267933,0.257542,2.770936,0.299316,0.297174,test
11,0.04991895,2.739174,0.297861,0.288059,2.703609,0.304980,0.300179,test
12,0.04988331,2.627593,0.321348,0.311906,2.634777,0.323926,0.327223,test
13,0.04984122,2.537615,0.338761,0.331572,2.489318,0.348926,0.343272,test
14,0.04979268,2.465517,0.352204,0.344241,2.588806,0.337305,0.337616,test
15,0.04973771,2.441808,0.358458,0.351171,2.364143,0.380957,0.379987,test
16,0.04967632,2.401035,0.368995,0.362152,2.359232,0.388867,0.387445,test
17,0.04960853,2.289956,0.389661,0.383671,2.295096,0.399805,0.386666,test
18,0.04953435,2.228811,0.399821,0.393661,2.312896,0.400977,0.391755,test
19,0.04945380,2.370957,0.374142,0.367535,2.287477,0.397461,0.389374,test
20,0.04936691,2.274881,0.392440,0.386718,2.558988,0.342090,0.336899,test
21,0.04927369,2.319251,0.383530,0.377518,2.380669,0.391797,0.383717,test
22,0.04917418,2.121078,0.427589,0.422199,2.199618,0.423438,0.415626,test
23,0.04906839,2.059099,0.439059,0.434033,2.232734,0.414062,0.410923,test
24,0.04895635,2.005494,0.452435,0.448173,2.166341,0.428125,0.419535,test
25,0.04883810,1.966462,0.458785,0.453942,2.087228,0.450098,0.443184,test
