epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,4.639606,0.013428,0.005186,4.571749,0.017727,0.009270,val
2,0.02008000,3.848375,0.109922,0.100519,3.443744,0.177011,0.146446,val
3,0.04006000,3.218201,0.210617,0.197841,3.056180,0.252344,0.227647,val
4,0.06004000,2.729878,0.297874,0.287647,2.726552,0.323323,0.309918,val
5,0.08002000,2.338893,0.376507,0.368917,2.339524,0.382801,0.373384,val
6,0.10000000,2.090336,0.429537,0.423808,2.276515,0.395393,0.390932,val
7,0.09999351,1.865243,0.483721,0.478678,2.008955,0.459386,0.447864,val
8,0.09997405,1.707640,0.520276,0.515702,2.110268,0.437489,0.428995,val
9,0.09994162,1.591271,0.547662,0.544037,2.082261,0.447472,0.445338,val
10,0.09989622,1.501026,0.572275,0.569017,1.757455,0.523932,0.521028,val
11,0.09983788,1.434151,0.592117,0.589109,1.899799,0.510030,0.495177,val
12,0.09976661,1.390734,0.601863,0.599230,1.816348,0.516579,0.514032,val
13,0.09968241,1.341657,0.612322,0.610184,1.783231,0.525839,0.524535,val
14,0.09958533,1.303607,0.623274,0.620915,1.728128,0.532985,0.530829,val
15,0.09947537,1.260579,0.633505,0.631422,1.805497,0.522472,0.525030,val
16,0.09935258,1.241085,0.642615,0.640526,1.693356,0.550919,0.553374,val
17,0.09921698,1.207723,0.648733,0.646982,1.719432,0.537511,0.536773,val
18,0.09906860,1.180453,0.655088,0.653614,1.726224,0.542498,0.545270,val
19,0.09890749,1.158249,0.662514,0.661121,1.926328,0.510903,0.504502,val
20,0.09873369,1.137529,0.670321,0.668761,1.589756,0.578355,0.571920,val
21,0.09854724,1.119735,0.673690,0.672320,1.890266,0.520439,0.515601,val
22,0.09834819,1.099084,0.679046,0.677632,1.844264,0.522932,0.534329,val
23,0.09813659,1.087086,0.679172,0.677896,1.602913,0.560593,0.562759,val
24,0.09791250,1.068165,0.685902,0.684893,1.533243,0.588913,0.588592,val
25,0.09767598,1.046468,0.692119,0.690982,1.811586,0.550080,0.548403,val
26,0.09742708,1.043921,0.692896,0.691680,1.609136,0.577493,0.574495,val
