epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,4.597729,0.013440,0.008750,4.555263,0.018555,0.012602,test
2,0.02008000,4.326973,0.058172,0.049142,3.836133,0.099512,0.069805,test
3,0.04006000,3.658081,0.131059,0.117105,4.000008,0.144531,0.125476,test
4,0.06004000,3.146439,0.223480,0.210013,3.458447,0.207227,0.189803,test
5,0.08002000,2.619703,0.325188,0.315443,3.079786,0.269141,0.254274,test
6,0.10000000,2.176665,0.418104,0.411500,3.348423,0.281348,0.265464,test
7,0.09999351,1.838158,0.493433,0.488765,2.709858,0.365137,0.346486,test
8,0.09997405,1.601053,0.552098,0.548789,2.679228,0.384473,0.373384,test
9,0.09994162,1.432395,0.594453,0.591567,2.748977,0.390918,0.385001,test
10,0.09989622,1.301775,0.625215,0.622841,2.401537,0.445996,0.440664,test
11,0.09983788,1.191520,0.653774,0.651889,2.276462,0.468945,0.468118,test
12,0.09976661,1.103866,0.675562,0.674117,2.309951,0.460156,0.463014,test
13,0.09968241,1.022348,0.696168,0.695044,2.453269,0.449805,0.450207,test
14,0.09958533,0.957477,0.710814,0.709915,2.514962,0.446680,0.450056,test
15,0.09947537,0.893902,0.730227,0.729279,2.013735,0.517969,0.525963,test
16,0.09935258,0.829292,0.747386,0.746613,2.301101,0.490527,0.502896,test
17,0.09921698,0.783382,0.761031,0.760323,2.111636,0.524121,0.526407,test
18,0.09906860,0.740214,0.773504,0.773107,2.188457,0.514160,0.517107,test
19,0.09890749,0.701523,0.783667,0.783243,2.195477,0.519336,0.518557,test
20,0.09873369,0.658866,0.795694,0.795340,2.193878,0.525293,0.523190,test
21,0.09854724,0.620320,0.804056,0.803768,2.424990,0.504395,0.508405,test
22,0.09834819,0.587163,0.816179,0.815751,2.234573,0.521973,0.519815,test
23,0.09813659,0.552791,0.822956,0.822874,2.663809,0.479590,0.484840,test
24,0.09791250,0.524421,0.833106,0.833006,2.181458,0.533398,0.534366,test
25,0.09767598,0.493377,0.841834,0.841711,2.426527,0.493750,0.514025,test
26,0.09742708,0.470502,0.850810,0.850761,2.398082,0.510449,0.512393,test
27,0.09716587,0.455106,0.852704,0.852563,2.078616,0.543164,0.550921,test
28,0.09689243,0.422750,0.862354,0.862249,2.600463,0.504102,0.512118,test
29,0.09660681,0.401910,0.871261,0.871297,2.196113,0.545312,0.550050,test
30,0.09630910,0.379929,0.877237,0.877203,2.311400,0.539648,0.541489,test
31,0.09599937,0.369669,0.880916,0.880767,2.193883,0.542383,0.550888,test
32,0.09567771,0.347371,0.888115,0.888156,2.287894,0.554590,0.555389,test
33,0.09534418,0.343299,0.887685,0.887627,2.459369,0.540527,0.540750,test
34,0.09499889,0.334989,0.890541,0.890521,2.202895,0.557520,0.562013,test
35,0.09464193,0.318124,0.896240,0.896243,2.309505,0.545605,0.547130,test
36,0.09427337,0.303070,0.901597,0.901567,2.175276,0.563867,0.567022,test
37,0.09389333,0.289040,0.905806,0.905818,2.513413,0.536426,0.536312,test
38,0.09350190,0.283199,0.907678,0.907657,2.334237,0.552246,0.556633,test
39,0.09309917,0.284185,0.907964,0.907837,2.381803,0.549805,0.550093,test
40,0.09268526,0.270245,0.913774,0.913822,2.228282,0.558789,0.547642,test
41,0.09226028,0.259976,0.915996,0.916120,2.358019,0.537891,0.535130,test
42,0.09182432,0.268989,0.912667,0.912626,2.286235,0.570215,0.564094,test
43,0.09137752,0.247231,0.919545,0.919567,2.247150,0.560840,0.559900,test
44,0.09091997,0.253687,0.917633,0.917557,2.544195,0.535352,0.529664,test
45,0.09045180,0.245073,0.919956,0.919965,2.310608,0.559375,0.553565,test
46,0.08997314,0.228391,0.927626,0.927604,2.341141,0.568555,0.563186,test
47,0.08948410,0.232672,0.924568,0.924592,2.334237,0.542383,0.542079,test
48,0.08898482,0.226719,0.925979,0.925938,2.407983,0.553711,0.549069,test
49,0.08847542,0.222776,0.929088,0.929136,2.749538,0.506836,0.510638,test
50,0.08795603,0.225820,0.927143,0.927135,2.583923,0.545410,0.547237,test
51,0.08742679,0.206639,0.932452,0.932488,2.323937,0.548047,0.545339,test
52,0.08688785,0.196400,0.936491,0.936532,2.260559,0.557715,0.559461,test
53,0.08633932,0.209141,0.932620,0.932611,2.392568,0.545703,0.544994,test
54,0.08578137,0.205255,0.934269,0.934358,2.149019,0.577051,0.571826,test
55,0.08521413,0.189829,0.938523,0.938525,2.329431,0.563379,0.562455,test
56,0.08463775,0.191811,0.939310,0.939332,2.309296,0.560937,0.565297,test
57,0.08405239,0.185279,0.940588,0.940593,2.148652,0.569141,0.569071,test
58,0.08345818,0.191570,0.938158,0.938136,2.394804,0.541113,0.541006,test
59,0.08285530,0.188847,0.939216,0.939227,2.388646,0.542578,0.541879,test
60,0.08224389,0.184412,0.940999,0.940982,2.260998,0.567383,0.564188,test
61,0.08162411,0.174530,0.944940,0.944881,2.461804,0.536133,0.540810,test
62,0.08099612,0.181959,0.942035,0.942051,2.138922,0.585254,0.580391,test
63,0.08036009,0.166692,0.946669,0.946672,2.384920,0.554395,0.555128,test
64,0.07971618,0.147875,0.953219,0.953174,2.257837,0.579688,0.579787,test
65,0.07906456,0.156104,0.950097,0.950140,2.397114,0.553418,0.550260,test
66,0.07840540,0.160955,0.949078,0.949060,2.393152,0.566406,0.559339,test
67,0.07773886,0.157982,0.949904,0.949911,2.462913,0.557617,0.550952,test
68,0.07706513,0.166072,0.947584,0.947612,2.186815,0.577539,0.571318,test
69,0.07638437,0.150745,0.952067,0.952088,2.374279,0.573340,0.576539,test
70,0.07569677,0.146337,0.954321,0.954328,2.510461,0.557031,0.561175,test
71,0.07500250,0.152882,0.951090,0.951131,2.194705,0.567676,0.563636,test
72,0.07430174,0.131764,0.958102,0.958068,2.208030,0.581348,0.582814,test
73,0.07359468,0.127861,0.959931,0.959931,2.336975,0.568457,0.577643,test
74,0.07288149,0.130774,0.959515,0.959531,2.116697,0.593457,0.587701,test
75,0.07216236,0.130933,0.959522,0.959479,2.238513,0.586816,0.586247,test
76,0.07143748,0.117797,0.963438,0.963447,2.403060,0.566309,0.566353,test
77,0.07070705,0.131057,0.958545,0.958514,2.352677,0.567187,0.568712,test
78,0.06997123,0.130755,0.958151,0.958136,2.239578,0.591309,0.591412,test
79,0.06923024,0.132033,0.958898,0.958926,2.234101,0.574121,0.571653,test
80,0.06848425,0.122642,0.962656,0.962633,2.448244,0.557520,0.565865,test
81,0.06773347,0.104719,0.967384,0.967390,2.140986,0.589160,0.586507,test
82,0.06697809,0.118786,0.963095,0.963072,2.149346,0.596875,0.599371,test
83,0.06621830,0.109938,0.965611,0.965685,2.161690,0.584863,0.586314,test
84,0.06545430,0.118152,0.962318,0.962282,2.301509,0.590527,0.583670,test
85,0.06468630,0.099084,0.968886,0.968935,2.182190,0.578906,0.583699,test
86,0.06391448,0.095814,0.969756,0.969818,2.357571,0.568066,0.571025,test
87,0.06313906,0.090882,0.972390,0.972348,2.280562,0.576562,0.572824,test
88,0.06236022,0.086691,0.973709,0.973710,2.155170,0.597852,0.601001,test
89,0.06157818,0.095156,0.971095,0.971107,2.274816,0.579199,0.575247,test
90,0.06079313,0.083116,0.975369,0.975350,2.102231,0.615723,0.607712,test
91,0.06000528,0.085464,0.974570,0.974552,2.188388,0.596973,0.598193,test
92,0.05921484,0.074580,0.977781,0.977825,2.100034,0.605957,0.598426,test
93,0.05842201,0.078271,0.976844,0.976866,2.257075,0.593750,0.590702,test
94,0.05762699,0.072616,0.978553,0.978576,2.048490,0.604004,0.604907,test
95,0.05683000,0.072030,0.979337,0.979308,2.110815,0.593359,0.593411,test
96,0.05603123,0.068990,0.980558,0.980529,2.108841,0.595215,0.593801,test
97,0.05523090,0.063527,0.981606,0.981598,2.071226,0.604590,0.605075,test
98,0.05442921,0.059673,0.982725,0.982755,2.112539,0.603027,0.606992,test
99,0.05362638,0.063716,0.981672,0.981662,2.155371,0.595801,0.598713,test
100,0.05282260,0.060982,0.982333,0.982311,2.315283,0.590527,0.588777,test
101,0.05201810,0.053838,0.984668,0.984669,1.933200,0.615527,0.614465,test
102,0.05121307,0.045349,0.987993,0.987977,2.064788,0.605664,0.604376,test
103,0.05040772,0.037169,0.990550,0.990555,1.910385,0.625391,0.620856,test
104,0.04960228,0.042227,0.988491,0.988513,2.021530,0.607227,0.604849,test
105,0.04879693,0.041538,0.989228,0.989265,2.047381,0.602246,0.600667,test
106,0.04799190,0.042694,0.988686,0.988688,1.916170,0.617188,0.616715,test
107,0.04718740,0.034488,0.991416,0.991423,1.812595,0.632129,0.634037,test
108,0.04638362,0.030384,0.992188,0.992178,1.956799,0.621875,0.626924,test
109,0.04558079,0.038318,0.989924,0.989911,1.949927,0.627148,0.627736,test
110,0.04477910,0.029134,0.992698,0.992688,1.907779,0.618066,0.619008,test
111,0.04397877,0.020176,0.995561,0.995555,1.770809,0.637305,0.640363,test
112,0.04318000,0.018246,0.996032,0.996045,1.799310,0.625977,0.627057,test
113,0.04238301,0.017439,0.996360,0.996355,1.737082,0.642090,0.640561,test
114,0.04158799,0.015842,0.996826,0.996822,1.659281,0.651172,0.652714,test
115,0.04079516,0.011117,0.998025,0.998022,1.658613,0.655273,0.655428,test
116,0.04000472,0.006038,0.999223,0.999222,1.612318,0.659180,0.661376,test
117,0.03921687,0.004886,0.999356,0.999356,1.573257,0.660449,0.659339,test
118,0.03843182,0.004397,0.999423,0.999422,1.577400,0.656348,0.657412,test
119,0.03764978,0.004657,0.999401,0.999400,1.545511,0.665332,0.663964,test
120,0.03687094,0.003769,0.999600,0.999600,1.529347,0.661816,0.662449,test
121,0.03609552,0.003321,0.999534,0.999533,1.509659,0.669531,0.665153,test
122,0.03532370,0.003187,0.999667,0.999667,1.476186,0.669629,0.666877,test
