epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,4.592333,0.013467,0.008984,4.540630,0.020215,0.011180,test
2,0.02008000,4.520766,0.041464,0.035748,4.080303,0.089551,0.061557,test
3,0.04006000,3.751011,0.116966,0.102777,5.762757,0.116992,0.105797,test
4,0.06004000,3.366218,0.181983,0.168162,3.230417,0.202832,0.175713,test
5,0.08002000,2.948779,0.260079,0.247328,2.892183,0.291504,0.278126,test
6,0.10000000,2.528359,0.339979,0.330637,2.470423,0.357422,0.342353,test
7,0.09999351,2.125150,0.426415,0.419928,2.117689,0.434473,0.423397,test
8,0.09997405,1.852194,0.488109,0.482992,2.010461,0.464453,0.452014,test
9,0.09994162,1.651934,0.533080,0.529460,1.763332,0.520703,0.507147,test
10,0.09989622,1.506149,0.569948,0.566676,1.739014,0.530859,0.526233,test
11,0.09983788,1.380668,0.600867,0.598245,1.688392,0.543652,0.541290,test
12,0.09976661,1.285318,0.625580,0.623531,1.515462,0.579102,0.572865,test
13,0.09968241,1.199544,0.646933,0.645056,1.506017,0.588281,0.575436,test
14,0.09958533,1.117157,0.669485,0.667961,1.397762,0.614160,0.603782,test
15,0.09947537,1.045960,0.686509,0.685099,1.348116,0.631055,0.628067,test
16,0.09935258,0.970805,0.707917,0.706855,1.432243,0.618652,0.613450,test
17,0.09921698,0.920470,0.722304,0.721411,1.404264,0.618164,0.622059,test
18,0.09906860,0.867872,0.734242,0.733302,1.475197,0.608008,0.618357,test
19,0.09890749,0.823439,0.747154,0.746472,1.308566,0.652344,0.645603,test
20,0.09873369,0.770940,0.760619,0.760037,1.351003,0.643652,0.634700,test
21,0.09854724,0.738257,0.770145,0.769677,1.531972,0.612305,0.608109,test
22,0.09834819,0.695514,0.782986,0.782548,1.438971,0.631348,0.635002,test
23,0.09813659,0.651730,0.794912,0.794693,1.410686,0.641992,0.638488,test
24,0.09791250,0.623649,0.800197,0.799981,1.444310,0.641504,0.633317,test
25,0.09767598,0.585316,0.814579,0.814318,1.433275,0.645020,0.637429,test
26,0.09742708,0.559935,0.821506,0.821326,1.495967,0.637891,0.630223,test
27,0.09716587,0.535928,0.828135,0.827766,1.530490,0.644629,0.645099,test
28,0.09689243,0.502810,0.837863,0.837624,1.518151,0.639648,0.633217,test
29,0.09660681,0.482028,0.845111,0.844968,1.427560,0.660742,0.654717,test
30,0.09630910,0.451305,0.852963,0.852879,1.459494,0.649609,0.646357,test
31,0.09599937,0.425178,0.861316,0.861215,1.484344,0.649023,0.643406,test
32,0.09567771,0.411814,0.866408,0.866317,1.390408,0.661719,0.660268,test
33,0.09534418,0.395578,0.872129,0.872114,1.421128,0.673047,0.669858,test
34,0.09499889,0.382587,0.875720,0.875658,1.461703,0.664160,0.663624,test
35,0.09464193,0.363055,0.882854,0.882904,1.613066,0.641309,0.633184,test
36,0.09427337,0.348034,0.886566,0.886636,1.553111,0.651855,0.646907,test
37,0.09389333,0.349204,0.886280,0.886234,1.585615,0.646289,0.640009,test
38,0.09350190,0.326829,0.893572,0.893516,1.498450,0.662793,0.656233,test
39,0.09309917,0.324444,0.895754,0.895815,1.523815,0.673535,0.667523,test
40,0.09268526,0.314746,0.899597,0.899618,1.514911,0.664746,0.657474,test
41,0.09226028,0.303778,0.902499,0.902495,1.523613,0.659961,0.655100,test
42,0.09182432,0.301258,0.901922,0.901921,1.583799,0.657324,0.662093,test
43,0.09137752,0.293835,0.902807,0.902890,1.584659,0.658203,0.652517,test
44,0.09091997,0.277416,0.909066,0.909136,1.588167,0.658496,0.657143,test
45,0.09045180,0.265239,0.913942,0.913922,1.600177,0.665137,0.662737,test
46,0.08997314,0.286037,0.908206,0.908138,1.606593,0.659082,0.655026,test
47,0.08948410,0.260038,0.917209,0.917211,1.508776,0.671484,0.667294,test
48,0.08898482,0.257517,0.915808,0.915879,1.592253,0.662207,0.659793,test
49,0.08847542,0.243847,0.921051,0.920983,1.557669,0.669434,0.666978,test
50,0.08795603,0.243127,0.922109,0.922123,1.649066,0.660156,0.656446,test
51,0.08742679,0.233446,0.925088,0.925136,1.705100,0.656738,0.651442,test
52,0.08688785,0.242481,0.921409,0.921442,1.583526,0.672461,0.666918,test
53,0.08633932,0.225879,0.927120,0.927121,1.525952,0.677051,0.669191,test
54,0.08578137,0.241599,0.922393,0.922352,1.642415,0.662402,0.661432,test
55,0.08521413,0.225764,0.928235,0.928260,1.550358,0.675977,0.673503,test
56,0.08463775,0.203573,0.935463,0.935546,1.553313,0.673340,0.669010,test
57,0.08405239,0.208571,0.933068,0.933081,1.629346,0.668945,0.667996,test
58,0.08345818,0.205769,0.934519,0.934504,1.537355,0.679688,0.675299,test
