epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000030,4.781906,0.010099,0.003400,4.754448,0.008008,0.004071,test
2,0.00001528,4.668473,0.012291,0.008431,4.622448,0.016699,0.012521,test
3,0.00003027,4.547789,0.025904,0.021021,4.534803,0.030469,0.018659,test
4,0.00004525,4.454837,0.042579,0.030361,4.478320,0.037109,0.020214,test
5,0.00006024,4.371265,0.052138,0.033940,4.433477,0.040820,0.022342,test
6,0.00007522,4.301354,0.061260,0.040262,4.400472,0.045020,0.025164,test
7,0.00009021,4.248158,0.070860,0.047478,4.370283,0.048926,0.027772,test
8,0.00010520,4.198591,0.079866,0.055192,4.336718,0.053711,0.032539,test
9,0.00012018,4.152225,0.090226,0.062456,4.322176,0.055957,0.034513,test
10,0.00013517,4.109067,0.098460,0.069858,4.306037,0.060156,0.038039,test
11,0.00015015,4.070056,0.106884,0.078278,4.289241,0.062500,0.040177,test
12,0.00016514,4.033891,0.111686,0.082450,4.269098,0.064355,0.042388,test
13,0.00018012,4.002039,0.117382,0.087043,4.249138,0.067676,0.045735,test
14,0.00019511,3.976176,0.122403,0.092195,4.234158,0.070801,0.046580,test
15,0.00021009,3.952886,0.128248,0.097482,4.205237,0.077539,0.052696,test
16,0.00022508,3.933137,0.132297,0.101650,4.205710,0.074219,0.050918,test
17,0.00024006,3.915411,0.135782,0.105683,4.189263,0.075391,0.054345,test
18,0.00025505,3.901993,0.137991,0.107509,4.193747,0.073633,0.051052,test
19,0.00027003,3.891573,0.140549,0.108626,4.176205,0.082129,0.056708,test
20,0.00028502,3.881664,0.143049,0.111558,4.170912,0.081055,0.059203,test
21,0.00030000,3.880630,0.143486,0.111735,4.171652,0.079004,0.056324,test
22,0.00029999,3.879880,0.146489,0.113659,4.169141,0.077930,0.052661,test
23,0.00029996,3.876752,0.146933,0.114268,4.166123,0.081348,0.056612,test
24,0.00029992,3.883538,0.148864,0.115155,4.150506,0.082812,0.058443,test
25,0.00029985,3.891039,0.145791,0.112235,4.159672,0.081055,0.055943,test
26,0.00029976,3.901353,0.146314,0.112893,4.165020,0.078516,0.055204,test
27,0.00029966,3.911449,0.145530,0.111854,4.165479,0.080078,0.055509,test
28,0.00029954,3.925048,0.142889,0.107782,4.179869,0.078613,0.051552,test
29,0.00029940,3.939633,0.140864,0.105590,4.167292,0.081152,0.054830,test
30,0.00029924,3.953639,0.140346,0.103967,4.176367,0.086426,0.061782,test
31,0.00029906,3.971325,0.137232,0.100932,4.201677,0.076270,0.049334,test
32,0.00029886,3.987825,0.133787,0.097946,4.199307,0.073438,0.047465,test
33,0.00029865,4.007776,0.131207,0.093936,4.215191,0.074219,0.048649,test
34,0.00029841,4.019352,0.129604,0.091923,4.222171,0.070215,0.042514,test
35,0.00029816,4.042582,0.124825,0.087382,4.219374,0.076563,0.048610,test
36,0.00029789,4.062108,0.122292,0.084661,4.226099,0.074902,0.047760,test
37,0.00029760,4.076533,0.121148,0.082195,4.233584,0.070410,0.039102,test
38,0.00029729,4.096119,0.116872,0.077789,4.237058,0.073047,0.043056,test
39,0.00029696,4.115231,0.113168,0.074604,4.264127,0.066016,0.033053,test
40,0.00029662,4.125975,0.111299,0.072277,4.246121,0.072754,0.042515,test
41,0.00029625,4.148823,0.107380,0.068188,4.246691,0.070801,0.042928,test
42,0.00029587,4.159824,0.106275,0.066840,4.287838,0.064062,0.029717,test
43,0.00029547,4.177172,0.103511,0.063312,4.285279,0.064648,0.035149,test
44,0.00029505,4.193985,0.099974,0.061175,4.281573,0.067187,0.035771,test
45,0.00029461,4.210780,0.097316,0.058126,4.311514,0.057324,0.024628,test
46,0.00029416,4.222650,0.094519,0.055887,4.303684,0.063574,0.030632,test
47,0.00029368,4.241008,0.088209,0.051134,4.305213,0.058691,0.027239,test
48,0.00029319,4.252416,0.085735,0.049053,4.302555,0.067480,0.037230,test
49,0.00029268,4.260445,0.084302,0.046989,4.318852,0.062988,0.028966,test
50,0.00029216,4.269485,0.082174,0.045876,4.354307,0.055176,0.025866,test
51,0.00029161,4.280380,0.078561,0.042640,4.343036,0.051465,0.022232,test
52,0.00029105,4.285872,0.076591,0.040860,4.351446,0.050000,0.020343,test
53,0.00029047,4.290817,0.072840,0.038471,4.330608,0.059082,0.030246,test
54,0.00028987,4.290472,0.070697,0.036369,4.315515,0.061816,0.028215,test
55,0.00028925,4.287561,0.069620,0.034292,4.329193,0.063574,0.031463,test
56,0.00028862,4.287023,0.069294,0.034792,4.315941,0.057715,0.024227,test
57,0.00028797,4.286908,0.066596,0.032398,4.332235,0.056250,0.023495,test
58,0.00028730,4.285436,0.062880,0.029899,4.306280,0.058691,0.023919,test
59,0.00028662,4.280569,0.064026,0.029863,4.297907,0.062891,0.028359,test
60,0.00028591,4.287180,0.060855,0.028378,4.343870,0.050195,0.018848,test
61,0.00028519,4.280396,0.062357,0.028660,4.318613,0.051953,0.020311,test
62,0.00028446,4.278124,0.061654,0.028855,4.305632,0.059570,0.026048,test
63,0.00028371,4.278446,0.061010,0.027550,4.351836,0.048438,0.017907,test
64,0.00028294,4.269457,0.061718,0.029483,4.322424,0.053418,0.022156,test
65,0.00028215,4.266474,0.061297,0.027771,4.280114,0.061230,0.027908,test
66,0.00028135,4.270642,0.060803,0.028855,4.354973,0.048828,0.019777,test
67,0.00028053,4.265331,0.059901,0.027574,4.357418,0.045215,0.018939,test
68,0.00027969,4.268529,0.061459,0.028722,4.345310,0.049219,0.020012,test
69,0.00027884,4.260086,0.061371,0.029361,4.298083,0.054199,0.023505,test
70,0.00027797,4.262737,0.060429,0.029096,4.348483,0.047168,0.018695,test
71,0.00027709,4.267066,0.058744,0.028429,4.316212,0.051172,0.022405,test
72,0.00027618,4.259542,0.061509,0.029974,4.356022,0.044043,0.017284,test
73,0.00027527,4.257231,0.061154,0.030366,4.319611,0.050586,0.025789,test
74,0.00027434,4.257632,0.061371,0.030537,4.300604,0.057031,0.023826,test
75,0.00027339,4.247895,0.063462,0.032366,4.330815,0.047754,0.020668,test
76,0.00027243,4.251528,0.062098,0.033152,4.350402,0.045215,0.019077,test
77,0.00027145,4.249126,0.064616,0.033911,4.366823,0.038086,0.018110,test
78,0.00027045,4.240854,0.064409,0.033031,4.354669,0.047168,0.020327,test
79,0.00026945,4.240701,0.064638,0.034974,4.309427,0.054395,0.026986,test
80,0.00026842,4.243096,0.062081,0.032369,4.286357,0.057227,0.027555,test
81,0.00026738,4.235050,0.065321,0.034444,4.274433,0.058691,0.030072,test
82,0.00026633,4.233395,0.064729,0.034105,4.371645,0.043652,0.016217,test
83,0.00026526,4.236012,0.063257,0.033429,4.314137,0.051855,0.024496,test
84,0.00026418,4.231262,0.064737,0.035334,4.311439,0.048926,0.021657,test
85,0.00026308,4.221619,0.066088,0.035166,4.319034,0.051465,0.021774,test
86,0.00026197,4.228038,0.064890,0.035202,4.316060,0.046777,0.022558,test
87,0.00026085,4.214181,0.067869,0.036900,4.272648,0.055469,0.026369,test
88,0.00025971,4.214040,0.067888,0.037634,4.284594,0.053418,0.024922,test
89,0.00025856,4.207414,0.068862,0.037518,4.324512,0.047754,0.020332,test
90,0.00025739,4.203946,0.068034,0.037189,4.309646,0.050195,0.023186,test
91,0.00025621,4.207417,0.067940,0.037778,4.339582,0.045215,0.022667,test
92,0.00025502,4.195963,0.069225,0.038003,4.295370,0.051855,0.025484,test
93,0.00025381,4.192700,0.070036,0.039871,4.263359,0.054004,0.026759,test
94,0.00025259,4.190144,0.071792,0.040613,4.285782,0.053027,0.025544,test
95,0.00025136,4.186601,0.072125,0.041179,4.270261,0.053516,0.025465,test
96,0.00025012,4.183899,0.073321,0.042248,4.290836,0.053809,0.029102,test
97,0.00024886,4.178858,0.073644,0.042867,4.323803,0.046191,0.021539,test
98,0.00024759,4.180057,0.069812,0.039928,4.272524,0.058203,0.030208,test
99,0.00024631,4.179185,0.072206,0.042464,4.267567,0.055664,0.029151,test
100,0.00024502,4.177941,0.073624,0.043715,4.298909,0.049707,0.025726,test
101,0.00024371,4.171271,0.072843,0.042502,4.268918,0.056738,0.031209,test
102,0.00024239,4.164340,0.075467,0.044572,4.254726,0.058203,0.031643,test
103,0.00024107,4.167213,0.073923,0.043810,4.306562,0.053516,0.028212,test
104,0.00023973,4.163889,0.074140,0.043710,4.333254,0.045898,0.020907,test
105,0.00023837,4.164449,0.074275,0.043980,4.284932,0.051562,0.023542,test
106,0.00023701,4.161933,0.074349,0.044077,4.312552,0.052344,0.026951,test
107,0.00023564,4.163786,0.074673,0.044744,4.321017,0.050293,0.025489,test
108,0.00023425,4.163517,0.074460,0.045176,4.263257,0.054395,0.028788,test
109,0.00023286,4.158831,0.073849,0.043942,4.246063,0.061133,0.032986,test
110,0.00023145,4.160995,0.074303,0.045216,4.313495,0.049316,0.024634,test
111,0.00023004,4.160707,0.074616,0.045364,4.309824,0.051074,0.025753,test
112,0.00022861,4.156408,0.075952,0.046013,4.264027,0.053320,0.027352,test
113,0.00022718,4.157332,0.074865,0.045591,4.260412,0.058789,0.034203,test
114,0.00022573,4.156841,0.076391,0.045592,4.244348,0.058398,0.031933,test
115,0.00022428,4.153872,0.077146,0.047118,4.294976,0.051855,0.025392,test
116,0.00022282,4.155560,0.077116,0.047006,4.289457,0.054883,0.030720,test
117,0.00022134,4.158353,0.075220,0.044837,4.265431,0.054102,0.026163,test
118,0.00021986,4.151907,0.076833,0.047751,4.257217,0.057617,0.029355,test
119,0.00021837,4.152599,0.076039,0.046118,4.246345,0.059863,0.033742,test
120,0.00021687,4.150562,0.078073,0.047595,4.262359,0.055957,0.029195,test
121,0.00021537,4.152473,0.077306,0.047663,4.263618,0.059375,0.033633,test
122,0.00021385,4.155463,0.076729,0.046896,4.245960,0.060645,0.034385,test
123,0.00021233,4.152268,0.076505,0.046908,4.280221,0.058496,0.034341,test
124,0.00021080,4.152690,0.076026,0.046576,4.319859,0.048047,0.024691,test
125,0.00020926,4.148949,0.076729,0.047116,4.263028,0.054688,0.029926,test
126,0.00020771,4.150091,0.075045,0.046276,4.304873,0.050879,0.026552,test
127,0.00020616,4.151133,0.076702,0.047519,4.290483,0.053125,0.026781,test
128,0.00020460,4.151123,0.076147,0.046731,4.282193,0.054004,0.029109,test
129,0.00020303,4.148529,0.075802,0.046093,4.234490,0.062598,0.036183,test
130,0.00020146,4.155274,0.075018,0.045981,4.235783,0.061816,0.034753,test
131,0.00019988,4.152366,0.077163,0.047173,4.276151,0.055469,0.028953,test
132,0.00019829,4.146514,0.077272,0.048109,4.278982,0.056934,0.032109,test
133,0.00019670,4.147356,0.077141,0.047536,4.245371,0.061914,0.035376,test
134,0.00019510,4.147584,0.077296,0.047689,4.276844,0.055469,0.029909,test
135,0.00019350,4.146671,0.076801,0.047110,4.296759,0.053711,0.028737,test
136,0.00019189,4.149007,0.076290,0.046360,4.258072,0.056543,0.031016,test
137,0.00019027,4.146233,0.075859,0.047051,4.265655,0.055469,0.027729,test
138,0.00018865,4.150002,0.076924,0.047559,4.259283,0.057617,0.031082,test
139,0.00018703,4.143778,0.077158,0.047587,4.278617,0.055762,0.030265,test
140,0.00018540,4.148704,0.076517,0.047272,4.248512,0.057324,0.030420,test
141,0.00018377,4.142992,0.077972,0.048395,4.255502,0.058789,0.033119,test
142,0.00018213,4.146047,0.078167,0.048053,4.272098,0.056836,0.029682,test
143,0.00018049,4.141903,0.079023,0.048683,4.282601,0.055176,0.028647,test
144,0.00017884,4.146138,0.077217,0.047030,4.268367,0.057617,0.032455,test
145,0.00017719,4.142235,0.078354,0.048420,4.272809,0.057813,0.028943,test
146,0.00017554,4.143595,0.075829,0.046496,4.288293,0.053418,0.029598,test
147,0.00017389,4.144523,0.076946,0.047609,4.254664,0.055176,0.028114,test
148,0.00017223,4.144108,0.075020,0.046091,4.245424,0.062109,0.035939,test
149,0.00017057,4.142244,0.077538,0.047749,4.260714,0.057520,0.030038,test
150,0.00016890,4.143526,0.079057,0.048498,4.253940,0.056836,0.029737,test
151,0.00016724,4.140058,0.078877,0.047843,4.282195,0.054395,0.028594,test
152,0.00016557,4.145711,0.075792,0.046681,4.306291,0.055762,0.029958,test
153,0.00016390,4.144064,0.078177,0.048529,4.266490,0.056836,0.028890,test
154,0.00016223,4.145252,0.077057,0.047415,4.288504,0.055566,0.026644,test
155,0.00016056,4.139768,0.077844,0.048196,4.260832,0.059961,0.033690,test
156,0.00015888,4.140418,0.077661,0.048260,4.246196,0.060547,0.032241,test
