epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000030,4.776564,0.009073,0.003768,4.754273,0.008203,0.004152,test
2,0.00001528,4.670946,0.012740,0.008545,4.597224,0.021680,0.013216,test
3,0.00003027,4.536267,0.028439,0.020835,4.484769,0.035059,0.021867,test
4,0.00004525,4.436798,0.043487,0.029853,4.404286,0.045703,0.026514,test
5,0.00006024,4.359733,0.052276,0.034170,4.343842,0.049609,0.029870,test
6,0.00007522,4.294577,0.062396,0.042418,4.294250,0.058496,0.036100,test
7,0.00009021,4.242634,0.069151,0.047556,4.249831,0.064941,0.040843,test
8,0.00010520,4.190766,0.080327,0.056693,4.204522,0.073438,0.047502,test
9,0.00012018,4.144474,0.088949,0.063483,4.177966,0.078320,0.051597,test
10,0.00013517,4.102325,0.097720,0.071463,4.143932,0.084766,0.058212,test
11,0.00015015,4.065396,0.107022,0.080669,4.113280,0.093457,0.064403,test
12,0.00016514,4.031347,0.109333,0.082013,4.079773,0.095703,0.067716,test
13,0.00018012,4.000312,0.116914,0.088620,4.051975,0.105273,0.076111,test
14,0.00019511,3.970130,0.121639,0.093160,4.030149,0.108691,0.078484,test
15,0.00021009,3.945196,0.127493,0.099058,3.997154,0.115332,0.085440,test
16,0.00022508,3.919410,0.131340,0.103595,3.984617,0.116504,0.087949,test
17,0.00024006,3.900587,0.135111,0.106457,3.958414,0.119629,0.090565,test
18,0.00025505,3.884436,0.138038,0.109084,3.956920,0.121680,0.095234,test
19,0.00027003,3.874948,0.140891,0.110743,3.943086,0.126562,0.097488,test
20,0.00028502,3.868975,0.144031,0.113657,3.933486,0.129688,0.102379,test
21,0.00030000,3.866387,0.145182,0.114319,3.950108,0.133203,0.103833,test
22,0.00029999,3.866328,0.145301,0.113363,3.940190,0.124805,0.095059,test
23,0.00029996,3.867717,0.146832,0.115579,3.938133,0.129590,0.100876,test
24,0.00029992,3.874697,0.146179,0.114355,3.943666,0.131543,0.099766,test
