epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,4.705976,0.012323,4.647137,0.015625,val
2,0.00010090,4.178091,0.089642,3.971985,0.134288,val
3,0.00020080,3.931875,0.130448,3.684431,0.185069,val
4,0.00030070,3.718125,0.170281,3.533902,0.204167,val
5,0.00040060,3.561139,0.203318,3.401398,0.243142,val
6,0.00050050,3.445160,0.229753,3.323728,0.267405,val
7,0.00060040,3.341373,0.249827,3.252510,0.275174,val
8,0.00070030,3.255562,0.271331,3.197973,0.289453,val
9,0.00080020,3.184493,0.287815,3.122083,0.308073,val
10,0.00090010,3.115127,0.306238,3.114003,0.309158,val
11,0.00100000,3.045232,0.321431,3.059481,0.331293,val
12,0.00099970,2.953066,0.344474,3.022067,0.333681,val
13,0.00099878,2.861538,0.368784,2.970949,0.349653,val
14,0.00099726,2.775231,0.387478,2.915562,0.373785,val
15,0.00099514,2.679410,0.414476,2.895456,0.373003,val
16,0.00099241,2.588238,0.438823,2.866965,0.384809,val
17,0.00098908,2.493431,0.462166,2.874074,0.374089,val
18,0.00098516,2.407170,0.490756,2.849314,0.401953,val
19,0.00098065,2.299659,0.520203,2.841068,0.399870,val
20,0.00097555,2.195181,0.547472,2.871390,0.407813,val
21,0.00096988,2.086180,0.583115,2.853992,0.405859,val
22,0.00096363,1.974567,0.618162,2.900116,0.408594,val
23,0.00095682,1.868205,0.651245,2.952686,0.409071,val
24,0.00094945,1.748222,0.690867,2.969249,0.409592,val
25,0.00094153,1.639695,0.731435,3.037275,0.403733,val
26,0.00093308,1.544619,0.765035,3.033259,0.405903,val
27,0.00092410,1.454845,0.801618,3.057418,0.410764,val
28,0.00091460,1.375677,0.827998,3.057858,0.412630,val
29,0.00090460,1.308242,0.854590,3.118942,0.412717,val
30,0.00089411,1.251935,0.876843,3.157099,0.400391,val
31,0.00088314,1.206037,0.893243,3.127905,0.419314,val
32,0.00087170,1.170284,0.906178,3.096799,0.419618,val
33,0.00085981,1.147118,0.912972,3.109814,0.418359,val
34,0.00084748,1.122138,0.920724,3.096558,0.423220,val
35,0.00083473,1.097259,0.929358,3.102521,0.426997,val
36,0.00082157,1.077383,0.934596,3.087975,0.425174,val
37,0.00080802,1.059863,0.939104,3.122142,0.422005,val
38,0.00079410,1.052937,0.938611,3.132640,0.411545,val
39,0.00077982,1.029728,0.945252,3.155226,0.419575,val
40,0.00076519,1.024384,0.943176,3.159871,0.422873,val
41,0.00075025,1.022654,0.940820,3.205247,0.415451,val
42,0.00073500,1.002334,0.946660,3.216830,0.412587,val
43,0.00071947,0.988830,0.949669,3.234326,0.422352,val
44,0.00070366,0.980208,0.950490,3.252665,0.418576,val
45,0.00068762,0.968284,0.952772,3.240239,0.423828,val
46,0.00067134,0.956046,0.955593,3.287290,0.412109,val
47,0.00065485,0.960588,0.953804,3.282382,0.416927,val
48,0.00063818,0.933156,0.962234,3.287118,0.416493,val
49,0.00062134,0.922668,0.965423,3.333509,0.411415,val
50,0.00060435,0.919328,0.965266,3.331148,0.414193,val
51,0.00058724,0.919380,0.963516,3.313754,0.422049,val
