epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.640122,0.014034,4.586973,0.019401,val
2,0.02008000,3.852791,0.110452,3.562781,0.159418,val
3,0.04006000,3.401962,0.182486,3.273941,0.206033,val
4,0.06004000,3.051068,0.243060,2.867684,0.277951,val
5,0.08002000,2.754961,0.295847,2.727923,0.316319,val
6,0.10000000,2.517196,0.346137,2.506092,0.355425,val
7,0.09997267,2.277122,0.393844,2.423047,0.372266,val
8,0.09989069,2.104211,0.431051,2.245808,0.413281,val
9,0.09975417,1.953568,0.467575,2.236870,0.424219,val
10,0.09956325,1.841866,0.489427,2.120670,0.444097,val
11,0.09931813,1.738113,0.513490,2.098958,0.460156,val
12,0.09901910,1.640844,0.537262,2.085741,0.460113,val
13,0.09866646,1.563015,0.557425,1.999101,0.469488,val
14,0.09826062,1.486544,0.572749,1.976659,0.488845,val
15,0.09780201,1.417370,0.590406,1.991552,0.487109,val
16,0.09729113,1.336953,0.607862,1.952798,0.498915,val
17,0.09672855,1.289627,0.622149,1.973878,0.506424,val
18,0.09611488,1.215048,0.641888,1.940207,0.509896,val
19,0.09545078,1.164261,0.653793,2.044342,0.501953,val
20,0.09473699,1.117381,0.664608,1.932144,0.513151,val
21,0.09397429,1.054609,0.681854,2.005393,0.498220,val
22,0.09316351,1.007415,0.695714,2.026579,0.499609,val
23,0.09230553,0.959835,0.704835,2.106800,0.499653,val
24,0.09140130,0.921592,0.715711,2.031094,0.507856,val
25,0.09045180,0.862549,0.731630,1.988034,0.523264,val
26,0.08945808,0.812898,0.745680,2.018412,0.531554,val
27,0.08842121,0.784681,0.753672,2.210868,0.503646,val
28,0.08734234,0.744738,0.765714,2.086767,0.518576,val
29,0.08622264,0.693635,0.780882,2.140030,0.517101,val
30,0.08506333,0.662348,0.788310,2.209751,0.521224,val
31,0.08386569,0.629922,0.800354,2.193125,0.523003,val
32,0.08263103,0.600431,0.806270,2.203450,0.522049,val
33,0.08136068,0.553156,0.822170,2.215776,0.523394,val
34,0.08005605,0.529275,0.830701,2.298675,0.515451,val
35,0.07871856,0.498074,0.839953,2.301148,0.522092,val
36,0.07734967,0.475588,0.845553,2.262721,0.523958,val
37,0.07595088,0.439358,0.859455,2.315270,0.526997,val
38,0.07452372,0.397639,0.871789,2.269409,0.531814,val
39,0.07306975,0.393022,0.872619,2.403411,0.518490,val
40,0.07159056,0.371922,0.880665,2.337361,0.538411,val
41,0.07008776,0.353756,0.885237,2.400062,0.527474,val
42,0.06856301,0.318908,0.898013,2.418917,0.530295,val
43,0.06701796,0.292254,0.905886,2.380453,0.533116,val
44,0.06545430,0.266667,0.913693,2.388067,0.547309,val
45,0.06387376,0.258217,0.918692,2.361933,0.543359,val
46,0.06227805,0.242574,0.922436,2.406378,0.543446,val
47,0.06066892,0.222167,0.928954,2.320066,0.557595,val
48,0.05904812,0.214656,0.931828,2.366653,0.549479,val
49,0.05741744,0.187730,0.941238,2.451517,0.547483,val
50,0.05577865,0.165277,0.948839,2.419147,0.551215,val
51,0.05413355,0.152951,0.951578,2.377645,0.556424,val
52,0.05248394,0.147562,0.953288,2.357968,0.559288,val
53,0.05083161,0.122286,0.963368,2.392761,0.562587,val
54,0.04917839,0.109300,0.966733,2.375914,0.555512,val
55,0.04752606,0.097406,0.971895,2.403591,0.558203,val
56,0.04587645,0.080237,0.978671,2.399280,0.557986,val
57,0.04423135,0.066935,0.982331,2.424931,0.559201,val
58,0.04259256,0.094723,0.971548,2.372691,0.564887,val
59,0.04096188,0.067261,0.981467,2.361269,0.569444,val
60,0.03934108,0.053914,0.986496,2.356342,0.565885,val
61,0.03773195,0.042654,0.989994,2.329580,0.569488,val
62,0.03613624,0.034612,0.992237,2.283597,0.578906,val
63,0.03455570,0.030523,0.993987,2.327420,0.584635,val
64,0.03299204,0.025110,0.994874,2.305861,0.577778,val
65,0.03144699,0.020237,0.996599,2.284853,0.583333,val
66,0.02992224,0.017415,0.996995,2.256379,0.587457,val
67,0.02841944,0.016444,0.997363,2.221011,0.585503,val
68,0.02694025,0.011586,0.998510,2.223782,0.587891,val
69,0.02548628,0.011708,0.998324,2.230997,0.586068,val
70,0.02405912,0.010717,0.998620,2.217421,0.584635,val
