epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.664959,0.011115,4.655595,0.013021,val
2,0.01004000,4.484485,0.028020,4.196293,0.062457,val
3,0.02003000,4.029399,0.070809,3.769658,0.104688,val
4,0.03002000,3.756271,0.111168,3.588655,0.138194,val
5,0.04001000,3.552189,0.143524,3.414289,0.176997,val
6,0.05000000,3.380652,0.175217,3.199067,0.219314,val
7,0.04998633,3.180314,0.211542,3.045371,0.239627,val
8,0.04994535,2.981892,0.245714,2.848767,0.281641,val
9,0.04987710,2.835509,0.275432,2.811287,0.287543,val
10,0.04978165,2.735451,0.295345,2.735214,0.288411,val
11,0.04965910,2.633705,0.315126,2.575143,0.332248,val
12,0.04950960,2.541564,0.335232,2.524200,0.346224,val
13,0.04933330,2.460116,0.353073,2.482923,0.357509,val
14,0.04913040,2.424177,0.359077,2.400344,0.368924,val
15,0.04890111,2.313791,0.383423,2.338953,0.378429,val
16,0.04864570,2.249462,0.398286,2.296285,0.397092,val
17,0.04836444,2.186287,0.410083,2.392843,0.386719,val
18,0.04805763,2.162952,0.418756,2.523943,0.370660,val
19,0.04772562,2.120725,0.426322,2.168741,0.420877,val
20,0.04736876,2.068015,0.438146,2.153625,0.431424,val
21,0.04698745,2.000359,0.453516,2.054371,0.450434,val
22,0.04658210,1.935095,0.467167,2.061055,0.445269,val
23,0.04615315,1.893401,0.478487,2.011318,0.467274,val
24,0.04570108,2.037769,0.447267,2.476932,0.369054,val
25,0.04522638,2.135257,0.428036,2.118994,0.438802,val
26,0.04472957,2.528148,0.351240,2.846635,0.282639,val
27,0.04421119,2.511666,0.347801,2.496180,0.365061,val
28,0.04367180,2.173636,0.417479,2.196615,0.429297,val
29,0.04311201,2.141352,0.425405,2.203112,0.426432,val
30,0.04253241,1.999905,0.455675,2.114701,0.437804,val
31,0.04193365,1.924849,0.470062,2.118720,0.443967,val
32,0.04131638,1.849000,0.491181,2.057104,0.459158,val
33,0.04068127,1.779749,0.502186,2.059781,0.461632,val
34,0.04002902,1.764425,0.509794,2.004332,0.466536,val
35,0.03936034,1.758144,0.509464,2.220251,0.446615,val
36,0.03867597,1.711595,0.523261,2.033232,0.469965,val
37,0.03797664,1.618291,0.539567,1.916011,0.493620,val
38,0.03726314,1.573171,0.552792,1.975282,0.494792,val
39,0.03653622,1.530737,0.564583,1.962330,0.487457,val
40,0.03579670,1.474060,0.576887,1.914334,0.501866,val
41,0.03504538,1.427639,0.585901,1.927131,0.503299,val
42,0.03428308,1.409910,0.591936,1.922943,0.495703,val
43,0.03351063,1.350979,0.608459,1.879315,0.507552,val
44,0.03272888,1.308911,0.617305,1.886173,0.508941,val
45,0.03193869,1.271926,0.625895,1.954556,0.502300,val
46,0.03114091,1.244053,0.634456,1.887132,0.511979,val
47,0.03033642,1.192784,0.647539,1.950596,0.509722,val
48,0.02952611,1.151926,0.654840,1.947770,0.510677,val
49,0.02871085,1.118627,0.664023,1.921316,0.522917,val
50,0.02789154,1.075233,0.677306,1.955717,0.517144,val
51,0.02706907,1.056702,0.679917,2.012311,0.509896,val
52,0.02624435,1.015606,0.691953,1.938393,0.522483,val
53,0.02541827,0.982317,0.701743,1.948455,0.516319,val
54,0.02459173,0.937879,0.711154,2.014254,0.509288,val
55,0.02376565,0.902503,0.722659,1.984038,0.516450,val
56,0.02294093,0.869029,0.733998,2.015022,0.520009,val
57,0.02211846,0.840708,0.741317,2.068224,0.518707,val
58,0.02129915,0.795962,0.751890,2.120585,0.514974,val
59,0.02048389,0.751187,0.763720,2.039174,0.519531,val
60,0.01967358,0.722659,0.771813,2.093911,0.521615,val
61,0.01886909,0.682934,0.786587,2.091770,0.523915,val
62,0.01807131,0.645059,0.795584,2.150153,0.523481,val
63,0.01728112,0.615737,0.807537,2.164173,0.521658,val
64,0.01649937,0.574517,0.816087,2.130794,0.526302,val
65,0.01572692,0.548201,0.826241,2.145529,0.535026,val
66,0.01496462,0.510112,0.838095,2.154787,0.529253,val
67,0.01421330,0.479970,0.845653,2.206486,0.529514,val
68,0.01347378,0.445818,0.856823,2.253254,0.523828,val
69,0.01274686,0.424394,0.864006,2.288527,0.522613,val
70,0.01203336,0.393096,0.874160,2.254754,0.529384,val
71,0.01133403,0.369728,0.881836,2.260627,0.532031,val
