epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.631315,0.014355,4.581530,0.020833,val
2,0.02008000,3.855036,0.110920,3.495296,0.166927,val
3,0.04006000,3.398160,0.185299,3.188814,0.225260,val
4,0.06004000,3.040902,0.247026,2.981561,0.271311,val
5,0.08002000,2.735086,0.301776,2.618410,0.337891,val
6,0.10000000,2.488081,0.350150,2.457322,0.359071,val
7,0.09997267,2.244012,0.404881,2.258271,0.404036,val
8,0.09989069,2.043781,0.445968,2.199414,0.419835,val
9,0.09975417,1.902207,0.479160,2.109953,0.449132,val
10,0.09956325,1.775683,0.509932,2.015364,0.467795,val
11,0.09931813,1.668512,0.531680,1.947630,0.475651,val
12,0.09901910,1.571222,0.559859,1.838356,0.514844,val
13,0.09866646,1.492171,0.575729,1.854056,0.511285,val
14,0.09826062,1.416349,0.589716,1.867127,0.514019,val
15,0.09780201,1.350425,0.608167,1.856267,0.506554,val
16,0.09729113,1.272853,0.629372,1.890569,0.508377,val
17,0.09672855,1.215495,0.641285,1.850931,0.519531,val
18,0.09611488,1.151839,0.659854,1.745784,0.542448,val
19,0.09545078,1.110502,0.667589,1.713304,0.549696,val
20,0.09473699,1.052901,0.683174,1.819923,0.531033,val
21,0.09397429,1.003177,0.697604,1.790668,0.550130,val
22,0.09316351,0.955980,0.711178,1.703389,0.563498,val
23,0.09230553,0.911887,0.721281,1.801119,0.560069,val
24,0.09140130,0.865856,0.732111,1.864969,0.533290,val
25,0.09045180,0.820158,0.745255,1.935197,0.540451,val
26,0.08945808,0.787657,0.753494,1.912090,0.547569,val
27,0.08842121,0.741647,0.767919,1.900159,0.549045,val
28,0.08734234,0.705148,0.777828,1.902540,0.552734,val
29,0.08622264,0.677088,0.787172,1.950751,0.550955,val
30,0.08506333,0.638908,0.798145,1.920089,0.548698,val
31,0.08386569,0.599552,0.809124,1.953127,0.555990,val
32,0.08263103,0.565929,0.818870,1.991354,0.550087,val
33,0.08136068,0.541618,0.823643,1.959336,0.566146,val
34,0.08005605,0.504915,0.837229,1.926228,0.573872,val
35,0.07871856,0.485188,0.845037,1.960047,0.566016,val
36,0.07734967,0.449389,0.855690,2.012530,0.565842,val
37,0.07595088,0.433177,0.860310,2.076613,0.556988,val
