epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,4.693243,0.014245,4.626335,0.023958,val
2,0.00010090,4.144281,0.093928,4.000443,0.118403,val
3,0.00020080,3.904608,0.137673,3.780198,0.154948,val
4,0.00030070,3.716811,0.171211,3.628866,0.191710,val
5,0.00040060,3.581862,0.198137,3.519533,0.202517,val
6,0.00050050,3.468754,0.223797,3.436789,0.232205,val
7,0.00060040,3.377118,0.240885,3.358105,0.251780,val
8,0.00070030,3.295174,0.262313,3.295475,0.271094,val
9,0.00080020,3.212328,0.278918,3.252645,0.275955,val
10,0.00090010,3.148436,0.294852,3.212365,0.281076,val
11,0.00100000,3.080861,0.309222,3.125862,0.312109,val
12,0.00099970,2.988156,0.335230,3.098245,0.317925,val
13,0.00099878,2.896224,0.359149,3.079708,0.319010,val
14,0.00099726,2.803388,0.378864,3.000688,0.327127,val
15,0.00099514,2.712902,0.403658,2.992340,0.345182,val
16,0.00099241,2.619470,0.427794,3.010257,0.352040,val
17,0.00098908,2.520258,0.455823,2.966837,0.354470,val
18,0.00098516,2.411125,0.485622,2.937437,0.373307,val
19,0.00098065,2.298622,0.516645,3.008856,0.364497,val
20,0.00097555,2.194121,0.547006,2.941369,0.380035,val
21,0.00096988,2.056886,0.592967,2.999442,0.390929,val
22,0.00096363,1.926339,0.633679,3.054067,0.384722,val
23,0.00095682,1.788288,0.676594,3.083491,0.387066,val
24,0.00094945,1.668500,0.719867,3.121433,0.386285,val
25,0.00094153,1.555081,0.760376,3.218151,0.388455,val
26,0.00093308,1.455970,0.799252,3.212824,0.393186,val
27,0.00092410,1.374348,0.825410,3.305900,0.374349,val
28,0.00091460,1.300559,0.853049,3.250135,0.380165,val
29,0.00090460,1.241317,0.876204,3.242978,0.382161,val
30,0.00089411,1.195791,0.891690,3.277220,0.383247,val
31,0.00088314,1.164554,0.899711,3.372398,0.377083,val
32,0.00087170,1.132628,0.911124,3.328538,0.376866,val
33,0.00085981,1.118197,0.914447,3.287888,0.382812,val
34,0.00084748,1.092192,0.922349,3.311273,0.387587,val
35,0.00083473,1.072356,0.927030,3.332040,0.389323,val
36,0.00082157,1.062019,0.927744,3.390203,0.380556,val
37,0.00080802,1.048655,0.930288,3.378046,0.379644,val
38,0.00079410,1.055267,0.923739,3.381240,0.381814,val
39,0.00077982,1.013529,0.938120,3.435620,0.383203,val
40,0.00076519,1.017431,0.933809,3.443886,0.382248,val
41,0.00075025,1.006134,0.936937,3.462031,0.378733,val
42,0.00073500,0.977178,0.945256,3.484585,0.379210,val
43,0.00071947,0.977383,0.944001,3.517260,0.371441,val
44,0.00070366,0.974308,0.944389,3.486661,0.389106,val
45,0.00068762,0.948198,0.952970,3.505041,0.386675,val
46,0.00067134,0.954025,0.948645,3.522286,0.386589,val
47,0.00065485,0.955401,0.948334,3.513782,0.375998,val
48,0.00063818,0.930183,0.957969,3.512326,0.383898,val
49,0.00062134,0.920808,0.960297,3.541616,0.383464,val
50,0.00060435,0.899713,0.968124,3.573352,0.383984,val
51,0.00058724,0.912565,0.962750,3.541530,0.376432,val
52,0.00057002,0.905506,0.965472,3.530810,0.384809,val
53,0.00055271,0.902346,0.965400,3.555542,0.386415,val
54,0.00053534,0.890375,0.970206,3.579210,0.385156,val
55,0.00051793,0.886938,0.971770,3.592675,0.381424,val
56,0.00050050,0.877757,0.974162,3.579489,0.389627,val
57,0.00048307,0.872010,0.976206,3.575380,0.393012,val
58,0.00046566,0.870753,0.975948,3.577361,0.390625,val
59,0.00044829,0.869999,0.975971,3.577912,0.388802,val
60,0.00043098,0.867336,0.976246,3.606748,0.378385,val
61,0.00041376,0.855768,0.980752,3.578124,0.393750,val
62,0.00039665,0.847754,0.983577,3.554026,0.394097,val
63,0.00037966,0.845300,0.983255,3.560469,0.385634,val
64,0.00036282,0.840078,0.985253,3.567990,0.392752,val
65,0.00034615,0.835803,0.986913,3.571627,0.392057,val
66,0.00032966,0.835790,0.986286,3.609740,0.388368,val
67,0.00031338,0.829945,0.988430,3.593228,0.397656,val
68,0.00029734,0.823742,0.990610,3.617140,0.389714,val
69,0.00028153,0.824842,0.989797,3.621609,0.387977,val
70,0.00026600,0.825719,0.988912,3.627776,0.390712,val
71,0.00025075,0.818161,0.991867,3.595893,0.394184,val
72,0.00023581,0.819139,0.990821,3.611511,0.394097,val
73,0.00022118,0.816033,0.991719,3.611367,0.396788,val
74,0.00020690,0.810233,0.994159,3.606774,0.395052,val
75,0.00019298,0.809561,0.993987,3.592676,0.396224,val
76,0.00017943,0.807636,0.994381,3.599874,0.397613,val
77,0.00016627,0.805700,0.994923,3.595471,0.395269,val
78,0.00015352,0.803041,0.995712,3.613718,0.398090,val
79,0.00014119,0.803583,0.995219,3.619412,0.395790,val
80,0.00012930,0.800254,0.996279,3.591145,0.398741,val
81,0.00011786,0.799416,0.996303,3.624475,0.394965,val
82,0.00010689,0.798771,0.996525,3.615783,0.397873,val
83,0.00009640,0.797180,0.997141,3.601984,0.401042,val
84,0.00008640,0.796041,0.997215,3.618766,0.397266,val
85,0.00007690,0.795790,0.997462,3.613866,0.395747,val
86,0.00006792,0.794441,0.997930,3.588859,0.401997,val
87,0.00005947,0.793280,0.998078,3.599715,0.404731,val
88,0.00005155,0.792589,0.998053,3.586293,0.404644,val
89,0.00004418,0.792470,0.998176,3.590130,0.405382,val
90,0.00003737,0.791348,0.998362,3.597299,0.402344,val
91,0.00003112,0.791469,0.998226,3.595733,0.405252,val
92,0.00002545,0.790758,0.998423,3.588701,0.402865,val
93,0.00002035,0.790001,0.998707,3.591319,0.404601,val
94,0.00001584,0.790777,0.998423,3.593546,0.400391,val
95,0.00001192,0.790245,0.998645,3.593095,0.403516,val
96,0.00000859,0.790220,0.998472,3.586047,0.402431,val
97,0.00000586,0.790731,0.998324,3.586888,0.401997,val
98,0.00000374,0.790394,0.998768,3.588620,0.404818,val
99,0.00000222,0.789968,0.998546,3.588401,0.406337,val
100,0.00000130,0.790325,0.998669,3.588168,0.406771,val
