epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,4.607540,0.009377,4.606348,0.006944,val
2,0.00200800,4.550974,0.018840,4.579772,0.020920,val
3,0.00400600,4.382869,0.034833,4.432990,0.033724,val
4,0.00600400,4.145896,0.053131,4.170199,0.060938,val
5,0.00800200,3.941151,0.083481,4.022920,0.089410,val
6,0.01000000,3.761789,0.106895,4.018821,0.088194,val
7,0.00999727,3.609177,0.133072,3.776202,0.119314,val
8,0.00998908,3.501170,0.149304,3.630847,0.148220,val
9,0.00997544,3.403129,0.170571,3.538848,0.155512,val
10,0.00995636,3.316072,0.186505,3.377529,0.180425,val
11,0.00993187,3.241421,0.198185,3.305442,0.197049,val
12,0.00990200,3.167831,0.216202,3.238101,0.203212,val
13,0.00986677,3.101012,0.228521,3.231968,0.220095,val
14,0.00982622,3.032177,0.241770,3.098084,0.235851,val
15,0.00978040,2.981556,0.249966,3.049896,0.249566,val
16,0.00972936,2.940027,0.257553,3.057082,0.245877,val
17,0.00967315,2.883877,0.271944,2.937512,0.264193,val
18,0.00961184,2.832837,0.280450,2.965403,0.255946,val
19,0.00954549,2.794835,0.287104,2.895596,0.277561,val
20,0.00947417,2.751409,0.297722,2.815188,0.279818,val
21,0.00939797,2.712325,0.305524,2.830462,0.290799,val
22,0.00931697,2.672337,0.315518,2.801890,0.293099,val
23,0.00923125,2.624681,0.321829,2.698106,0.311415,val
24,0.00914090,2.595523,0.327022,2.699032,0.311806,val
25,0.00904604,2.552278,0.335130,2.741560,0.310547,val
26,0.00894676,2.518077,0.342988,2.681128,0.321050,val
27,0.00884316,2.487125,0.351828,2.666593,0.327778,val
28,0.00873537,2.456303,0.358255,2.634553,0.325391,val
29,0.00862350,2.418988,0.364626,2.603664,0.336024,val
30,0.00850768,2.393053,0.370632,2.556390,0.349913,val
31,0.00838802,2.362519,0.377609,2.593400,0.341016,val
32,0.00826467,2.328113,0.383607,2.530458,0.347786,val
33,0.00813775,2.301729,0.391031,2.484248,0.362326,val
34,0.00800740,2.279509,0.395529,2.617522,0.334809,val
35,0.00787377,2.256352,0.400121,2.523202,0.359722,val
36,0.00773701,2.231957,0.403367,2.521226,0.362587,val
37,0.00759725,2.194638,0.415035,2.459862,0.371615,val
38,0.00745467,2.171746,0.416849,2.461298,0.373872,val
39,0.00730940,2.147649,0.426127,2.438037,0.383550,val
40,0.00716161,2.123196,0.427250,2.475238,0.371658,val
41,0.00701147,2.105949,0.434167,2.499357,0.370139,val
42,0.00685913,2.083811,0.437034,2.482134,0.377778,val
43,0.00670476,2.053678,0.446260,2.509161,0.361458,val
44,0.00654854,2.028824,0.449766,2.420391,0.377214,val
45,0.00639063,2.011649,0.452915,2.534738,0.375043,val
46,0.00623120,1.987587,0.458128,2.440870,0.384592,val
