epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.638208,0.014379,4.569476,0.020616,val
2,0.02008000,3.868482,0.107553,3.526823,0.173524,val
3,0.04006000,3.302466,0.194829,3.231340,0.215668,val
4,0.06004000,2.848356,0.277737,2.940288,0.268967,val
5,0.08002000,2.449148,0.355462,2.711115,0.324609,val
6,0.10000000,2.176214,0.412832,2.361043,0.379601,val
7,0.09997267,1.910027,0.472942,2.214683,0.422092,val
8,0.09989069,1.738925,0.513763,2.158675,0.441102,val
9,0.09975417,1.613429,0.543815,1.939262,0.481293,val
10,0.09956325,1.519316,0.566830,1.793720,0.505556,val
11,0.09931813,1.444226,0.589056,1.834742,0.504427,val
12,0.09901910,1.385552,0.603248,1.916705,0.497352,val
13,0.09866646,1.345544,0.615508,1.998954,0.487457,val
14,0.09826062,1.303287,0.623863,1.754912,0.530425,val
15,0.09780201,1.253915,0.636253,1.682354,0.549392,val
16,0.09729113,1.218934,0.644354,1.742474,0.534158,val
17,0.09672855,1.198937,0.652570,1.788499,0.528689,val
18,0.09611488,1.157466,0.662119,1.588672,0.570182,val
19,0.09545078,1.131792,0.668438,1.810673,0.525130,val
20,0.09473699,1.114586,0.672601,1.605870,0.576519,val
21,0.09397429,1.081587,0.680421,1.813823,0.527431,val
22,0.09316351,1.061683,0.685781,1.629532,0.560677,val
23,0.09230553,1.033904,0.695728,1.673593,0.555773,val
24,0.09140130,1.018134,0.697136,1.591112,0.572960,val
25,0.09045180,1.002977,0.703277,1.631655,0.568186,val
26,0.08945808,0.988478,0.706515,1.799000,0.541276,val
27,0.08842121,0.952795,0.716623,1.752305,0.555556,val
28,0.08734234,0.944428,0.717112,1.763478,0.544227,val
29,0.08622264,0.917421,0.727402,1.584507,0.576866,val
30,0.08506333,0.912449,0.727209,1.600780,0.578038,val
31,0.08386569,0.887914,0.735533,1.609154,0.581424,val
32,0.08263103,0.884739,0.733215,1.519718,0.598003,val
33,0.08136068,0.848965,0.744679,1.652153,0.581858,val
34,0.08005605,0.835065,0.749530,1.599223,0.584505,val
35,0.07871856,0.821210,0.751096,1.540245,0.600347,val
36,0.07734967,0.799670,0.759227,1.669172,0.578733,val
37,0.07595088,0.794180,0.760006,1.438237,0.614410,val
38,0.07452372,0.771534,0.767853,1.559695,0.586111,val
39,0.07306975,0.740271,0.775102,1.647287,0.596962,val
40,0.07159056,0.735003,0.776514,1.588201,0.592231,val
41,0.07008776,0.713429,0.782499,1.561106,0.600564,val
42,0.06856301,0.698856,0.787462,1.634775,0.586241,val
43,0.06701796,0.677768,0.792867,1.457481,0.613628,val
44,0.06545430,0.645132,0.801491,1.454882,0.625694,val
45,0.06387376,0.644549,0.802079,1.608996,0.604167,val
46,0.06227805,0.629574,0.806758,1.521977,0.617578,val
47,0.06066892,0.595412,0.815935,1.541299,0.607378,val
48,0.05904812,0.573430,0.823031,1.411659,0.639714,val
49,0.05741744,0.559945,0.825115,1.506883,0.627300,val
50,0.05577865,0.543499,0.829723,1.651347,0.608464,val
51,0.05413355,0.521786,0.839579,1.545540,0.615972,val
52,0.05248394,0.498619,0.844264,1.644019,0.609592,val
53,0.05083161,0.486589,0.847706,1.547434,0.625391,val
54,0.04917839,0.449796,0.858262,1.607835,0.630946,val
55,0.04752606,0.440473,0.860981,1.488114,0.642882,val
56,0.04587645,0.411674,0.870719,1.499960,0.637587,val
57,0.04423135,0.401811,0.873483,1.436661,0.646875,val
58,0.04259256,0.378222,0.878602,1.374019,0.661458,val
59,0.04096188,0.348592,0.890720,1.599892,0.638325,val
60,0.03934108,0.323358,0.901130,1.378677,0.671745,val
61,0.03773195,0.290040,0.909200,1.370952,0.669922,val
62,0.03613624,0.275511,0.914191,1.504038,0.646007,val
63,0.03455570,0.271691,0.914588,1.418398,0.666016,val
