epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.642216,0.013817,4.578214,0.020830,val
2,0.02008000,3.792341,0.121027,3.407481,0.183732,val
3,0.04006000,3.229690,0.210960,3.021808,0.248794,val
4,0.06004000,2.736652,0.297025,2.710530,0.316923,val
5,0.08002000,2.354932,0.374420,2.600181,0.335386,val
6,0.10000000,2.107872,0.425678,2.224020,0.408249,val
7,0.09997267,1.860525,0.485781,2.333194,0.403814,val
8,0.09989069,1.710936,0.521322,2.336278,0.416452,val
9,0.09975417,1.599333,0.550414,1.853781,0.502057,val
10,0.09956325,1.536573,0.563738,1.726187,0.530205,val
11,0.09931813,1.468004,0.581176,1.774410,0.524943,val
12,0.09901910,1.412899,0.599545,1.986556,0.481514,val
13,0.09866646,1.375034,0.608943,1.782447,0.521680,val
14,0.09826062,1.346118,0.614211,1.797965,0.512328,val
15,0.09780201,1.298795,0.627730,1.939447,0.516188,val
16,0.09729113,1.274076,0.633784,1.603886,0.559949,val
17,0.09672855,1.242426,0.643397,1.917556,0.497289,val
18,0.09611488,1.213821,0.649091,1.717140,0.540993,val
19,0.09545078,1.190190,0.655910,1.607773,0.561994,val
20,0.09473699,1.152869,0.663456,1.929541,0.513212,val
21,0.09397429,1.149218,0.664898,1.574725,0.576700,val
22,0.09316351,1.129516,0.669286,1.936949,0.500437,val
23,0.09230553,1.117172,0.675414,1.885814,0.519267,val
24,0.09140130,1.087541,0.681113,1.810900,0.543658,val
25,0.09045180,1.072333,0.686099,1.707545,0.556824,val
26,0.08945808,1.048849,0.689505,1.615509,0.565763,val
27,0.08842121,1.037358,0.693751,1.680171,0.559777,val
28,0.08734234,1.019138,0.701816,1.662973,0.558548,val
29,0.08622264,1.007498,0.701983,1.860256,0.536627,val
30,0.08506333,0.980507,0.709253,1.547356,0.591636,val
31,0.08386569,0.958165,0.715063,1.552444,0.593256,val
32,0.08263103,0.964369,0.713633,1.628603,0.582307,val
33,0.08136068,0.945433,0.717786,1.523870,0.583778,val
34,0.08005605,0.918757,0.725983,1.679119,0.567911,val
35,0.07871856,0.903856,0.730528,1.586381,0.588568,val
36,0.07734967,0.886659,0.735601,1.542694,0.589867,val
37,0.07595088,0.854299,0.744806,1.617929,0.591475,val
38,0.07452372,0.858066,0.745307,1.513927,0.595830,val
39,0.07306975,0.836576,0.749887,1.743196,0.568865,val
40,0.07159056,0.811439,0.755418,1.551011,0.596369,val
41,0.07008776,0.802479,0.758725,1.436278,0.616820,val
42,0.06856301,0.773183,0.767909,1.535457,0.603791,val
43,0.06701796,0.767414,0.768227,1.523143,0.620657,val
44,0.06545430,0.738234,0.774007,1.567512,0.605779,val
45,0.06387376,0.731788,0.778564,1.487738,0.617440,val
46,0.06227805,0.691697,0.790693,1.554821,0.603699,val
47,0.06066892,0.692501,0.789186,1.732679,0.567911,val
48,0.05904812,0.659094,0.799198,1.443200,0.629446,val
49,0.05741744,0.648663,0.801531,1.596739,0.604883,val
50,0.05577865,0.613371,0.813721,1.569613,0.609915,val
51,0.05413355,0.601449,0.815171,1.487069,0.631158,val
52,0.05248394,0.583043,0.820865,1.577103,0.616498,val
53,0.05083161,0.563276,0.824944,1.421781,0.643750,val
54,0.04917839,0.532950,0.834926,1.395472,0.647886,val
55,0.04752606,0.520804,0.837375,1.395262,0.650666,val
56,0.04587645,0.478506,0.852793,1.413709,0.641923,val
57,0.04423135,0.472157,0.854157,1.492436,0.641222,val
58,0.04259256,0.438827,0.864692,1.434053,0.644727,val
59,0.04096188,0.411440,0.871503,1.468745,0.643784,val
60,0.03934108,0.385715,0.881851,1.321345,0.666395,val
61,0.03773195,0.355993,0.889722,1.422475,0.650448,val
