epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.415017,0.042007,4.178056,0.066176,val
2,0.02008000,2.406270,0.376612,1.910649,0.495175,val
3,0.04006000,1.385512,0.605290,1.499241,0.597300,val
4,0.06004000,1.162337,0.663470,1.714446,0.573208,val
5,0.08002000,1.157326,0.665203,1.610432,0.580733,val
6,0.10000000,1.206286,0.653495,1.739840,0.556698,val
7,0.09997267,1.163532,0.663867,1.822187,0.563051,val
8,0.09989069,1.141919,0.670389,1.682101,0.571059,val
9,0.09975417,1.125861,0.675474,2.024895,0.538097,val
10,0.09956325,1.115338,0.677774,1.838942,0.543394,val
11,0.09931813,1.099259,0.682850,1.620768,0.581503,val
12,0.09901910,1.088394,0.684925,1.527401,0.599874,val
13,0.09866646,1.080284,0.686942,1.669968,0.568693,val
14,0.09826062,1.072462,0.689361,1.774258,0.559708,val
15,0.09780201,1.062491,0.692410,1.638241,0.584042,val
16,0.09729113,1.059475,0.692437,1.724971,0.577183,val
17,0.09672855,1.050413,0.694937,1.729527,0.571864,val
18,0.09611488,1.046363,0.695744,1.622423,0.585443,val
19,0.09545078,1.037952,0.698761,1.656199,0.589315,val
20,0.09473699,1.030732,0.700950,1.622798,0.592521,val
21,0.09397429,1.019081,0.703036,1.684690,0.580779,val
22,0.09316351,1.009020,0.706176,1.670425,0.587017,val
23,0.09230553,1.001336,0.708936,1.511105,0.599759,val
24,0.09140130,0.994047,0.710510,1.996455,0.528722,val
25,0.09045180,0.990472,0.711081,1.877523,0.552309,val
26,0.08945808,0.975482,0.714963,1.679578,0.583249,val
27,0.08842121,0.965891,0.717738,1.562689,0.607227,val
28,0.08734234,0.958601,0.719974,1.588177,0.599265,val
29,0.08622264,0.945035,0.723314,1.790206,0.569738,val
30,0.08506333,0.940329,0.724647,1.535279,0.606250,val
31,0.08386569,0.926098,0.728434,1.597220,0.594451,val
32,0.08263103,0.916441,0.730996,1.553892,0.598254,val
33,0.08136068,0.905629,0.733879,1.788130,0.571886,val
34,0.08005605,0.890542,0.737332,1.704135,0.581216,val
35,0.07871856,0.877932,0.741030,1.553814,0.597920,val
36,0.07734967,0.868164,0.743636,1.837089,0.563833,val
37,0.07595088,0.855395,0.747223,1.599087,0.612328,val
38,0.07452372,0.840458,0.751595,1.689918,0.591521,val
39,0.07306975,0.828753,0.755198,1.561547,0.615487,val
40,0.07159056,0.811583,0.759560,1.511336,0.628631,val
41,0.07008776,0.793877,0.764514,1.494381,0.629986,val
42,0.06856301,0.778373,0.768330,1.766394,0.586788,val
43,0.06701796,0.766360,0.772102,1.579346,0.608789,val
44,0.06545430,0.746796,0.777661,1.528026,0.633801,val
45,0.06387376,0.734468,0.780798,1.742809,0.591131,val
46,0.06227805,0.717403,0.785461,1.515079,0.635846,val
47,0.06066892,0.697534,0.791136,1.734870,0.597128,val
48,0.05904812,0.678490,0.796310,1.427684,0.637144,val
49,0.05741744,0.664403,0.799689,1.451112,0.640751,val
50,0.05577865,0.642015,0.806048,1.484970,0.640682,val
51,0.05413355,0.625493,0.811905,1.529387,0.626746,val
52,0.05248394,0.603020,0.817644,1.442502,0.653504,val
53,0.05083161,0.586950,0.822539,1.441527,0.652022,val
54,0.04917839,0.568841,0.828209,1.543020,0.630296,val
55,0.04752606,0.552324,0.832625,1.588042,0.637753,val
56,0.04587645,0.532012,0.838870,1.406201,0.657675,val
57,0.04423135,0.505386,0.846189,1.449364,0.660903,val
58,0.04259256,0.487981,0.851666,1.427534,0.650184,val
59,0.04096188,0.470389,0.857341,1.402321,0.664901,val
60,0.03934108,0.446353,0.865052,1.480181,0.648162,val
61,0.03773195,0.428609,0.869500,1.414894,0.668084,val
62,0.03613624,0.408149,0.876116,1.569706,0.638235,val
63,0.03455570,0.388146,0.882711,1.412905,0.666050,val
64,0.03299204,0.368434,0.888221,1.416204,0.663591,val
