epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00005000,2.900156,0.340233,0.054752,2.976800,0.391602,0.048587,val
2,0.01004000,0.936211,0.736868,0.446422,2.684260,0.826096,0.633688,val
3,0.02003000,0.387928,0.887375,0.756343,0.962768,0.915556,0.812252,val
4,0.03002000,0.234158,0.929176,0.833430,10.643771,0.835654,0.673875,val
5,0.04001000,0.215329,0.939592,0.860594,1.013883,0.785553,0.744463,val
6,0.05000000,0.252019,0.926549,0.836054,0.097532,0.964724,0.897183,val
7,0.04998633,0.102540,0.969017,0.912703,0.066880,0.980513,0.934606,val
8,0.04994535,0.076368,0.977163,0.929395,0.109758,0.970791,0.914135,val
9,0.04987710,0.075304,0.976140,0.930583,0.075088,0.976607,0.918741,val
10,0.04978165,0.096568,0.974671,0.927890,2.331170,0.789107,0.900247,val
11,0.04965910,0.139903,0.960515,0.908348,1.446433,0.786694,0.679996,val
12,0.04950960,0.094091,0.970486,0.918409,0.111111,0.975674,0.930228,val
13,0.04933330,0.080380,0.977742,0.935005,0.063428,0.985692,0.948995,val
14,0.04913040,0.079808,0.974893,0.926123,0.051981,0.985055,0.947519,val
15,0.04890111,0.069353,0.979567,0.936715,0.059280,0.983102,0.940524,val
16,0.04864570,0.055062,0.982906,0.943576,0.056527,0.981149,0.934169,val
17,0.04836444,0.054288,0.984152,0.949846,0.064382,0.983102,0.941078,val
18,0.04805763,0.061448,0.980814,0.942725,0.081248,0.973337,0.926300,val
19,0.04772562,0.071313,0.979167,0.936164,0.061022,0.983102,0.942126,val
20,0.04736876,0.050531,0.983752,0.949387,0.077209,0.982126,0.936496,val
21,0.04698745,0.065028,0.979790,0.944778,0.118262,0.970451,0.914132,val
22,0.04658210,0.087178,0.975383,0.932429,0.089729,0.971384,0.886121,val
23,0.04615315,0.065395,0.980101,0.942293,0.059823,0.980513,0.935470,val
24,0.04570108,0.065989,0.980413,0.941337,0.051027,0.984715,0.944411,val
25,0.04522638,0.057884,0.981437,0.940858,0.057038,0.983102,0.941308,val
26,0.04472957,0.048354,0.985844,0.950508,0.061283,0.984079,0.943749,val
27,0.04421119,0.051488,0.983752,0.948795,0.074543,0.976607,0.934350,val
28,0.04367180,0.054971,0.982817,0.947358,0.058140,0.983102,0.941634,val
29,0.04311201,0.063580,0.981481,0.945391,0.076296,0.981830,0.939873,val
