epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,4.642087,0.014106,0.005319,4.578517,0.020634,0.009172,val
2,0.02008000,3.711079,0.132176,0.120766,3.340425,0.201505,0.172621,val
3,0.04006000,3.040666,0.241606,0.230398,2.765560,0.308008,0.290923,val
4,0.06004000,2.515280,0.341720,0.334192,2.452220,0.358134,0.338535,val
5,0.08002000,2.168915,0.416450,0.410490,2.662354,0.340682,0.333665,val
6,0.10000000,1.950402,0.464977,0.459533,2.289728,0.409616,0.398021,val
7,0.09999351,1.737406,0.513517,0.509285,2.185135,0.434007,0.420790,val
8,0.09997405,1.597563,0.548902,0.545267,1.952562,0.482399,0.478784,val
9,0.09994162,1.499779,0.572603,0.569884,2.006187,0.481836,0.474233,val
10,0.09989622,1.440480,0.589896,0.587283,1.709872,0.538235,0.529630,val
11,0.09983788,1.383526,0.603355,0.601132,1.845239,0.523886,0.511641,val
12,0.09976661,1.346286,0.614426,0.612475,1.843146,0.509226,0.509834,val
13,0.09968241,1.299973,0.624798,0.623000,1.904810,0.510478,0.511965,val
14,0.09958533,1.270787,0.633488,0.632094,1.827944,0.513270,0.512602,val
15,0.09947537,1.234613,0.643463,0.641970,1.821500,0.519187,0.508123,val
16,0.09935258,1.213916,0.650137,0.648939,1.563829,0.569152,0.557042,val
17,0.09921698,1.189432,0.655291,0.654189,1.599004,0.565441,0.555653,val
18,0.09906860,1.167293,0.656435,0.655209,1.794159,0.535995,0.530381,val
19,0.09890749,1.136586,0.669111,0.668359,1.844084,0.529871,0.521982,val
20,0.09873369,1.118383,0.672215,0.671280,1.826540,0.541245,0.532681,val
21,0.09854724,1.115016,0.675295,0.674209,1.598745,0.583433,0.577347,val
22,0.09834819,1.088297,0.682245,0.681466,1.640952,0.548840,0.543572,val
23,0.09813659,1.079379,0.683692,0.682834,1.888756,0.509766,0.504583,val
24,0.09791250,1.064132,0.689453,0.688817,1.679035,0.561179,0.557760,val
25,0.09767598,1.050054,0.692950,0.692288,1.707961,0.560512,0.555936,val
26,0.09742708,1.043163,0.693068,0.692431,1.841671,0.536730,0.524595,val
27,0.09716587,1.030360,0.696092,0.695692,1.768902,0.538166,0.526599,val
28,0.09689243,1.027868,0.699137,0.698606,1.669894,0.557525,0.551673,val
29,0.09660681,1.011155,0.702523,0.701902,1.881867,0.534134,0.542639,val
30,0.09630910,1.003983,0.705019,0.704624,1.552745,0.579940,0.574614,val
31,0.09599937,0.983233,0.709110,0.708368,1.757709,0.555974,0.546002,val
32,0.09567771,0.994091,0.706109,0.705667,1.522718,0.601367,0.591293,val
33,0.09534418,0.985338,0.708523,0.707894,1.742586,0.557307,0.557334,val
34,0.09499889,0.967700,0.714849,0.714470,1.686647,0.567084,0.556415,val
35,0.09464193,0.957037,0.716637,0.716425,1.574639,0.585501,0.579991,val
36,0.09427337,0.957963,0.715061,0.714770,1.487064,0.607445,0.602786,val
37,0.09389333,0.939305,0.724493,0.723980,1.806936,0.564028,0.558405,val
38,0.09350190,0.943860,0.721179,0.720804,1.626413,0.575138,0.565576,val
39,0.09309917,0.924577,0.724927,0.724431,1.626187,0.593474,0.586508,val
40,0.09268526,0.921643,0.728419,0.728096,1.765702,0.555676,0.555925,val
41,0.09226028,0.921606,0.728050,0.727479,1.657024,0.568566,0.559065,val
42,0.09182432,0.916289,0.727850,0.727807,1.841781,0.534272,0.529095,val
43,0.09137752,0.904862,0.733611,0.733409,1.628442,0.584513,0.580734,val
44,0.09091997,0.890962,0.734553,0.734256,1.846772,0.546909,0.538479,val
45,0.09045180,0.904462,0.731352,0.730964,1.529497,0.602217,0.598285,val
46,0.08997314,0.874143,0.740454,0.740126,1.759227,0.557847,0.555248,val
47,0.08948410,0.884404,0.737884,0.737770,1.618584,0.579435,0.575676,val
