epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000050,3.213602,0.049060,0.018126,2.971898,0.320624,0.057570,val
2,0.00005045,1.834858,0.586464,0.206882,1.374216,0.724059,0.306511,val
3,0.00010040,1.098210,0.853149,0.672941,0.932772,0.911124,0.769114,val
4,0.00015035,0.860664,0.941476,0.853938,0.833860,0.937533,0.833851,val
5,0.00020030,0.786342,0.958143,0.883848,0.780359,0.960771,0.892961,val
6,0.00025025,0.763013,0.961077,0.890856,0.763527,0.955317,0.883571,val
7,0.00030020,0.741975,0.969155,0.909830,0.774254,0.962073,0.910635,val
8,0.00035015,0.730676,0.972280,0.915966,0.749781,0.970252,0.919995,val
9,0.00040010,0.728380,0.971280,0.913584,0.762587,0.956987,0.874081,val
10,0.00045005,0.718418,0.973321,0.919473,0.730110,0.964922,0.907389,val
11,0.00050000,0.719016,0.972768,0.918979,0.733848,0.966224,0.915322,val
12,0.00049985,0.715947,0.973131,0.918696,0.741392,0.959591,0.891209,val
13,0.00049939,0.715834,0.975595,0.924369,0.725697,0.967526,0.906436,val
14,0.00049863,0.712122,0.976339,0.926450,0.753835,0.961138,0.901709,val
15,0.00049757,0.712016,0.976488,0.925759,0.743249,0.957109,0.884566,val
16,0.00049621,0.774215,0.956357,0.909301,0.742974,0.963742,0.902705,val
17,0.00049455,0.715255,0.976298,0.926260,0.742179,0.966469,0.915612,val
18,0.00049259,0.718746,0.975446,0.924026,0.740277,0.968828,0.916563,val
19,0.00049033,0.727651,0.974958,0.926528,0.737838,0.961138,0.893378,val
20,0.00048779,0.728320,0.973470,0.919487,0.760789,0.962440,0.899795,val
21,0.00048495,0.728822,0.975661,0.925422,0.773682,0.962318,0.906231,val
22,0.00048183,0.735075,0.973619,0.919460,0.757122,0.967648,0.920595,val
23,0.00047843,0.753882,0.971536,0.915552,0.809107,0.963620,0.909773,val
24,0.00047475,0.770640,0.966667,0.913793,0.792999,0.961015,0.884299,val
25,0.00047080,0.764296,0.969196,0.912054,0.790170,0.964799,0.910012,val
26,0.00046657,0.761847,0.969345,0.908997,0.774940,0.960893,0.897950,val
27,0.00046209,0.784779,0.968006,0.908037,0.770647,0.961015,0.900013,val
28,0.00045734,0.778119,0.970089,0.913168,0.862798,0.938268,0.882470,val
29,0.00045235,0.796022,0.966369,0.906136,0.820510,0.958166,0.890465,val
30,0.00044711,0.842385,0.957952,0.892342,0.835487,0.951901,0.885523,val
31,0.00044163,0.833741,0.959482,0.891153,0.891869,0.943721,0.851290,val
32,0.00043591,0.840146,0.956804,0.886965,0.879569,0.946080,0.876907,val
33,0.00042998,0.909541,0.937226,0.859472,1.015779,0.901643,0.770471,val
34,0.00042382,0.896011,0.943750,0.866146,0.857278,0.958166,0.901501,val
35,0.00041745,0.862718,0.955530,0.882821,0.918110,0.943599,0.854949,val
36,0.00041088,0.872165,0.954464,0.884219,0.848615,0.958289,0.886135,val
37,0.00040411,1.059470,0.888607,0.789040,0.933553,0.943476,0.855271,val
38,0.00039715,0.912897,0.946131,0.862886,0.884665,0.950721,0.879539,val
39,0.00039002,0.872403,0.959226,0.885097,0.924813,0.954260,0.885252,val
40,0.00038271,0.925857,0.941202,0.851765,0.972141,0.926304,0.780787,val
41,0.00037525,0.910773,0.952488,0.874492,0.898094,0.957354,0.892511,val
42,0.00036763,0.923604,0.948387,0.867094,0.910331,0.961015,0.900695,val
43,0.00035987,1.003752,0.918452,0.824817,0.897202,0.958289,0.886497,val
44,0.00035198,0.929502,0.946875,0.862834,0.951098,0.941929,0.881315,val
45,0.00034396,0.914325,0.955804,0.874122,0.937824,0.937088,0.829943,val
46,0.00033583,0.977845,0.935780,0.838423,0.931719,0.951778,0.870252,val
47,0.00032760,1.097654,0.886524,0.765623,1.015941,0.935786,0.848538,val
48,0.00031927,0.952503,0.943899,0.852379,0.956085,0.939937,0.837923,val
49,0.00031086,0.949679,0.945345,0.852636,0.967241,0.943966,0.853499,val
50,0.00030237,0.963254,0.939839,0.838216,1.006710,0.927606,0.794358,val
51,0.00029383,1.084311,0.895857,0.762490,0.955448,0.942541,0.814200,val
52,0.00028522,0.939497,0.948321,0.846494,0.968885,0.942419,0.843809,val
53,0.00027658,0.958469,0.941732,0.845186,0.989306,0.932002,0.792449,val
54,0.00026790,0.937051,0.947726,0.846951,0.950909,0.945146,0.820689,val
