epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000050,3.102692,0.180518,0.023737,2.882828,0.346543,0.037815,val
2,0.00005045,1.700053,0.631000,0.243628,1.336291,0.779647,0.438286,val
3,0.00010040,1.056627,0.873875,0.700438,0.905011,0.934362,0.824053,val
4,0.00015035,0.830703,0.943113,0.851310,0.797701,0.958166,0.891323,val
5,0.00020030,0.770638,0.958929,0.887353,0.774379,0.951411,0.856957,val
6,0.00025025,0.749782,0.962012,0.892672,0.750330,0.960771,0.900128,val
7,0.00030020,0.734196,0.966327,0.903640,0.735782,0.961950,0.903624,val
8,0.00035015,0.725960,0.968220,0.908236,0.727766,0.963620,0.906111,val
9,0.00040010,0.722086,0.968601,0.906979,0.723596,0.963375,0.907087,val
10,0.00045005,0.719133,0.969643,0.909157,0.732991,0.960893,0.893293,val
11,0.00050000,0.716987,0.970643,0.912580,0.732383,0.966224,0.913385,val
12,0.00049985,0.711997,0.972577,0.916632,0.732132,0.962195,0.894578,val
13,0.00049939,0.712256,0.972280,0.916327,0.720322,0.966101,0.914525,val
14,0.00049863,0.713425,0.973470,0.918613,0.723327,0.964799,0.905387,val
15,0.00049757,0.716157,0.973577,0.919158,0.739892,0.955807,0.876132,val
16,0.00049621,0.714516,0.973024,0.919195,0.734039,0.966591,0.912515,val
17,0.00049455,0.719565,0.972173,0.915535,0.739165,0.966469,0.911445,val
18,0.00049259,0.727088,0.970685,0.914877,0.740966,0.966101,0.910923,val
19,0.00049033,0.722070,0.973619,0.921146,0.750223,0.963375,0.905870,val
20,0.00048779,0.731276,0.971833,0.917832,0.744657,0.968828,0.907337,val
21,0.00048495,0.729071,0.972917,0.918193,0.748012,0.959713,0.891277,val
22,0.00048183,0.738622,0.971833,0.917699,0.757623,0.967771,0.915642,val
23,0.00047843,0.752980,0.967220,0.906021,0.759239,0.965044,0.909450,val
24,0.00047475,0.749113,0.971726,0.916873,0.762949,0.963864,0.897961,val
25,0.00047080,0.757371,0.969643,0.910750,0.920351,0.924880,0.826209,val
26,0.00046657,0.776898,0.966030,0.906985,0.776861,0.955562,0.875350,val
27,0.00046209,0.792045,0.961714,0.899170,0.814936,0.957232,0.889848,val
28,0.00045734,0.787273,0.965095,0.902961,0.785314,0.967771,0.915901,val
29,0.00045235,0.777311,0.970792,0.914236,0.788061,0.966224,0.917572,val
30,0.00044711,0.803859,0.964839,0.900515,0.830452,0.956987,0.892554,val
31,0.00044163,0.815455,0.960077,0.890289,0.804347,0.958534,0.882476,val
32,0.00043591,0.817654,0.962226,0.896499,0.833194,0.951778,0.861822,val
33,0.00042998,0.849138,0.958696,0.897104,0.822520,0.966469,0.923934,val
34,0.00042382,0.846268,0.958845,0.889668,0.855839,0.942541,0.825621,val
35,0.00041745,0.865187,0.956274,0.883367,0.888862,0.960771,0.891370,val
36,0.00041088,0.849515,0.960524,0.893163,0.897619,0.950231,0.876271,val
37,0.00040411,0.891428,0.952446,0.877304,0.841454,0.959836,0.894943,val
38,0.00039715,0.943693,0.933631,0.858590,0.874593,0.961138,0.909209,val
39,0.00039002,0.887813,0.953679,0.882244,0.884870,0.954383,0.885407,val
40,0.00038271,0.878429,0.957952,0.888737,0.906575,0.958411,0.889187,val
41,0.00037525,0.910543,0.952042,0.878054,0.915363,0.950599,0.864773,val
42,0.00036763,0.930595,0.948024,0.868605,0.953731,0.949987,0.868515,val
43,0.00035987,0.943138,0.944006,0.859170,0.927082,0.953080,0.871675,val
44,0.00035198,0.946335,0.940393,0.848070,0.970802,0.931513,0.826914,val
45,0.00034396,0.936951,0.946238,0.862689,0.949835,0.944901,0.869398,val
46,0.00033583,1.009277,0.921131,0.818667,0.993367,0.928786,0.813367,val
47,0.00032760,0.953484,0.941071,0.848847,0.957518,0.950231,0.868462,val
48,0.00031927,0.943778,0.945345,0.858213,0.956062,0.943599,0.863154,val
49,0.00031086,0.985683,0.934589,0.838900,1.021287,0.932125,0.810003,val
50,0.00030237,0.958984,0.942262,0.851706,0.961487,0.948807,0.878299,val
51,0.00029383,0.967095,0.940583,0.847003,0.959455,0.954015,0.890129,val
52,0.00028522,1.005783,0.930208,0.830700,1.019017,0.920484,0.803549,val
53,0.00027658,0.994062,0.930952,0.827361,0.952248,0.947382,0.864048,val
54,0.00026790,0.961121,0.944196,0.854859,1.008470,0.934606,0.822018,val
55,0.00025921,0.998033,0.931786,0.827576,1.175372,0.902622,0.735870,val
56,0.00025050,1.047247,0.902119,0.794554,2.154772,0.595954,0.116318,val
57,0.00024179,1.042691,0.907911,0.784794,1.003958,0.940627,0.845193,val
58,0.00023310,0.972419,0.937756,0.839030,1.065352,0.903557,0.732898,val
59,0.00022442,1.011987,0.916583,0.789547,1.030519,0.916822,0.789230,val
60,0.00021578,0.978665,0.930060,0.815794,0.940598,0.944901,0.849038,val
