epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00010000,4.608893,0.013210,0.008904,4.577277,0.014757,0.010249,val
2,0.02008000,4.343075,0.057986,0.049805,3.874420,0.094190,0.065292,val
3,0.04006000,3.696975,0.120903,0.107533,3.509886,0.148666,0.124883,val
4,0.06004000,3.313332,0.191849,0.177286,3.143652,0.213225,0.187417,val
5,0.08002000,2.902231,0.263344,0.251738,3.086653,0.261033,0.248679,val
6,0.10000000,2.525143,0.338366,0.329170,2.770159,0.314400,0.297614,val
7,0.09999351,2.146013,0.417611,0.411041,2.383110,0.402772,0.397537,val
8,0.09997405,1.890069,0.474801,0.469927,2.408505,0.415834,0.409813,val
9,0.09994162,1.703084,0.523523,0.519127,1.811697,0.502329,0.495834,val
10,0.09989622,1.547415,0.560731,0.557152,1.828808,0.499073,0.497208,val
11,0.09983788,1.427480,0.590576,0.587772,1.886278,0.507302,0.508046,val
12,0.09976661,1.299534,0.621533,0.619493,1.684836,0.550746,0.541226,val
13,0.09968241,1.228337,0.643541,0.641832,1.640357,0.552207,0.558677,val
14,0.09958533,1.141133,0.660874,0.659498,1.727990,0.548500,0.548609,val
15,0.09947537,1.065852,0.681106,0.679742,1.594411,0.572289,0.570679,val
16,0.09935258,1.009295,0.696204,0.695336,1.609196,0.580184,0.581677,val
17,0.09921698,0.946725,0.714388,0.713355,1.528300,0.610982,0.609546,val
18,0.09906860,0.890050,0.730056,0.729585,1.619858,0.593738,0.593610,val
19,0.09890749,0.837038,0.742815,0.742217,1.552265,0.603838,0.603910,val
20,0.09873369,0.791906,0.756286,0.755914,1.491930,0.617058,0.618635,val
21,0.09854724,0.748821,0.765627,0.765234,1.522184,0.617668,0.620585,val
22,0.09834819,0.710978,0.777483,0.777329,1.603030,0.605967,0.603884,val
23,0.09813659,0.663653,0.791971,0.791859,1.507194,0.624630,0.631214,val
24,0.09791250,0.627613,0.799724,0.799748,1.655100,0.607604,0.610644,val
25,0.09767598,0.600780,0.809086,0.809064,1.528046,0.627610,0.627980,val
26,0.09742708,0.561861,0.819029,0.819047,1.575520,0.634420,0.634884,val
27,0.09716587,0.529338,0.829810,0.829833,1.536532,0.632191,0.632473,val
28,0.09689243,0.504551,0.836810,0.836798,1.619771,0.628678,0.629023,val
29,0.09660681,0.469128,0.848503,0.848517,1.582607,0.632150,0.631246,val
30,0.09630910,0.453655,0.853418,0.853391,1.575629,0.630572,0.632357,val
31,0.09599937,0.430954,0.860156,0.860139,1.577176,0.637323,0.634198,val
32,0.09567771,0.393433,0.872960,0.872909,1.531864,0.649828,0.651814,val
33,0.09534418,0.392607,0.872666,0.872815,1.539207,0.643399,0.643910,val
34,0.09499889,0.368201,0.880304,0.880355,1.678479,0.640754,0.642247,val
35,0.09464193,0.362892,0.883080,0.883209,1.631533,0.643159,0.645539,val
36,0.09427337,0.339300,0.889783,0.889960,1.544870,0.652133,0.655392,val
37,0.09389333,0.329678,0.892676,0.892709,1.530785,0.660719,0.660121,val
38,0.09350190,0.311125,0.898688,0.898688,1.620819,0.648490,0.646420,val
39,0.09309917,0.304034,0.901823,0.902066,1.697668,0.638953,0.640336,val
40,0.09268526,0.301943,0.901255,0.901416,1.629298,0.651781,0.653283,val
41,0.09226028,0.303833,0.901355,0.901575,1.646830,0.647657,0.649161,val
42,0.09182432,0.275833,0.910383,0.910451,1.693519,0.637123,0.638865,val
43,0.09137752,0.259243,0.916174,0.916269,1.711088,0.636865,0.640286,val
44,0.09091997,0.267822,0.913860,0.914080,1.611240,0.659417,0.659344,val
45,0.09045180,0.263199,0.913795,0.913832,1.679586,0.644027,0.643333,val
46,0.08997314,0.244115,0.920696,0.920753,1.676491,0.655153,0.655299,val
47,0.08948410,0.267591,0.912588,0.912657,1.529981,0.672145,0.668925,val
48,0.08898482,0.232219,0.925085,0.925224,1.738030,0.642607,0.642004,val
49,0.08847542,0.236904,0.922584,0.922769,1.718203,0.652713,0.647757,val
50,0.08795603,0.243418,0.920548,0.920601,1.577646,0.665711,0.668316,val
51,0.08742679,0.214977,0.931847,0.931889,1.660184,0.651663,0.645128,val
52,0.08688785,0.221304,0.928707,0.928879,1.744228,0.634302,0.634974,val
53,0.08633932,0.218648,0.930963,0.931112,1.690485,0.662021,0.661495,val
54,0.08578137,0.196178,0.936874,0.936900,1.718821,0.648567,0.651690,val
55,0.08521413,0.214679,0.931504,0.931621,1.706633,0.651347,0.651022,val
56,0.08463775,0.209441,0.932452,0.932532,1.789490,0.637340,0.643903,val
57,0.08405239,0.205071,0.934400,0.934550,1.741316,0.639728,0.642861,val
58,0.08345818,0.190621,0.940425,0.940545,1.693390,0.655511,0.652164,val
59,0.08285530,0.180081,0.940867,0.940944,1.764463,0.658215,0.655990,val
60,0.08224389,0.188456,0.938465,0.938543,1.808618,0.648191,0.644549,val
61,0.08162411,0.174006,0.944463,0.944465,1.743389,0.655218,0.651818,val
62,0.08099612,0.180646,0.942634,0.942886,1.813317,0.648091,0.647348,val
63,0.08036009,0.195029,0.938501,0.938492,1.690618,0.660367,0.658179,val
64,0.07971618,0.159617,0.949078,0.949295,1.750182,0.647399,0.646645,val
65,0.07906456,0.165769,0.947485,0.947605,1.839190,0.640437,0.645290,val
66,0.07840540,0.156456,0.949618,0.949766,1.740647,0.660068,0.658008,val
67,0.07773886,0.161214,0.948803,0.948856,1.754758,0.657423,0.660534,val
68,0.07706513,0.172108,0.945536,0.945602,1.673258,0.664649,0.661248,val
69,0.07638437,0.150960,0.952896,0.953025,1.844937,0.641898,0.641977,val
70,0.07569677,0.159893,0.948975,0.949062,1.771745,0.659458,0.655396,val
71,0.07500250,0.150864,0.952932,0.953048,1.618145,0.672896,0.673540,val
72,0.07430174,0.148237,0.954706,0.954804,1.830538,0.644954,0.646859,val
73,0.07359468,0.138533,0.956084,0.956116,1.774791,0.660901,0.657929,val
74,0.07288149,0.145425,0.954499,0.954689,1.683529,0.652490,0.653002,val
75,0.07216236,0.140799,0.956037,0.956155,1.720265,0.656338,0.658364,val
76,0.07143748,0.138091,0.956037,0.956137,1.640234,0.666145,0.670336,val
77,0.07070705,0.132725,0.958045,0.958129,1.652786,0.676526,0.674381,val
78,0.06997123,0.131613,0.960016,0.960079,1.678643,0.668373,0.670358,val
79,0.06923024,0.129037,0.959351,0.959448,1.708297,0.659101,0.657136,val
80,0.06848425,0.112429,0.965129,0.965180,1.671748,0.679207,0.676048,val
81,0.06773347,0.109523,0.966507,0.966467,1.682599,0.671945,0.673222,val
82,0.06697809,0.111902,0.965487,0.965540,1.716885,0.665593,0.667464,val
83,0.06621830,0.102508,0.968604,0.968634,1.658272,0.681910,0.681046,val
84,0.06545430,0.110625,0.965808,0.965901,1.568293,0.684532,0.683926,val
85,0.06468630,0.103709,0.967855,0.968021,1.656248,0.686884,0.687641,val
86,0.06391448,0.108544,0.966807,0.966923,1.707036,0.669857,0.667510,val
87,0.06313906,0.115655,0.963935,0.963994,1.692541,0.675658,0.675381,val
88,0.06236022,0.115866,0.962530,0.962596,1.601059,0.691043,0.691332,val
89,0.06157818,0.084708,0.975406,0.975452,1.593996,0.694005,0.694447,val
90,0.06079313,0.071879,0.978942,0.978939,1.596884,0.685301,0.687160,val
91,0.06000528,0.082224,0.974765,0.974796,1.685959,0.686133,0.681836,val
92,0.05921484,0.081885,0.975469,0.975568,1.641096,0.682820,0.681679,val
93,0.05842201,0.071463,0.979607,0.979634,1.682160,0.681101,0.682558,val
94,0.05762699,0.083542,0.975491,0.975507,1.655112,0.681119,0.678837,val
95,0.05683000,0.078523,0.976809,0.976790,1.615839,0.689383,0.688261,val
96,0.05603123,0.064053,0.982231,0.982207,1.614791,0.687078,0.684288,val
97,0.05523090,0.060974,0.981962,0.982013,1.625800,0.679623,0.678845,val
98,0.05442921,0.062101,0.982551,0.982559,1.538212,0.699371,0.696710,val
99,0.05362638,0.051059,0.985903,0.985908,1.692898,0.684239,0.682925,val
100,0.05282260,0.051563,0.986026,0.986015,1.559176,0.693136,0.691416,val
101,0.05201810,0.046166,0.987617,0.987633,1.545537,0.701207,0.700925,val
102,0.05121307,0.044707,0.988036,0.988049,1.520197,0.704028,0.703407,val
103,0.05040772,0.045433,0.987258,0.987247,1.595893,0.686702,0.687251,val
104,0.04960228,0.045824,0.987505,0.987496,1.549927,0.706040,0.706741,val
105,0.04879693,0.037615,0.990413,0.990408,1.480278,0.708544,0.707829,val
106,0.04799190,0.027221,0.993888,0.993871,1.479744,0.707201,0.706236,val
107,0.04718740,0.021338,0.995022,0.995018,1.450604,0.717624,0.714678,val
108,0.04638362,0.017984,0.996514,0.996555,1.441232,0.722474,0.721795,val
109,0.04558079,0.016255,0.996612,0.996650,1.403378,0.726598,0.724986,val
110,0.04477910,0.017739,0.996428,0.996502,1.421354,0.720345,0.718783,val
111,0.04397877,0.020192,0.995367,0.995369,1.365980,0.724369,0.723562,val
112,0.04318000,0.015249,0.996870,0.996879,1.345964,0.735261,0.732489,val
113,0.04238301,0.010985,0.998176,0.998179,1.354038,0.727900,0.727997,val
114,0.04158799,0.007748,0.998817,0.998812,1.305929,0.736088,0.735034,val
115,0.04079516,0.006649,0.998965,0.998964,1.285189,0.740369,0.738734,val
116,0.04000472,0.004856,0.999384,0.999382,1.255113,0.749683,0.747187,val
117,0.03921687,0.004516,0.999384,0.999380,1.222878,0.748540,0.746253,val
118,0.03843182,0.003331,0.999655,0.999654,1.228615,0.745560,0.743387,val
119,0.03764978,0.003309,0.999507,0.999506,1.204301,0.749050,0.747061,val
120,0.03687094,0.002806,0.999729,0.999727,1.191245,0.747314,0.746217,val
121,0.03609552,0.003497,0.999433,0.999431,1.172803,0.753173,0.751614,val
122,0.03532370,0.003172,0.999532,0.999529,1.164832,0.754200,0.752338,val
123,0.03455570,0.002721,0.999655,0.999652,1.153334,0.756686,0.755112,val
124,0.03379170,0.002587,0.999778,0.999776,1.148983,0.754575,0.751642,val
125,0.03303191,0.002807,0.999581,0.999579,1.143400,0.754082,0.752166,val
126,0.03227653,0.002672,0.999704,0.999703,1.134014,0.755384,0.753855,val
127,0.03152575,0.002684,0.999630,0.999628,1.124254,0.754358,0.752477,val
128,0.03077976,0.002409,0.999754,0.999752,1.107929,0.758857,0.757004,val
129,0.03003877,0.002262,0.999852,0.999851,1.111057,0.759824,0.757740,val
130,0.02930295,0.002676,0.999704,0.999703,1.098896,0.760317,0.758349,val
131,0.02857252,0.002561,0.999754,0.999752,1.094324,0.754692,0.753315,val
132,0.02784764,0.002366,0.999754,0.999752,1.093494,0.757496,0.755296,val
133,0.02712851,0.002346,0.999754,0.999751,1.085569,0.760475,0.758489,val
134,0.02641532,0.002252,0.999852,0.999851,1.081749,0.757812,0.755258,val
135,0.02570826,0.002454,0.999729,0.999727,1.072241,0.760100,0.758291,val
136,0.02500750,0.002462,0.999754,0.999752,1.070177,0.758364,0.756455,val
137,0.02431323,0.002390,0.999754,0.999752,1.074327,0.757930,0.756318,val
138,0.02362563,0.002295,0.999803,0.999802,1.069762,0.759232,0.756716,val
139,0.02294487,0.002575,0.999704,0.999702,1.072028,0.757930,0.756048,val
140,0.02227114,0.002520,0.999827,0.999826,1.062819,0.760317,0.758157,val
141,0.02160460,0.002273,0.999827,0.999825,1.062602,0.760317,0.758365,val
142,0.02094544,0.002290,0.999827,0.999825,1.062365,0.759291,0.757356,val
143,0.02029382,0.002359,0.999877,0.999876,1.061183,0.760217,0.757897,val
144,0.01964991,0.002257,0.999901,0.999901,1.060424,0.761519,0.759612,val
145,0.01901388,0.002458,0.999827,0.999826,1.064269,0.761777,0.759766,val
146,0.01838589,0.002357,0.999852,0.999850,1.055825,0.762428,0.760468,val
147,0.01776611,0.002292,0.999778,0.999776,1.056338,0.763789,0.762208,val
