epoch,lr,train_loss,train_acc1,train_f1,eval_loss,eval_acc1,eval_f1,eval_split
1,0.00000050,3.419100,0.053994,0.017487,3.186019,0.136852,0.024293,val
2,0.00005045,2.192228,0.450690,0.103447,1.922762,0.541466,0.152867,val
3,0.00010040,1.505410,0.691375,0.364643,1.225069,0.803330,0.511618,val
4,0.00015035,1.107734,0.843030,0.645877,0.991948,0.881177,0.708167,val
5,0.00020030,0.938675,0.910970,0.788119,0.937844,0.899528,0.756683,val
6,0.00025025,0.863200,0.931060,0.836357,0.857613,0.940872,0.840255,val
7,0.00030020,0.834925,0.938756,0.843314,0.826213,0.935909,0.829240,val
8,0.00035015,0.795078,0.951339,0.873893,0.808668,0.939692,0.849573,val
9,0.00040010,0.778180,0.954679,0.882379,0.798804,0.946325,0.855794,val
10,0.00045005,0.780192,0.952446,0.872136,0.767109,0.951534,0.867367,val
11,0.00050000,0.755995,0.960821,0.892004,0.769162,0.951534,0.874482,val
12,0.00049985,0.746952,0.964881,0.899443,0.786150,0.946325,0.849313,val
13,0.00049939,0.741671,0.965732,0.900050,0.780387,0.951289,0.866989,val
14,0.00049863,0.737927,0.967113,0.904972,0.756030,0.956864,0.875681,val
15,0.00049757,0.745160,0.964839,0.897449,0.862382,0.931880,0.832560,val
16,0.00049621,0.750097,0.965625,0.901800,0.793957,0.948807,0.852881,val
17,0.00049455,0.739667,0.966923,0.900618,0.772251,0.954015,0.868424,val
18,0.00049259,0.752158,0.964286,0.895703,0.801472,0.954260,0.876951,val
19,0.00049033,0.775622,0.955208,0.886910,0.801160,0.929966,0.819847,val
20,0.00048779,0.759196,0.962054,0.894256,0.775816,0.946325,0.859764,val
21,0.00048495,0.767998,0.961756,0.897795,0.796123,0.950476,0.869019,val
22,0.00048183,0.757788,0.965476,0.900596,0.782865,0.958166,0.880125,val
23,0.00047843,0.776047,0.959970,0.890700,0.816105,0.946203,0.862189,val
24,0.00047475,0.790843,0.956613,0.883809,0.835898,0.940505,0.832169,val
25,0.00047080,0.797269,0.955952,0.878068,0.806198,0.952836,0.857959,val
26,0.00046657,0.809778,0.953125,0.882018,0.877785,0.941929,0.848846,val
27,0.00046209,0.807132,0.956357,0.879640,0.807485,0.947505,0.852667,val
28,0.00045734,0.835192,0.951256,0.879058,0.821054,0.948807,0.853230,val
29,0.00045235,0.802185,0.959970,0.884310,0.969214,0.903557,0.746674,val
30,0.00044711,0.843882,0.952190,0.872110,0.904449,0.938145,0.841614,val
31,0.00044163,0.858722,0.947280,0.864361,0.859733,0.940995,0.833011,val
32,0.00043591,0.858360,0.948363,0.867621,0.854265,0.946203,0.841128,val
33,0.00042998,0.855319,0.950321,0.871291,0.964325,0.920729,0.799520,val
34,0.00042382,0.878761,0.946726,0.864571,0.874824,0.938145,0.843628,val
