epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.786845,0.097040,2.821267,0.108218,val
2,0.02008000,2.399143,0.213364,2.486937,0.203270,val
3,0.04006000,2.213017,0.268355,2.627699,0.205657,val
4,0.06004000,2.109965,0.294605,2.561183,0.196181,val
5,0.08002000,2.066211,0.308759,2.252493,0.270616,val
6,0.10000000,2.046251,0.313943,2.444847,0.225260,val
7,0.09991846,2.016646,0.323116,3.093304,0.251881,val
8,0.09967412,1.991728,0.330506,2.388785,0.219401,val
9,0.09926777,1.972587,0.335432,2.808375,0.201678,val
10,0.09870073,1.959960,0.339568,2.536127,0.242188,val
11,0.09797485,1.938501,0.343989,2.222520,0.270833,val
12,0.09709251,1.924236,0.348686,2.317201,0.258536,val
13,0.09605658,1.914106,0.351921,2.551714,0.215133,val
14,0.09487043,1.903358,0.357390,2.535934,0.254630,val
15,0.09353795,1.893876,0.358658,2.219115,0.294416,val
16,0.09206347,1.883605,0.362215,2.002188,0.332104,val
17,0.09045180,1.878460,0.362574,2.424750,0.291594,val
18,0.08870821,1.869218,0.364945,2.049418,0.316262,val
19,0.08683837,1.860369,0.367757,2.009035,0.326244,val
20,0.08484839,1.853897,0.369265,2.156422,0.301215,val
21,0.08274476,1.844910,0.372932,3.595518,0.278501,val
22,0.08053434,1.834912,0.375726,2.357172,0.257089,val
23,0.07822434,1.826863,0.378107,2.292597,0.282046,val
24,0.07582229,1.820853,0.379982,2.943146,0.184317,val
25,0.07333603,1.817739,0.380496,3.796228,0.150101,val
26,0.07077367,1.802825,0.384715,2.187688,0.294488,val
27,0.06814357,1.799273,0.386562,2.189377,0.298032,val
28,0.06545430,1.782987,0.389513,2.332735,0.273510,val
29,0.06271465,1.779515,0.391801,2.878778,0.310113,val
30,0.05993353,1.766061,0.396636,2.338499,0.300564,val
31,0.05712003,1.760375,0.399816,1.805312,0.390336,val
32,0.05428332,1.747734,0.402068,2.099395,0.313513,val
33,0.05143266,1.737244,0.406507,2.111680,0.325955,val
34,0.04857734,1.726527,0.410202,2.382005,0.298177,val
35,0.04572668,1.714145,0.411691,2.285292,0.272280,val
36,0.04288997,1.702747,0.416949,2.023314,0.341508,val
37,0.04007647,1.691117,0.419687,2.599910,0.270978,val
38,0.03729535,1.675838,0.426379,2.196439,0.313947,val
39,0.03455570,1.662611,0.431241,3.029725,0.324002,val
40,0.03186643,1.646548,0.436213,1.825440,0.407624,val
41,0.02923633,1.633893,0.441131,2.027445,0.359230,val
42,0.02667397,1.613306,0.448594,1.750080,0.412905,val
43,0.02418771,1.597239,0.454577,2.689543,0.335286,val
44,0.02178566,1.576925,0.461847,2.070510,0.340133,val
45,0.01947566,1.556909,0.468382,2.032904,0.371455,val
46,0.01726524,1.537053,0.476333,1.756919,0.425130,val
47,0.01516161,1.516292,0.484026,2.011314,0.359158,val
48,0.01317163,1.494606,0.489899,1.868899,0.402488,val
49,0.01130179,1.466920,0.499311,1.536318,0.490885,val
50,0.00955820,1.441132,0.508649,1.457144,0.509115,val
51,0.00794653,1.410058,0.518300,1.395773,0.532841,val
52,0.00647205,1.384670,0.527877,1.454746,0.515770,val
53,0.00513957,1.354944,0.537877,1.407728,0.531684,val
54,0.00395342,1.325177,0.549421,1.311816,0.560981,val
55,0.00291749,1.285800,0.561029,1.375149,0.542607,val
56,0.00203515,1.256867,0.571737,1.294603,0.565900,val
57,0.00130927,1.228341,0.581103,1.326486,0.565466,val
58,0.00074223,1.199925,0.590901,1.217960,0.597729,val
59,0.00033588,1.177232,0.597886,1.232891,0.593822,val
60,0.00009154,1.169080,0.601930,1.249146,0.588831,val
