epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.770928,0.121176,3.383479,0.040873,val
2,0.01004000,2.179499,0.281250,2.415655,0.228277,val
3,0.02003000,2.037974,0.321324,2.177141,0.284421,val
4,0.03002000,1.936410,0.351912,2.029107,0.323511,val
5,0.04001000,1.857265,0.368309,2.305605,0.321143,val
6,0.05000000,1.829946,0.374412,2.140904,0.295514,val
7,0.04998633,1.756236,0.394338,2.010674,0.335339,val
8,0.04994535,1.720461,0.406250,1.829165,0.366276,val
9,0.04987710,1.689772,0.417132,1.980845,0.341586,val
10,0.04978165,1.652128,0.425000,2.277900,0.350161,val
11,0.04965910,1.631886,0.436912,2.252070,0.323865,val
12,0.04950960,1.618170,0.439632,1.858491,0.389849,val
13,0.04933330,1.598089,0.441250,2.025577,0.393265,val
14,0.04913040,1.587108,0.444779,1.805606,0.388556,val
15,0.04890111,1.560946,0.460515,1.984129,0.368576,val
16,0.04864570,1.539876,0.464118,1.853924,0.389808,val
17,0.04836444,1.526032,0.473824,1.813863,0.398560,val
18,0.04805763,1.507180,0.476544,2.024447,0.355006,val
19,0.04772562,1.493189,0.486838,1.991035,0.396995,val
20,0.04736876,1.470956,0.493971,1.699235,0.427510,val
21,0.04698745,1.461350,0.493015,1.837104,0.429320,val
22,0.04658210,1.440398,0.506985,1.758442,0.434478,val
23,0.04615315,1.433057,0.510662,1.648878,0.452295,val
24,0.04570108,1.423337,0.510368,1.643162,0.464503,val
25,0.04522638,1.400726,0.516912,1.945505,0.372863,val
26,0.04472957,1.391930,0.527426,1.681213,0.465592,val
27,0.04421119,1.374799,0.525515,1.834531,0.411504,val
28,0.04367180,1.361642,0.534338,1.770365,0.425768,val
29,0.04311201,1.346686,0.539779,2.034576,0.405542,val
30,0.04253241,1.340362,0.545147,2.054024,0.347888,val
31,0.04193365,1.316488,0.555441,2.249182,0.385589,val
32,0.04131638,1.305320,0.552500,2.248202,0.351658,val
33,0.04068127,1.305614,0.553309,2.130164,0.368889,val
34,0.04002902,1.279925,0.564853,1.662665,0.474235,val
35,0.03936034,1.265129,0.564485,1.705419,0.488254,val
36,0.03867597,1.254266,0.572574,2.284166,0.463918,val
37,0.03797664,1.237338,0.578309,1.788320,0.478073,val
38,0.03726314,1.233674,0.581029,1.800962,0.469009,val
39,0.03653622,1.212105,0.590368,1.604823,0.497564,val
40,0.03579670,1.203520,0.589559,2.264796,0.459454,val
41,0.03504538,1.185849,0.594412,1.979496,0.436574,val
42,0.03428308,1.183318,0.604265,1.774504,0.445013,val
43,0.03351063,1.179582,0.601471,1.941829,0.443829,val
44,0.03272888,1.152611,0.608382,1.449460,0.549175,val
45,0.03193869,1.128889,0.613603,1.576342,0.531985,val
46,0.03114091,1.124657,0.614853,1.752328,0.458025,val
47,0.03033642,1.112419,0.624412,1.552895,0.542166,val
48,0.02952611,1.104888,0.624044,1.555716,0.505689,val
49,0.02871085,1.081948,0.628309,1.441031,0.546521,val
50,0.02789154,1.082351,0.634485,1.358062,0.577036,val
51,0.02706907,1.059032,0.636912,1.538163,0.535360,val
52,0.02624435,1.046742,0.644044,1.816001,0.463632,val
53,0.02541827,1.041848,0.650662,1.526336,0.516741,val
54,0.02459173,1.024160,0.650809,1.431253,0.558934,val
55,0.02376565,1.009886,0.649779,1.349356,0.604720,val
56,0.02294093,0.994987,0.660000,1.446842,0.573688,val
57,0.02211846,0.989794,0.658676,1.483733,0.561098,val
58,0.02129915,0.964675,0.666985,1.507308,0.543976,val
59,0.02048389,0.966052,0.666912,1.500450,0.551435,val
60,0.01967358,0.941846,0.677574,1.432691,0.574940,val
61,0.01886909,0.931345,0.682206,1.388963,0.608518,val
62,0.01807131,0.923389,0.686471,1.778960,0.490867,val
63,0.01728112,0.902658,0.693235,1.453149,0.569782,val
64,0.01649937,0.891696,0.693603,1.607304,0.558172,val
65,0.01572692,0.865410,0.704706,1.398318,0.562772,val
66,0.01496462,0.857791,0.705809,1.629313,0.556321,val
67,0.01421330,0.844468,0.711029,1.545016,0.540206,val
68,0.01347378,0.827176,0.713971,1.372038,0.598514,val
69,0.01274686,0.813649,0.716029,1.616919,0.536517,val
70,0.01203336,0.796138,0.728529,1.631703,0.590007,val
71,0.01133403,0.800359,0.726912,1.261888,0.653473,val
72,0.01064966,0.774736,0.732206,1.377563,0.621039,val
73,0.00998098,0.771818,0.734044,1.954385,0.572708,val
74,0.00932873,0.746451,0.739926,1.349349,0.635997,val
75,0.00869362,0.735607,0.748382,1.344085,0.631887,val
76,0.00807635,0.709042,0.756250,1.417736,0.637535,val
77,0.00747759,0.713303,0.752059,1.373629,0.624701,val
78,0.00689799,0.682890,0.761838,1.349888,0.638651,val
79,0.00633820,0.670154,0.767206,1.298804,0.649390,val
80,0.00579881,0.660470,0.772574,1.331372,0.642245,val
81,0.00528043,0.660763,0.769779,1.488339,0.612669,val
82,0.00478362,0.635304,0.778162,1.311541,0.670487,val
83,0.00430892,0.622632,0.784853,1.478053,0.625926,val
84,0.00385685,0.612627,0.785588,1.442285,0.634677,val
85,0.00342790,0.611301,0.783529,1.376360,0.647648,val
86,0.00302255,0.595173,0.791544,1.333260,0.673454,val
87,0.00264124,0.584974,0.796250,1.380299,0.660306,val
88,0.00228438,0.567736,0.802721,1.317453,0.668990,val
89,0.00195237,0.568694,0.800294,1.282430,0.672828,val
