epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.633628,0.184647,3.150331,0.050672,val
2,0.01004000,1.916354,0.350471,2.160155,0.329091,val
3,0.02003000,1.731847,0.405397,2.211320,0.305491,val
4,0.03002000,1.627027,0.438765,1.921501,0.375408,val
5,0.04001000,1.555785,0.462147,1.802268,0.411994,val
6,0.05000000,1.502725,0.481765,1.808239,0.419275,val
7,0.04998633,1.426893,0.509647,1.882761,0.398914,val
8,0.04994535,1.374522,0.525279,1.866493,0.430504,val
9,0.04987710,1.320683,0.546897,2.675501,0.390094,val
10,0.04978165,1.279443,0.561456,2.138649,0.437554,val
11,0.04965910,1.242708,0.575221,1.706233,0.495890,val
12,0.04950960,1.209019,0.586103,1.722284,0.479257,val
13,0.04933330,1.173370,0.597324,1.519189,0.558553,val
14,0.04913040,1.152222,0.607500,1.582486,0.522036,val
15,0.04890111,1.123089,0.616544,1.580113,0.535714,val
16,0.04864570,1.108773,0.619353,1.609233,0.521205,val
17,0.04836444,1.082316,0.629426,1.533586,0.558730,val
18,0.04805763,1.067672,0.634103,1.539639,0.563643,val
19,0.04772562,1.047791,0.640824,1.471380,0.583243,val
20,0.04736876,1.037583,0.646294,1.786327,0.506628,val
21,0.04698745,1.017214,0.652618,1.715990,0.528460,val
22,0.04658210,1.006682,0.656279,1.846806,0.549760,val
23,0.04615315,0.994553,0.658956,1.529853,0.573688,val
24,0.04570108,0.984845,0.663574,1.593271,0.575049,val
25,0.04522638,0.968651,0.668382,1.357285,0.614833,val
26,0.04472957,0.961841,0.670338,1.519332,0.574559,val
27,0.04421119,0.947229,0.676750,1.985010,0.537348,val
28,0.04367180,0.935963,0.680529,1.654648,0.570762,val
29,0.04311201,0.924580,0.683735,1.753367,0.539797,val
30,0.04253241,0.914486,0.688162,1.552471,0.595547,val
31,0.04193365,0.904750,0.688838,1.593994,0.597643,val
32,0.04131638,0.891188,0.694544,1.505879,0.583379,val
33,0.04068127,0.881141,0.699162,1.442763,0.595969,val
34,0.04002902,0.872394,0.699382,1.708326,0.583351,val
35,0.03936034,0.863347,0.702868,1.438125,0.635793,val
36,0.03867597,0.853256,0.705868,1.515886,0.607932,val
37,0.03797664,0.848789,0.708809,1.414107,0.626279,val
38,0.03726314,0.833924,0.713176,2.543550,0.540356,val
39,0.03653622,0.820222,0.718471,1.441382,0.630458,val
40,0.03579670,0.812907,0.718779,1.818441,0.567168,val
41,0.03504538,0.800935,0.723059,1.547764,0.653650,val
42,0.03428308,0.796632,0.724779,1.529624,0.611907,val
43,0.03351063,0.789973,0.725632,1.480403,0.584672,val
44,0.03272888,0.778732,0.730250,1.308148,0.675686,val
45,0.03193869,0.768085,0.735191,1.454776,0.639073,val
46,0.03114091,0.754198,0.740368,1.415892,0.644123,val
47,0.03033642,0.754187,0.739779,1.447245,0.635997,val
48,0.02952611,0.740349,0.744059,1.470020,0.652807,val
49,0.02871085,0.727093,0.749235,1.727903,0.574246,val
50,0.02789154,0.722804,0.748779,1.556003,0.655284,val
51,0.02706907,0.706231,0.754441,1.314371,0.668432,val
52,0.02624435,0.696759,0.757676,1.277338,0.669303,val
53,0.02541827,0.690073,0.760191,1.438754,0.663096,val
54,0.02459173,0.679672,0.764250,1.375103,0.683117,val
55,0.02376565,0.665488,0.769118,1.676369,0.644164,val
56,0.02294093,0.662016,0.770118,1.583085,0.610859,val
57,0.02211846,0.651554,0.772500,1.687543,0.633874,val
58,0.02129915,0.637410,0.776618,1.489240,0.653051,val
59,0.02048389,0.633488,0.779132,1.478958,0.666022,val
60,0.01967358,0.619648,0.783706,1.312162,0.680640,val
61,0.01886909,0.608990,0.786809,1.626982,0.653473,val
62,0.01807131,0.600521,0.788824,1.617373,0.639563,val
63,0.01728112,0.587479,0.792603,1.422706,0.682587,val
64,0.01649937,0.576286,0.796088,1.421745,0.677360,val
65,0.01572692,0.564888,0.800721,1.352375,0.709549,val
66,0.01496462,0.555444,0.805029,1.672669,0.652983,val
67,0.01421330,0.542331,0.810382,1.383103,0.688902,val
68,0.01347378,0.533546,0.813412,1.578845,0.666335,val
69,0.01274686,0.520802,0.815941,1.463352,0.676802,val
70,0.01203336,0.510387,0.819985,1.553698,0.667560,val
71,0.01133403,0.504873,0.822029,1.435632,0.693230,val
72,0.01064966,0.486967,0.828000,1.485277,0.689147,val
73,0.00998098,0.478155,0.831000,1.380119,0.722030,val
74,0.00932873,0.464524,0.834426,1.457237,0.703166,val
75,0.00869362,0.452709,0.838912,1.432225,0.718505,val
76,0.00807635,0.444326,0.842015,1.441651,0.710556,val
77,0.00747759,0.433972,0.845309,1.584849,0.685731,val
78,0.00689799,0.421288,0.848574,1.493640,0.705711,val
79,0.00633820,0.412839,0.851132,1.466092,0.701492,val
80,0.00579881,0.403566,0.855103,1.571888,0.718437,val
81,0.00528043,0.386836,0.861500,1.427143,0.719730,val
82,0.00478362,0.383745,0.861471,1.612458,0.688031,val
83,0.00430892,0.369875,0.866603,1.563265,0.713524,val
84,0.00385685,0.359310,0.870412,1.539069,0.713455,val
85,0.00342790,0.346945,0.875221,1.542366,0.727747,val
86,0.00302255,0.340635,0.875559,1.519248,0.715511,val
87,0.00264124,0.327566,0.880853,1.567583,0.732075,val
88,0.00228438,0.317829,0.883324,1.584681,0.740268,val
89,0.00195237,0.307786,0.888059,1.499719,0.729353,val
90,0.00164556,0.304693,0.888265,1.540340,0.730156,val
91,0.00136430,0.293546,0.892647,1.518701,0.732565,val
92,0.00110889,0.288270,0.894176,1.548856,0.730959,val
93,0.00087960,0.280231,0.898191,1.553525,0.737655,val
94,0.00067670,0.274967,0.898735,1.560514,0.735491,val
95,0.00050040,0.270838,0.900309,1.546404,0.731762,val
96,0.00035090,0.266776,0.901426,1.521415,0.731027,val
97,0.00022835,0.260603,0.903853,1.531752,0.729530,val
98,0.00013290,0.262064,0.902735,1.527433,0.734552,val
99,0.00006465,0.259779,0.904221,1.556743,0.729775,val
100,0.00002367,0.256490,0.904794,1.552280,0.735668,val
