epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.831898,0.064274,2.906457,0.070530,val
2,0.01004000,2.480118,0.190616,2.312197,0.256800,val
3,0.02003000,2.205270,0.269237,2.267067,0.262153,val
4,0.03002000,2.076366,0.305956,1.947346,0.356843,val
5,0.04001000,1.990101,0.330809,2.200647,0.283203,val
6,0.05000000,1.936038,0.346489,2.017115,0.334635,val
7,0.04998633,1.874582,0.366700,1.951529,0.342954,val
8,0.04994535,1.840274,0.376002,1.732410,0.412399,val
9,0.04987710,1.812320,0.383612,1.669568,0.421803,val
10,0.04978165,1.794335,0.386645,1.777117,0.406901,val
11,0.04965910,1.773742,0.395643,1.658146,0.435909,val
12,0.04950960,1.762315,0.398107,1.757563,0.406467,val
13,0.04933330,1.748603,0.403033,1.924098,0.352286,val
14,0.04913040,1.735823,0.406471,1.906723,0.356481,val
15,0.04890111,1.725248,0.411654,1.736422,0.415003,val
16,0.04864570,1.718527,0.414007,1.592500,0.444372,val
17,0.04836444,1.705880,0.415009,1.820056,0.397352,val
18,0.04805763,1.701270,0.419779,1.613018,0.442998,val
19,0.04772562,1.688358,0.423511,1.756752,0.400463,val
20,0.04736876,1.684683,0.424219,1.789876,0.409795,val
21,0.04698745,1.671027,0.429972,2.004165,0.355396,val
22,0.04658210,1.669094,0.430055,1.725420,0.420501,val
23,0.04615315,1.656168,0.436618,1.626303,0.432364,val
24,0.04570108,1.651590,0.438153,1.529670,0.479673,val
25,0.04522638,1.640804,0.440239,1.636505,0.447049,val
26,0.04472957,1.637782,0.442243,1.525707,0.476780,val
27,0.04421119,1.629168,0.443419,1.955322,0.359013,val
28,0.04367180,1.626970,0.447426,1.840788,0.393302,val
29,0.04311201,1.617055,0.448061,1.989002,0.374711,val
30,0.04253241,1.611053,0.450790,1.574574,0.464844,val
31,0.04193365,1.602153,0.454311,1.577982,0.466797,val
32,0.04131638,1.596864,0.455515,1.783383,0.408420,val
33,0.04068127,1.588464,0.457813,1.765478,0.423828,val
34,0.04002902,1.584930,0.460138,1.650160,0.439525,val
35,0.03936034,1.576703,0.464338,1.468622,0.497179,val
36,0.03867597,1.568722,0.466351,1.623690,0.456597,val
37,0.03797664,1.568995,0.464347,1.733056,0.410880,val
38,0.03726314,1.558932,0.470873,1.504670,0.496745,val
39,0.03653622,1.553670,0.471314,1.451131,0.503834,val
40,0.03579670,1.545996,0.474936,1.500099,0.494647,val
41,0.03504538,1.542143,0.475110,1.740132,0.419343,val
42,0.03428308,1.531519,0.479053,1.510111,0.485894,val
43,0.03351063,1.532320,0.479972,1.529243,0.485605,val
44,0.03272888,1.523666,0.482610,1.636932,0.454861,val
45,0.03193869,1.517240,0.483428,1.440561,0.510561,val
46,0.03114091,1.507171,0.486048,1.526152,0.493273,val
47,0.03033642,1.504313,0.487767,1.507744,0.494792,val
48,0.02952611,1.497000,0.491498,1.561542,0.482422,val
49,0.02871085,1.491289,0.492537,1.613878,0.461950,val
50,0.02789154,1.484928,0.494605,1.429973,0.516565,val
51,0.02706907,1.474080,0.499825,1.388072,0.525825,val
52,0.02624435,1.474931,0.498603,1.404524,0.529659,val
53,0.02541827,1.458876,0.505028,1.471890,0.508608,val
54,0.02459173,1.457002,0.503860,1.426409,0.524523,val
55,0.02376565,1.449922,0.505588,1.557501,0.486256,val
56,0.02294093,1.440175,0.511305,1.462853,0.516710,val
57,0.02211846,1.433674,0.512279,1.522834,0.493707,val
58,0.02129915,1.429980,0.514550,1.369491,0.544850,val
59,0.02048389,1.417363,0.517785,1.339388,0.546007,val
60,0.01967358,1.412637,0.518704,1.356728,0.542679,val
61,0.01886909,1.401501,0.520781,1.364341,0.539641,val
62,0.01807131,1.396803,0.525257,1.564554,0.483435,val
63,0.01728112,1.388354,0.526949,1.376903,0.532986,val
64,0.01649937,1.382920,0.528989,1.338985,0.545790,val
65,0.01572692,1.366919,0.534825,1.253495,0.576461,val
66,0.01496462,1.357102,0.538732,1.388578,0.541667,val
67,0.01421330,1.357623,0.537371,1.358985,0.543258,val
68,0.01347378,1.344072,0.541232,1.380862,0.545356,val
69,0.01274686,1.330579,0.547932,1.322328,0.561487,val
70,0.01203336,1.325574,0.549550,1.311686,0.557581,val
71,0.01133403,1.312874,0.550561,1.320816,0.560909,val
72,0.01064966,1.304200,0.555800,1.258154,0.583623,val
73,0.00998098,1.291939,0.559761,1.270936,0.576172,val
74,0.00932873,1.285334,0.561103,1.343477,0.557870,val
75,0.00869362,1.276501,0.565478,1.258096,0.586444,val
76,0.00807635,1.262445,0.569586,1.277388,0.573640,val
77,0.00747759,1.250200,0.571599,1.323655,0.564598,val
78,0.00689799,1.242826,0.576517,1.301447,0.575666,val
79,0.00633820,1.228340,0.581379,1.290836,0.576895,val
80,0.00579881,1.221314,0.583465,1.370337,0.558015,val
81,0.00528043,1.208845,0.589605,1.322013,0.562066,val
82,0.00478362,1.192967,0.592941,1.234311,0.598814,val
83,0.00430892,1.182437,0.596434,1.289919,0.583261,val
84,0.00385685,1.172364,0.600239,1.299228,0.578197,val
85,0.00342790,1.155085,0.606471,1.342771,0.562934,val
86,0.00302255,1.153508,0.606535,1.169833,0.618851,val
87,0.00264124,1.141379,0.610846,1.287684,0.580512,val
88,0.00228438,1.124447,0.617528,1.209241,0.603877,val
89,0.00195237,1.119153,0.618437,1.236105,0.595775,val
90,0.00164556,1.100334,0.625441,1.175872,0.619068,val
91,0.00136430,1.097896,0.626425,1.171480,0.622106,val
92,0.00110889,1.081983,0.631048,1.181063,0.616970,val
93,0.00087960,1.072973,0.633511,1.185243,0.614728,val
94,0.00067670,1.061622,0.636884,1.182972,0.619285,val
95,0.00050040,1.060655,0.638824,1.142387,0.631727,val
96,0.00035090,1.054980,0.640221,1.190435,0.615813,val
97,0.00022835,1.048381,0.642684,1.221876,0.608724,val
98,0.00013290,1.043993,0.646544,1.163601,0.625289,val
99,0.00006465,1.039779,0.643833,1.151501,0.628617,val
100,0.00002367,1.038729,0.643796,1.194346,0.618200,val
