epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.809802,0.088226,2.774910,0.100116,val
2,0.02008000,2.369198,0.222482,2.540348,0.192419,val
3,0.04006000,2.149415,0.287307,2.634910,0.206742,val
4,0.06004000,2.048398,0.317518,2.476895,0.253979,val
5,0.08002000,1.982206,0.337619,2.533804,0.223597,val
6,0.10000000,1.936565,0.349191,2.468201,0.246528,val
7,0.09991846,1.867044,0.371526,1.900446,0.363788,val
8,0.09967412,1.831995,0.379715,3.017272,0.231481,val
9,0.09926777,1.801154,0.389035,2.494883,0.251664,val
10,0.09870073,1.777281,0.395395,2.482683,0.246238,val
11,0.09797485,1.760067,0.402739,1.804567,0.388744,val
12,0.09709251,1.745563,0.405331,2.331273,0.299769,val
13,0.09605658,1.727595,0.412436,2.791596,0.219184,val
14,0.09487043,1.716548,0.416710,2.371299,0.288122,val
15,0.09353795,1.699459,0.421949,1.930916,0.360966,val
16,0.09206347,1.688073,0.424936,1.833036,0.387153,val
17,0.09045180,1.673193,0.430432,1.724780,0.415437,val
18,0.08870821,1.666950,0.433042,3.004149,0.248915,val
19,0.08683837,1.646878,0.441121,2.146327,0.321470,val
20,0.08484839,1.638837,0.442592,2.000051,0.351201,val
21,0.08274476,1.631364,0.445193,1.930668,0.370949,val
22,0.08053434,1.615067,0.450165,1.803881,0.411169,val
23,0.07822434,1.603401,0.455790,2.008678,0.342882,val
24,0.07582229,1.590622,0.459118,1.568471,0.477358,val
25,0.07333603,1.583129,0.462050,1.698803,0.445240,val
26,0.07077367,1.563893,0.469798,1.780541,0.412399,val
27,0.06814357,1.559938,0.471241,1.898273,0.371383,val
28,0.06545430,1.547286,0.474724,1.743030,0.427517,val
29,0.06271465,1.532600,0.479982,1.840505,0.397859,val
30,0.05993353,1.522538,0.485064,1.778062,0.415582,val
31,0.05712003,1.512520,0.488621,1.992010,0.371455,val
32,0.05428332,1.495787,0.492748,1.889979,0.399089,val
33,0.05143266,1.480720,0.499007,1.818203,0.423249,val
34,0.04857734,1.466328,0.503061,2.205380,0.342665,val
35,0.04572668,1.453334,0.507022,1.687997,0.442708,val
36,0.04288997,1.438761,0.513244,2.615588,0.273003,val
37,0.04007647,1.422929,0.517794,1.498998,0.502242,val
38,0.03729535,1.403754,0.524393,1.487468,0.509766,val
39,0.03455570,1.388572,0.529393,2.138609,0.351201,val
40,0.03186643,1.369531,0.535340,1.752800,0.453270,val
41,0.02923633,1.355365,0.538575,1.388528,0.539062,val
42,0.02667397,1.333334,0.548061,1.690606,0.471137,val
43,0.02418771,1.314916,0.554219,1.870925,0.449146,val
44,0.02178566,1.292191,0.562381,1.590656,0.492839,val
45,0.01947566,1.270941,0.567610,2.068476,0.399595,val
46,0.01726524,1.244026,0.577528,1.355724,0.555049,val
47,0.01516161,1.222264,0.585515,1.605554,0.487196,val
48,0.01317163,1.189465,0.596085,1.255828,0.586299,val
49,0.01130179,1.168335,0.605404,1.385887,0.556641,val
50,0.00955820,1.135450,0.613483,1.217082,0.606192,val
51,0.00794653,1.107407,0.623024,1.346204,0.576317,val
52,0.00647205,1.078487,0.631434,1.365640,0.565177,val
53,0.00513957,1.051437,0.642721,1.260020,0.592086,val
54,0.00395342,1.020155,0.652610,1.167256,0.618562,val
55,0.00291749,0.995323,0.662325,1.204599,0.614005,val
56,0.00203515,0.963834,0.674026,1.150114,0.628111,val
57,0.00130927,0.941262,0.681287,1.157306,0.629774,val
58,0.00074223,0.921256,0.687022,1.148705,0.632378,val
59,0.00033588,0.913225,0.691075,1.117585,0.641204,val
60,0.00009154,0.903808,0.693778,1.112814,0.642578,val
