epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.730117,0.135795,2.610263,0.175092,val
2,0.02008000,2.182538,0.281873,2.635788,0.281434,val
3,0.04006000,1.842087,0.376185,1.734280,0.408456,val
4,0.06004000,1.688723,0.422049,1.787609,0.389062,val
5,0.08002000,1.598432,0.452921,1.800598,0.408824,val
6,0.10000000,1.532340,0.478871,1.721652,0.426195,val
7,0.09991846,1.453065,0.506597,1.587128,0.476562,val
8,0.09967412,1.382745,0.530831,1.493950,0.503125,val
9,0.09926777,1.326377,0.553574,1.795137,0.429963,val
10,0.09870073,1.279068,0.569843,1.353176,0.552206,val
11,0.09797485,1.239479,0.582853,1.468493,0.519669,val
12,0.09709251,1.201919,0.596058,1.408201,0.534191,val
13,0.09605658,1.173424,0.606097,1.352706,0.557169,val
14,0.09487043,1.145832,0.615594,1.255551,0.591820,val
15,0.09353795,1.122390,0.624714,1.351864,0.560662,val
16,0.09206347,1.100259,0.632159,1.313093,0.577665,val
17,0.09045180,1.074705,0.641309,1.309827,0.578860,val
18,0.08870821,1.051197,0.647855,1.242752,0.597243,val
19,0.08683837,1.035054,0.654105,1.621756,0.502114,val
20,0.08484839,1.010502,0.661632,1.269038,0.594210,val
21,0.08274476,0.989300,0.668342,1.292712,0.587868,val
22,0.08053434,0.967445,0.676562,1.190966,0.611857,val
23,0.07822434,0.948635,0.681853,1.244023,0.594301,val
24,0.07582229,0.925730,0.688256,1.168698,0.628768,val
25,0.07333603,0.903111,0.695598,1.247083,0.609559,val
26,0.07077367,0.881672,0.702962,1.254795,0.611581,val
27,0.06814357,0.856453,0.710662,1.139326,0.632077,val
28,0.06545430,0.829377,0.721078,1.209038,0.613511,val
29,0.06271465,0.803431,0.728860,1.222737,0.619669,val
30,0.05993353,0.781994,0.736336,1.223260,0.627390,val
31,0.05712003,0.752597,0.744843,1.358457,0.595313,val
32,0.05428332,0.722883,0.755290,1.256004,0.607077,val
33,0.05143266,0.693427,0.763930,1.197276,0.642188,val
34,0.04857734,0.667079,0.772559,1.429306,0.584099,val
35,0.04572668,0.635654,0.784120,1.179187,0.661029,val
36,0.04288997,0.602968,0.794087,1.205772,0.654871,val
37,0.04007647,0.573481,0.802114,1.191181,0.659651,val
38,0.03729535,0.535840,0.815921,1.184932,0.670588,val
39,0.03455570,0.500599,0.827808,1.339773,0.629871,val
40,0.03186643,0.462641,0.839583,1.239859,0.664154,val
41,0.02923633,0.429320,0.849653,1.228862,0.673713,val
42,0.02667397,0.392390,0.863807,1.243058,0.688327,val
43,0.02418771,0.350383,0.877584,1.272935,0.691085,val
44,0.02178566,0.313016,0.891432,1.220044,0.706801,val
45,0.01947566,0.279106,0.902073,1.270819,0.702941,val
46,0.01726524,0.239352,0.915554,1.355623,0.702849,val
47,0.01516161,0.205278,0.926450,1.337073,0.717096,val
48,0.01317163,0.174229,0.937643,1.412495,0.718566,val
49,0.01130179,0.149255,0.945792,1.436602,0.720404,val
50,0.00955820,0.125769,0.953891,1.434607,0.725184,val
51,0.00794653,0.108582,0.959212,1.450456,0.726287,val
52,0.00647205,0.095148,0.963828,1.483167,0.727849,val
53,0.00513957,0.082970,0.968362,1.527215,0.730147,val
54,0.00395342,0.075043,0.971303,1.521474,0.729504,val
55,0.00291749,0.068409,0.973417,1.523555,0.729688,val
56,0.00203515,0.064194,0.974847,1.529451,0.732721,val
57,0.00130927,0.060605,0.976685,1.551959,0.733732,val
58,0.00074223,0.057086,0.978288,1.536396,0.732353,val
59,0.00033588,0.055889,0.978421,1.553809,0.734375,val
60,0.00009154,0.055303,0.978850,1.542529,0.732537,val
