epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.721740,0.132976,2.611404,0.174908,val
2,0.02008000,2.264833,0.264685,2.091345,0.308640,val
3,0.04006000,1.959917,0.346589,1.931731,0.353493,val
4,0.06004000,1.767271,0.401277,1.935233,0.364982,val
5,0.08002000,1.661818,0.432680,1.690465,0.438511,val
6,0.10000000,1.598003,0.455647,1.602260,0.458732,val
7,0.09991846,1.527440,0.479483,1.552874,0.473897,val
8,0.09967412,1.467622,0.501001,1.491216,0.500827,val
9,0.09926777,1.421285,0.517667,1.550155,0.488051,val
10,0.09870073,1.378578,0.533262,1.505491,0.500551,val
11,0.09797485,1.343614,0.544812,1.415920,0.530055,val
12,0.09709251,1.309803,0.558119,1.391481,0.532629,val
13,0.09605658,1.281265,0.566677,1.422003,0.524449,val
14,0.09487043,1.254634,0.576185,1.382824,0.547610,val
15,0.09353795,1.228995,0.584926,1.396309,0.545864,val
16,0.09206347,1.205310,0.593709,1.362979,0.559375,val
17,0.09045180,1.183314,0.603472,1.377086,0.553585,val
18,0.08870821,1.161547,0.610876,1.337574,0.561673,val
19,0.08683837,1.140206,0.616993,1.328371,0.560662,val
20,0.08484839,1.118813,0.623989,1.279847,0.586029,val
21,0.08274476,1.095353,0.632812,1.269151,0.583272,val
22,0.08053434,1.072906,0.637970,1.282611,0.581158,val
23,0.07822434,1.057001,0.641993,1.223891,0.603768,val
24,0.07582229,1.033256,0.651358,1.221036,0.604688,val
25,0.07333603,1.013933,0.656607,1.284536,0.582537,val
26,0.07077367,0.991419,0.665543,1.250099,0.596691,val
27,0.06814357,0.969149,0.671456,1.199768,0.612224,val
28,0.06545430,0.944451,0.679034,1.253764,0.609651,val
29,0.06271465,0.921461,0.688286,1.228144,0.602206,val
30,0.05993353,0.898147,0.694771,1.239150,0.605055,val
31,0.05712003,0.872273,0.704851,1.174419,0.625551,val
32,0.05428332,0.845702,0.713531,1.178254,0.633088,val
33,0.05143266,0.820959,0.719792,1.175995,0.628217,val
34,0.04857734,0.794100,0.728227,1.169142,0.641085,val
35,0.04572668,0.766412,0.737837,1.162379,0.647702,val
36,0.04288997,0.735781,0.748162,1.161786,0.647702,val
37,0.04007647,0.700927,0.759181,1.174275,0.646599,val
38,0.03729535,0.672502,0.767882,1.165306,0.660846,val
39,0.03455570,0.639735,0.777972,1.135724,0.658548,val
40,0.03186643,0.603286,0.790717,1.167112,0.668015,val
41,0.02923633,0.570123,0.802533,1.194088,0.657169,val
42,0.02667397,0.530658,0.814879,1.208364,0.668842,val
43,0.02418771,0.492181,0.827768,1.177458,0.674724,val
44,0.02178566,0.451878,0.841136,1.227583,0.676930,val
45,0.01947566,0.412213,0.855290,1.242998,0.673805,val
46,0.01726524,0.371083,0.867647,1.249451,0.680147,val
47,0.01516161,0.321657,0.884804,1.276864,0.688051,val
48,0.01317163,0.280231,0.899898,1.338608,0.693474,val
49,0.01130179,0.238224,0.914808,1.370918,0.698621,val
50,0.00955820,0.195658,0.929657,1.401332,0.701471,val
51,0.00794653,0.159801,0.943066,1.469842,0.701838,val
52,0.00647205,0.129026,0.954034,1.507391,0.707077,val
53,0.00513957,0.103268,0.963337,1.539938,0.711581,val
54,0.00395342,0.084344,0.970302,1.580438,0.710570,val
55,0.00291749,0.068418,0.976205,1.607342,0.710478,val
56,0.00203515,0.057880,0.980198,1.615144,0.711397,val
57,0.00130927,0.051694,0.982445,1.647691,0.710846,val
58,0.00074223,0.047220,0.984518,1.663852,0.710018,val
59,0.00033588,0.045103,0.985049,1.659726,0.712316,val
60,0.00009154,0.043830,0.985672,1.652169,0.712592,val
