epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.591200,0.162835,2.722498,0.174434,val
2,0.02008000,1.946478,0.339722,1.835278,0.371325,val
3,0.04006000,1.750131,0.394579,1.866578,0.348663,val
4,0.06004000,1.676218,0.418097,2.283852,0.303776,val
5,0.08002000,1.640123,0.431973,2.318871,0.280624,val
6,0.10000000,1.625678,0.438279,1.933062,0.367419,val
7,0.09987821,1.604839,0.445908,2.229148,0.330248,val
8,0.09951345,1.580934,0.451861,2.685782,0.247700,val
9,0.09890749,1.559710,0.462018,2.235964,0.265135,val
10,0.09806328,1.543951,0.466648,1.955283,0.385072,val
11,0.09698493,1.525134,0.473365,1.827911,0.441951,val
12,0.09567771,1.517005,0.474380,2.028612,0.368576,val
13,0.09414796,1.494093,0.485066,1.682510,0.461958,val
14,0.09240316,1.478564,0.490798,2.038121,0.384446,val
15,0.09045180,1.468053,0.496428,2.523313,0.279086,val
16,0.08830339,1.447892,0.502587,2.329553,0.310336,val
17,0.08596839,1.434190,0.508893,2.124614,0.304715,val
18,0.08345818,1.412836,0.515537,1.926087,0.417955,val
19,0.08078500,1.405230,0.520755,1.556531,0.498571,val
20,0.07796185,1.385171,0.525326,1.678355,0.468655,val
21,0.07500250,1.368574,0.531735,1.892717,0.398247,val
22,0.07192137,1.349040,0.538570,2.300616,0.323688,val
23,0.06873346,1.324714,0.546390,1.598668,0.511297,val
24,0.06545430,1.305238,0.554857,1.815608,0.440399,val
25,0.06209989,1.292272,0.557870,1.388927,0.519844,val
26,0.05868654,1.265491,0.565601,1.456356,0.547283,val
27,0.05523090,1.240221,0.578287,1.677679,0.482143,val
28,0.05174980,1.220391,0.581844,1.461286,0.527589,val
29,0.04826020,1.188420,0.594220,1.400845,0.575770,val
30,0.04477910,1.166094,0.602599,1.582272,0.539552,val
31,0.04132346,1.136580,0.612124,1.701251,0.498952,val
32,0.03791011,1.099867,0.625412,1.781507,0.471159,val
33,0.03455570,1.069746,0.635760,1.500281,0.540560,val
34,0.03127654,1.032226,0.647960,1.789877,0.484035,val
35,0.02808863,1.006215,0.654824,1.567556,0.538014,val
36,0.02500750,0.964087,0.671169,1.647689,0.545514,val
37,0.02204815,0.926852,0.682679,1.392116,0.603046,val
38,0.01922500,0.888948,0.695349,1.320409,0.601168,val
39,0.01655182,0.845635,0.709637,1.418303,0.597820,val
40,0.01404161,0.805884,0.721249,1.630045,0.572613,val
41,0.01170661,0.761098,0.738785,1.238961,0.658006,val
42,0.00955820,0.720705,0.749735,1.160540,0.700866,val
43,0.00760684,0.670448,0.766860,1.451961,0.621706,val
44,0.00586204,0.624034,0.782588,1.250997,0.658564,val
45,0.00433229,0.582569,0.794817,1.231997,0.690195,val
46,0.00302507,0.550392,0.807502,1.227669,0.698144,val
47,0.00194672,0.516993,0.818571,1.221089,0.697517,val
48,0.00110251,0.490970,0.826229,1.220470,0.698810,val
49,0.00049655,0.470179,0.833902,1.195711,0.703969,val
50,0.00013179,0.463168,0.836606,1.179624,0.715511,val
