epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.785922,0.103433,2.771359,0.081882,val
2,0.02008000,2.316612,0.253081,2.290419,0.331051,val
3,0.04006000,2.058729,0.310226,2.250703,0.256070,val
4,0.06004000,1.940730,0.336048,1.853877,0.369474,val
5,0.08002000,1.867843,0.355707,2.217956,0.324287,val
6,0.10000000,1.839186,0.364070,2.318889,0.261542,val
7,0.09997267,1.786697,0.382923,2.154411,0.296671,val
8,0.09989069,1.765751,0.385050,1.893055,0.353060,val
9,0.09975417,1.740586,0.395907,1.806200,0.379519,val
10,0.09956325,1.733034,0.396787,2.226063,0.278596,val
11,0.09931813,1.709929,0.405443,1.912066,0.353958,val
12,0.09901910,1.698661,0.406910,1.784640,0.382663,val
13,0.09866646,1.673954,0.418794,2.491779,0.244460,val
14,0.09826062,1.655877,0.420114,1.864021,0.370386,val
15,0.09780201,1.654058,0.421508,1.698592,0.389917,val
16,0.09729113,1.644943,0.430531,1.945691,0.379315,val
17,0.09672855,1.644641,0.432732,2.404966,0.227828,val
18,0.09611488,1.633839,0.433245,2.327989,0.281427,val
19,0.09545078,1.624334,0.443589,1.831961,0.357687,val
20,0.09473699,1.611573,0.442928,1.740785,0.391482,val
21,0.09397429,1.611455,0.443075,1.860513,0.383956,val
22,0.09316351,1.603736,0.443589,1.841690,0.423005,val
23,0.09230553,1.599211,0.445789,1.923213,0.355537,val
24,0.09140130,1.583435,0.451731,2.132888,0.337149,val
25,0.09045180,1.582287,0.451071,2.082175,0.369515,val
26,0.08945808,1.577535,0.451878,1.998222,0.319196,val
27,0.08842121,1.572103,0.455252,2.203458,0.363867,val
28,0.08734234,1.559104,0.461708,1.753161,0.378403,val
29,0.08622264,1.557736,0.465669,1.794827,0.415233,val
30,0.08506333,1.549646,0.465962,1.659717,0.439678,val
31,0.08386569,1.530156,0.474105,2.114724,0.309356,val
32,0.08263103,1.526838,0.473225,1.866105,0.393823,val
33,0.08136068,1.517457,0.475279,1.616004,0.456664,val
34,0.08005605,1.503002,0.484155,1.742492,0.432845,val
35,0.07871856,1.512916,0.478506,2.333546,0.278283,val
36,0.07734967,1.506144,0.477333,1.823417,0.395879,val
37,0.07595088,1.507170,0.481147,2.385334,0.317590,val
38,0.07452372,1.476876,0.491564,2.028207,0.346567,val
39,0.07306975,1.473069,0.494792,1.843206,0.398873,val
40,0.07159056,1.474540,0.492884,1.579745,0.439855,val
41,0.07008776,1.447500,0.499927,2.340696,0.336768,val
42,0.06856301,1.456862,0.497066,1.640954,0.457916,val
43,0.06701796,1.438696,0.509903,1.828809,0.432178,val
44,0.06545430,1.440141,0.502201,1.568122,0.467049,val
45,0.06387376,1.416252,0.510857,2.417946,0.306430,val
46,0.06227805,1.410778,0.513571,1.779629,0.429116,val
47,0.06066892,1.410263,0.519806,2.479116,0.231843,val
48,0.05904812,1.400505,0.517019,2.047366,0.369624,val
49,0.05741744,1.380660,0.527656,1.976711,0.376102,val
50,0.05577865,1.377502,0.527876,1.999320,0.399853,val
51,0.05413355,1.362948,0.534771,2.069022,0.401663,val
52,0.05248394,1.353268,0.533157,1.606369,0.493725,val
53,0.05083161,1.339473,0.535285,1.553921,0.507499,val
54,0.04917839,1.333063,0.541813,1.532462,0.513951,val
55,0.04752606,1.315954,0.551570,1.680213,0.483613,val
56,0.04587645,1.316881,0.546875,1.606929,0.476018,val
57,0.04423135,1.279623,0.561546,1.758609,0.407284,val
58,0.04259256,1.293552,0.549736,2.180014,0.430436,val
59,0.04096188,1.268390,0.562500,2.036689,0.393197,val
60,0.03934108,1.265914,0.569249,1.478584,0.534843,val
61,0.03773195,1.248334,0.571670,2.059948,0.391210,val
62,0.03613624,1.236428,0.579886,1.634272,0.488676,val
63,0.03455570,1.221416,0.582453,1.978905,0.402085,val
64,0.03299204,1.201554,0.587221,1.522064,0.510712,val
65,0.03144699,1.201139,0.584654,1.593297,0.513393,val
66,0.02992224,1.180768,0.596391,1.642140,0.490064,val
67,0.02841944,1.165770,0.600205,1.686381,0.463632,val
68,0.02694025,1.136723,0.606441,1.775505,0.466110,val
69,0.02548628,1.126846,0.610475,1.443182,0.547324,val
70,0.02405912,1.123584,0.615830,1.578127,0.487900,val
71,0.02266033,1.090196,0.629035,1.367211,0.567863,val
72,0.02129144,1.077013,0.630722,1.527295,0.521096,val
73,0.01995395,1.051621,0.642019,1.402686,0.561656,val
74,0.01864932,1.037229,0.642532,1.520659,0.527167,val
75,0.01737897,1.024722,0.649208,1.974580,0.442536,val
76,0.01614431,1.008366,0.656617,1.813827,0.478032,val
77,0.01494667,0.993394,0.659038,1.605168,0.499905,val
78,0.01378736,0.960601,0.670261,1.598879,0.538219,val
79,0.01266766,0.952093,0.676056,1.879705,0.447245,val
80,0.01158879,0.925035,0.683832,1.524179,0.549134,val
81,0.01055192,0.906020,0.688967,1.664691,0.535156,val
82,0.00955820,0.885558,0.694396,1.420710,0.575920,val
83,0.00860870,0.867033,0.701805,1.416756,0.570163,val
84,0.00770447,0.850282,0.711561,1.241050,0.640816,val
85,0.00684649,0.825895,0.719410,1.191071,0.661531,val
86,0.00603571,0.796431,0.728800,1.361844,0.614901,val
87,0.00527301,0.781207,0.732835,1.418584,0.585924,val
88,0.00455922,0.760722,0.735402,1.492223,0.572014,val
89,0.00389512,0.745291,0.746406,1.304873,0.636800,val
90,0.00328145,0.720312,0.752641,1.316047,0.624701,val
91,0.00271887,0.709520,0.754108,1.201356,0.676557,val
92,0.00220799,0.687515,0.760417,1.327867,0.624143,val
93,0.00174938,0.671953,0.764525,1.283612,0.659748,val
94,0.00134354,0.660486,0.772227,1.286634,0.659013,val
95,0.00099090,0.657282,0.772374,1.281709,0.646042,val
96,0.00069187,0.637843,0.783744,1.295158,0.661177,val
97,0.00044675,0.633987,0.782717,1.272497,0.659190,val
98,0.00025583,0.624811,0.782790,1.257471,0.664212,val
99,0.00011931,0.642193,0.778389,1.298198,0.653365,val
100,0.00003733,0.623700,0.786312,1.289676,0.656958,val
