epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.489689,0.190702,2.613449,0.201737,val
2,0.02008000,1.839912,0.368711,1.884820,0.385698,val
3,0.04006000,1.649854,0.428034,1.811436,0.389985,val
4,0.06004000,1.580998,0.452545,2.008735,0.374047,val
5,0.08002000,1.555877,0.463825,1.903596,0.385099,val
6,0.10000000,1.558164,0.460876,2.388752,0.294507,val
7,0.09997267,1.527570,0.474386,1.796245,0.437337,val
8,0.09989069,1.501382,0.481990,1.916101,0.399472,val
9,0.09975417,1.482224,0.490697,1.774028,0.447558,val
10,0.09956325,1.469998,0.493458,1.743827,0.437309,val
11,0.09931813,1.454196,0.500833,2.163509,0.393892,val
12,0.09901910,1.445453,0.503251,1.955121,0.412933,val
13,0.09866646,1.429232,0.509793,3.296260,0.206092,val
14,0.09826062,1.419344,0.514694,5.391723,0.370209,val
15,0.09780201,1.406561,0.517838,1.843224,0.426734,val
16,0.09729113,1.400587,0.520999,2.116065,0.418826,val
17,0.09672855,1.392408,0.522935,1.750381,0.440726,val
18,0.09611488,1.382890,0.525426,1.570954,0.514931,val
19,0.09545078,1.377190,0.530425,1.504006,0.519599,val
20,0.09473699,1.365372,0.534697,2.134639,0.452649,val
21,0.09397429,1.364227,0.534713,1.510072,0.527126,val
22,0.09316351,1.352256,0.538593,1.748731,0.486158,val
23,0.09230553,1.349072,0.540970,2.615138,0.290914,val
24,0.09140130,1.341138,0.543069,1.586379,0.525003,val
25,0.09045180,1.337342,0.545143,1.546466,0.507989,val
26,0.08945808,1.325759,0.547381,1.863807,0.455507,val
27,0.08842121,1.317156,0.551188,1.813926,0.451220,val
28,0.08734234,1.309977,0.553630,1.765023,0.503879,val
29,0.08622264,1.308603,0.554683,1.519806,0.535047,val
30,0.08506333,1.305015,0.554414,1.452281,0.537320,val
31,0.08386569,1.294377,0.560180,1.825211,0.466559,val
32,0.08263103,1.284377,0.561495,1.619167,0.492922,val
33,0.08136068,1.274704,0.565073,1.552159,0.532924,val
34,0.08005605,1.265270,0.569296,1.549532,0.552523,val
35,0.07871856,1.261936,0.571297,1.535847,0.534911,val
36,0.07734967,1.252297,0.574057,1.952857,0.453697,val
37,0.07595088,1.248622,0.575258,1.655484,0.496693,val
38,0.07452372,1.232230,0.580535,1.513792,0.522076,val
39,0.07306975,1.226987,0.581768,1.529887,0.522117,val
40,0.07159056,1.218843,0.586521,1.393460,0.590252,val
41,0.07008776,1.204000,0.590401,1.510188,0.517095,val
42,0.06856301,1.197669,0.593178,1.892225,0.461999,val
43,0.06701796,1.185828,0.596625,1.214843,0.617936,val
44,0.06545430,1.177655,0.600946,1.621315,0.490867,val
45,0.06387376,1.165926,0.603314,1.637368,0.512236,val
46,0.06227805,1.156981,0.606786,1.379409,0.591259,val
47,0.06066892,1.144412,0.612961,1.525653,0.534353,val
48,0.05904812,1.133346,0.615550,1.471961,0.556811,val
49,0.05741744,1.124550,0.618245,1.448733,0.574695,val
50,0.05577865,1.105580,0.624167,1.292543,0.598895,val
51,0.05413355,1.098091,0.627777,1.412849,0.584985,val
52,0.05248394,1.089746,0.631110,1.476381,0.558131,val
53,0.05083161,1.077331,0.632367,1.394469,0.577213,val
54,0.04917839,1.066209,0.637088,1.305193,0.629233,val
55,0.04752606,1.046825,0.643598,1.768593,0.465620,val
56,0.04587645,1.035522,0.648172,1.660342,0.504328,val
57,0.04423135,1.017746,0.653154,1.558106,0.526786,val
58,0.04259256,1.007615,0.657802,1.343298,0.598827,val
59,0.04096188,0.993261,0.661175,1.389698,0.594471,val
60,0.03934108,0.979343,0.666337,1.278819,0.636664,val
61,0.03773195,0.962189,0.671548,1.344221,0.607755,val
62,0.03613624,0.953100,0.675616,1.547928,0.535047,val
63,0.03455570,0.932253,0.682322,1.837974,0.484484,val
64,0.03299204,0.913657,0.687116,1.261791,0.629696,val
65,0.03144699,0.897065,0.690939,1.428472,0.606925,val
66,0.02992224,0.881677,0.698020,1.410073,0.569183,val
67,0.02841944,0.863326,0.703705,1.302008,0.645348,val
68,0.02694025,0.849973,0.709038,1.113448,0.687160,val
69,0.02548628,0.830238,0.714503,1.348702,0.642939,val
70,0.02405912,0.813461,0.720939,1.296876,0.638828,val
71,0.02266033,0.793707,0.726297,1.292634,0.673141,val
72,0.02129144,0.775952,0.732096,1.462972,0.605945,val
73,0.01995395,0.757493,0.737013,1.196737,0.670283,val
74,0.01864932,0.741095,0.743719,1.455638,0.584713,val
75,0.01737897,0.719338,0.749485,1.274097,0.660905,val
76,0.01614431,0.698587,0.756894,1.395235,0.597507,val
77,0.01494667,0.678551,0.764351,1.251267,0.689079,val
78,0.01378736,0.658981,0.770893,1.308780,0.670106,val
79,0.01266766,0.639028,0.777713,1.322841,0.655529,val
80,0.01158879,0.621686,0.782916,1.328049,0.638447,val
81,0.01055192,0.598230,0.789565,1.349561,0.659435,val
82,0.00955820,0.579793,0.796295,1.249136,0.667111,val
83,0.00860870,0.558509,0.803720,1.262137,0.706895,val
84,0.00770447,0.536950,0.812010,1.298974,0.686534,val
85,0.00684649,0.515468,0.818430,1.254231,0.678721,val
86,0.00603571,0.498003,0.824229,1.244145,0.684301,val
87,0.00527301,0.476357,0.831433,1.226047,0.701805,val
88,0.00455922,0.453100,0.840034,1.287088,0.703166,val
89,0.00389512,0.438258,0.844371,1.218413,0.706269,val
90,0.00328145,0.419477,0.849990,1.210722,0.717117,val
91,0.00271887,0.397323,0.858803,1.274650,0.716069,val
92,0.00220799,0.375975,0.865215,1.160310,0.723391,val
93,0.00174938,0.361264,0.869560,1.222222,0.738104,val
94,0.00134354,0.346724,0.876184,1.163496,0.734756,val
95,0.00099090,0.330150,0.881085,1.137289,0.743304,val
96,0.00069187,0.317810,0.884793,1.190500,0.730360,val
97,0.00044675,0.308552,0.887293,1.155609,0.735559,val
98,0.00025583,0.295579,0.893182,1.167163,0.732701,val
99,0.00011931,0.294662,0.894390,1.152370,0.736117,val
100,0.00003733,0.291213,0.895428,1.170392,0.736988,val
