epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.546851,0.214289,3.182854,0.078710,val
2,0.01004000,1.798419,0.384257,2.206776,0.339980,val
3,0.02003000,1.598477,0.449706,1.791894,0.415165,val
4,0.03002000,1.484286,0.490335,2.090089,0.411708,val
5,0.04001000,1.397719,0.520686,1.752708,0.481843,val
6,0.05000000,1.328472,0.545507,1.854217,0.431307,val
7,0.04998633,1.244078,0.576046,1.648720,0.519708,val
8,0.04994535,1.184273,0.594730,1.497373,0.534598,val
9,0.04987710,1.128947,0.613440,1.569791,0.546412,val
10,0.04978165,1.097012,0.626176,1.496174,0.553599,val
11,0.04965910,1.063346,0.637304,1.575863,0.556743,val
12,0.04950960,1.038517,0.645719,1.453716,0.587149,val
13,0.04933330,1.016104,0.653382,1.695969,0.539689,val
14,0.04913040,1.002018,0.658080,1.565011,0.565072,val
15,0.04890111,0.985238,0.663685,1.660445,0.537388,val
16,0.04864570,0.966353,0.668211,1.470058,0.601685,val
17,0.04836444,0.954134,0.673333,1.455289,0.601372,val
18,0.04805763,0.941803,0.677590,1.765012,0.570299,val
19,0.04772562,0.927764,0.682868,1.301642,0.651554,val
20,0.04736876,0.915520,0.685686,1.715108,0.556185,val
21,0.04698745,0.908351,0.687557,1.681731,0.540287,val
22,0.04658210,0.894676,0.693382,1.619488,0.578574,val
23,0.04615315,0.882656,0.697051,1.663489,0.560649,val
24,0.04570108,0.877019,0.699461,1.435239,0.610232,val
25,0.04522638,0.864127,0.701675,1.407566,0.633180,val
26,0.04472957,0.858546,0.704028,1.363790,0.662252,val
27,0.04421119,0.844047,0.709698,1.449229,0.618426,val
28,0.04367180,0.840546,0.710727,1.435607,0.638202,val
29,0.04311201,0.829838,0.715458,1.408399,0.612397,val
30,0.04253241,0.822676,0.715850,1.517620,0.635031,val
31,0.04193365,0.814947,0.719314,1.460738,0.634187,val
32,0.04131638,0.805893,0.721381,1.563835,0.594226,val
33,0.04068127,0.800822,0.724338,1.482675,0.633316,val
34,0.04002902,0.791960,0.727018,1.256982,0.683145,val
35,0.03936034,0.782788,0.728987,1.566383,0.594893,val
36,0.03867597,0.770794,0.734575,1.428718,0.644477,val
37,0.03797664,0.766834,0.734240,1.460512,0.644722,val
38,0.03726314,0.759306,0.737500,1.435945,0.653365,val
39,0.03653622,0.748575,0.741544,1.554115,0.629029,val
40,0.03579670,0.742531,0.743619,1.605138,0.619052,val
41,0.03504538,0.732899,0.746920,1.399572,0.677251,val
42,0.03428308,0.729272,0.747672,1.405754,0.644858,val
43,0.03351063,0.722891,0.749567,1.555540,0.620032,val
44,0.03272888,0.711659,0.753766,1.379850,0.685241,val
45,0.03193869,0.702682,0.754943,1.399534,0.678231,val
46,0.03114091,0.696757,0.758358,1.427309,0.681334,val
47,0.03033642,0.684504,0.761838,1.395228,0.665573,val
48,0.02952611,0.678796,0.764346,1.521799,0.619651,val
49,0.02871085,0.669382,0.766732,1.427904,0.675999,val
50,0.02789154,0.660554,0.771168,1.274059,0.689324,val
51,0.02706907,0.655125,0.770449,1.670257,0.629165,val
52,0.02624435,0.640688,0.776185,1.757465,0.632445,val
53,0.02541827,0.632906,0.778619,1.406600,0.676489,val
54,0.02459173,0.627182,0.781732,1.471961,0.673835,val
55,0.02376565,0.619631,0.783145,1.443241,0.670909,val
56,0.02294093,0.607531,0.786830,1.416730,0.710801,val
57,0.02211846,0.603065,0.787590,1.404016,0.673944,val
58,0.02129915,0.591058,0.794306,1.599114,0.668187,val
