epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.577411,0.246608,2.370772,0.304960,val
2,0.02008000,1.395181,0.531896,1.556967,0.547174,val
3,0.04006000,0.856398,0.725432,1.488911,0.611621,val
4,0.06004000,0.522622,0.836642,1.493905,0.659789,val
5,0.08002000,0.382595,0.879802,1.474671,0.660306,val
6,0.10000000,0.349376,0.888672,1.679368,0.627001,val
7,0.09997267,0.261544,0.914430,1.484035,0.645661,val
8,0.09989069,0.268453,0.912932,1.693446,0.641333,val
9,0.09975417,0.238885,0.921229,1.562976,0.633738,val
10,0.09956325,0.249552,0.916148,1.635437,0.653228,val
11,0.09931813,0.221985,0.926339,1.581299,0.642068,val
12,0.09901910,0.226446,0.924269,1.528878,0.658278,val
13,0.09866646,0.235159,0.921273,1.728700,0.622155,val
14,0.09826062,0.187077,0.937559,1.538811,0.660170,val
15,0.09780201,0.240481,0.918982,1.582422,0.635997,val
16,0.09729113,0.191704,0.934563,1.709499,0.643184,val
17,0.09672855,0.221534,0.925106,1.525379,0.670419,val
18,0.09611488,0.146751,0.948514,1.701284,0.620168,val
19,0.09545078,0.264424,0.912550,1.501160,0.681824,val
20,0.09473699,0.190262,0.935062,1.551725,0.651935,val
21,0.09397429,0.189662,0.935312,1.580878,0.651690,val
22,0.09316351,0.197244,0.931846,1.535848,0.659013,val
23,0.09230553,0.186285,0.935547,1.529993,0.651513,val
24,0.09140130,0.164538,0.941259,1.573733,0.658945,val
25,0.09045180,0.195203,0.932654,1.630113,0.667942,val
26,0.08945808,0.113722,0.957340,1.350931,0.687677,val
27,0.08842121,0.187014,0.935341,2.029663,0.514291,val
28,0.08734234,0.273232,0.910773,1.481402,0.667588,val
29,0.08622264,0.125715,0.953962,1.526772,0.662538,val
30,0.08506333,0.246136,0.917308,1.514192,0.667275,val
31,0.08386569,0.119788,0.954549,1.422917,0.685758,val
32,0.08263103,0.102191,0.960335,1.397613,0.680776,val
33,0.08136068,0.304529,0.900332,1.498050,0.665042,val
34,0.08005605,0.141615,0.949836,1.604346,0.675577,val
35,0.07871856,0.099828,0.961055,1.546969,0.679973,val
36,0.07734967,0.250228,0.916500,1.500876,0.635371,val
37,0.07595088,0.167385,0.942023,1.661090,0.684683,val
38,0.07452372,0.098052,0.961158,1.389399,0.681647,val
39,0.07306975,0.085208,0.965255,1.370329,0.692318,val
40,0.07159056,0.285653,0.905707,1.534839,0.595410,val
41,0.07008776,0.204364,0.931582,1.435445,0.670800,val
42,0.06856301,0.100253,0.961231,1.586144,0.673522,val
43,0.06701796,0.193816,0.931347,1.387090,0.643116,val
44,0.06545430,0.151278,0.946957,1.381357,0.691828,val
45,0.06387376,0.084469,0.965637,1.396037,0.682029,val
46,0.06227805,0.078076,0.968089,1.396778,0.681470,val
47,0.06066892,0.278914,0.908115,1.521072,0.651690,val
48,0.05904812,0.121968,0.955607,1.446062,0.682274,val
49,0.05741744,0.078741,0.967663,1.396382,0.687187,val
50,0.05577865,0.073618,0.970160,1.330247,0.687677,val
51,0.05413355,0.073779,0.970498,1.465616,0.677183,val
52,0.05248394,0.313809,0.897292,1.463646,0.654971,val
53,0.05083161,0.107002,0.959557,1.453804,0.678258,val
54,0.04917839,0.077916,0.968148,1.422732,0.674216,val
55,0.04752606,0.066143,0.972598,1.338857,0.684329,val
56,0.04587645,0.067299,0.973376,1.370023,0.677945,val
57,0.04423135,0.259577,0.915208,1.353886,0.674706,val
58,0.04259256,0.091776,0.964682,1.411475,0.690331,val
59,0.04096188,0.067243,0.972686,1.345983,0.684016,val
60,0.03934108,0.059335,0.975696,1.262237,0.692944,val
61,0.03773195,0.056463,0.976900,1.421911,0.680286,val
62,0.03613624,0.083852,0.969822,1.823388,0.571905,val
63,0.03455570,0.215318,0.928204,1.375183,0.687541,val
64,0.03299204,0.070315,0.971437,1.368649,0.694999,val
65,0.03144699,0.054793,0.977238,1.353791,0.689732,val
66,0.02992224,0.049929,0.980014,1.301318,0.694686,val
67,0.02841944,0.047286,0.980997,1.297284,0.689664,val
68,0.02694025,0.045910,0.982128,1.393711,0.680599,val
69,0.02548628,0.047508,0.981717,1.361805,0.689664,val
70,0.02405912,0.046849,0.981790,1.368400,0.684819,val
71,0.02266033,0.123004,0.959028,1.520947,0.633942,val
72,0.02129144,0.115862,0.959234,1.470941,0.663654,val
73,0.01995395,0.053844,0.977899,1.427850,0.685622,val
74,0.01864932,0.041392,0.982716,1.392502,0.681715,val
75,0.01737897,0.036419,0.984992,1.364109,0.684016,val
76,0.01614431,0.032960,0.985961,1.311538,0.688970,val
77,0.01494667,0.030530,0.986725,1.334549,0.690576,val
78,0.01378736,0.028443,0.987929,1.346051,0.686602,val
79,0.01266766,0.028119,0.987782,1.346913,0.687296,val
80,0.01158879,0.025986,0.988178,1.305521,0.688834,val
81,0.01055192,0.024719,0.989221,1.338406,0.685241,val
82,0.00955820,0.023470,0.989750,1.345747,0.690712,val
83,0.00860870,0.022299,0.990411,1.343240,0.688099,val
84,0.00770447,0.020779,0.991101,1.323937,0.688657,val
85,0.00684649,0.019926,0.991571,1.340689,0.692073,val
86,0.00603571,0.018471,0.992261,1.338841,0.691828,val
87,0.00527301,0.017130,0.992966,1.339994,0.696047,val
88,0.00455922,0.015818,0.993186,1.341795,0.696606,val
89,0.00389512,0.014719,0.993583,1.333636,0.689528,val
90,0.00328145,0.013829,0.994038,1.343381,0.689528,val
91,0.00271887,0.013108,0.994376,1.337312,0.692563,val
92,0.00220799,0.012635,0.994317,1.350603,0.692631,val
93,0.00174938,0.012195,0.994508,1.343457,0.690086,val
94,0.00134354,0.011908,0.994405,1.354973,0.689528,val
95,0.00099090,0.011585,0.994611,1.341040,0.692073,val
96,0.00069187,0.011431,0.994801,1.348056,0.691760,val
97,0.00044675,0.011299,0.994934,1.348080,0.691202,val
98,0.00025583,0.011178,0.995227,1.348543,0.690644,val
99,0.00011931,0.011246,0.995036,1.352557,0.692005,val
100,0.00003733,0.011068,0.995301,1.340715,0.691270,val
