epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.579841,0.242188,2.371757,0.287769,val
2,0.02008000,1.349187,0.549548,1.685794,0.516455,val
3,0.04006000,0.827177,0.734977,1.587085,0.609566,val
4,0.06004000,0.530727,0.832252,1.553204,0.645171,val
5,0.08002000,0.408657,0.871226,1.563616,0.660129,val
6,0.10000000,0.358061,0.886249,1.571039,0.656155,val
7,0.09997267,0.284792,0.907337,1.468754,0.646219,val
8,0.09989069,0.277037,0.909202,1.657047,0.657652,val
9,0.09975417,0.244812,0.919173,1.511620,0.662252,val
10,0.09956325,0.266315,0.910670,1.666267,0.650506,val
11,0.09931813,0.239166,0.919716,1.491102,0.626824,val
12,0.09901910,0.248518,0.916339,1.805484,0.637045,val
13,0.09866646,0.215326,0.927793,1.774243,0.637426,val
14,0.09826062,0.242855,0.919261,1.760406,0.649145,val
15,0.09780201,0.227422,0.923079,1.744280,0.644994,val
16,0.09729113,0.208709,0.928836,1.597721,0.658455,val
17,0.09672855,0.220556,0.923696,1.716808,0.665328,val
18,0.09611488,0.223235,0.923711,1.550581,0.654834,val
19,0.09545078,0.197587,0.932316,1.640574,0.646709,val
20,0.09473699,0.209045,0.927676,1.593549,0.660129,val
21,0.09397429,0.180788,0.936810,1.766778,0.626130,val
22,0.09316351,0.214637,0.925752,1.570145,0.684683,val
23,0.09230553,0.203293,0.929291,1.818918,0.644368,val
24,0.09140130,0.183803,0.936457,1.614791,0.663123,val
25,0.09045180,0.215260,0.926471,1.636768,0.664552,val
26,0.08945808,0.174923,0.937999,1.484138,0.683008,val
27,0.08842121,0.201742,0.930363,1.588270,0.658455,val
28,0.08734234,0.165772,0.941215,1.538243,0.671603,val
29,0.08622264,0.204815,0.928762,1.671260,0.656849,val
30,0.08506333,0.143504,0.947882,1.540550,0.692454,val
31,0.08386569,0.104695,0.959851,1.455402,0.691447,val
32,0.08263103,0.090940,0.962861,1.423496,0.676761,val
33,0.08136068,0.427007,0.862327,1.640946,0.660238,val
34,0.08005605,0.169453,0.941318,1.684587,0.676040,val
35,0.07871856,0.199377,0.930392,1.675219,0.652983,val
36,0.07734967,0.142522,0.949791,1.640599,0.667383,val
37,0.07595088,0.189197,0.934064,1.654890,0.650370,val
38,0.07452372,0.125349,0.953154,1.466166,0.673141,val
39,0.07306975,0.088873,0.963581,1.409082,0.693189,val
40,0.07159056,0.080114,0.967458,1.420801,0.687609,val
41,0.07008776,0.347417,0.886968,1.448225,0.655529,val
42,0.06856301,0.204224,0.931215,1.647757,0.673454,val
43,0.06701796,0.162533,0.942992,1.603539,0.661735,val
44,0.06545430,0.128560,0.952670,1.649291,0.674012,val
45,0.06387376,0.158672,0.942346,1.845946,0.647716,val
46,0.06227805,0.136584,0.949307,1.578605,0.684506,val
47,0.06066892,0.088243,0.963919,1.413689,0.690644,val
48,0.05904812,0.074052,0.969132,1.350287,0.695843,val
49,0.05741744,0.076388,0.969249,1.347212,0.693815,val
50,0.05577865,0.294535,0.903313,1.573294,0.627804,val
51,0.05413355,0.187983,0.936061,1.601471,0.664770,val
52,0.05248394,0.090034,0.964961,1.438408,0.695108,val
53,0.05083161,0.075003,0.969484,1.420001,0.674393,val
54,0.04917839,0.071854,0.970997,1.428216,0.673522,val
55,0.04752606,0.238791,0.919981,1.506224,0.639836,val
56,0.04587645,0.185727,0.937338,1.476029,0.681089,val
57,0.04423135,0.079683,0.968045,1.400776,0.691515,val
58,0.04259256,0.063822,0.973464,1.407482,0.690821,val
59,0.04096188,0.060071,0.975490,1.433702,0.675509,val
60,0.03934108,0.062954,0.975505,1.422011,0.683948,val
61,0.03773195,0.241380,0.920113,1.505987,0.671535,val
62,0.03613624,0.108957,0.960453,1.465024,0.683635,val
63,0.03455570,0.066843,0.972921,1.415360,0.693992,val
64,0.03299204,0.057706,0.975916,1.419308,0.691937,val
65,0.03144699,0.051368,0.979030,1.403747,0.700934,val
66,0.02992224,0.049338,0.979911,1.372412,0.689528,val
67,0.02841944,0.047933,0.980733,1.434049,0.690086,val
68,0.02694025,0.067181,0.975990,1.885256,0.630662,val
69,0.02548628,0.197605,0.933579,1.544232,0.684996,val
70,0.02405912,0.065994,0.973831,1.459468,0.694618,val
71,0.02266033,0.047717,0.980160,1.434790,0.692563,val
72,0.02129144,0.040243,0.983611,1.454195,0.674951,val
73,0.01995395,0.034647,0.985095,1.424457,0.688902,val
74,0.01864932,0.033561,0.986372,1.407800,0.691202,val
75,0.01737897,0.033366,0.986578,1.409520,0.694931,val
76,0.01614431,0.029728,0.987620,1.366688,0.693992,val
77,0.01494667,0.026852,0.988457,1.395031,0.694931,val
78,0.01378736,0.024906,0.989632,1.362882,0.697654,val
79,0.01266766,0.024575,0.990043,1.378389,0.699886,val
80,0.01158879,0.022844,0.990557,1.343407,0.695421,val
81,0.01055192,0.022016,0.990925,1.366854,0.698144,val
82,0.00955820,0.020550,0.991541,1.363983,0.697409,val
83,0.00860870,0.019529,0.992217,1.364165,0.694305,val
84,0.00770447,0.018312,0.992540,1.363859,0.693189,val
85,0.00684649,0.017630,0.992525,1.357757,0.697967,val
86,0.00603571,0.016769,0.993010,1.341052,0.697164,val
87,0.00527301,0.015698,0.993348,1.354273,0.690263,val
88,0.00455922,0.015047,0.993597,1.352051,0.695666,val
89,0.00389512,0.014279,0.993891,1.347567,0.693189,val
90,0.00328145,0.013644,0.994067,1.363291,0.695979,val
91,0.00271887,0.013326,0.994376,1.344806,0.692876,val
92,0.00220799,0.012968,0.994420,1.358227,0.696606,val
93,0.00174938,0.012780,0.994434,1.357402,0.696292,val
94,0.00134354,0.012359,0.994611,1.356293,0.692073,val
95,0.00099090,0.012149,0.994625,1.348112,0.695176,val
96,0.00069187,0.011830,0.995036,1.364199,0.694931,val
97,0.00044675,0.011776,0.994978,1.360960,0.693189,val
98,0.00025583,0.011583,0.995125,1.356025,0.695734,val
99,0.00011931,0.011658,0.995169,1.361011,0.699396,val
100,0.00003733,0.011527,0.995345,1.354128,0.694618,val
