epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.786250,0.101232,2.771432,0.077485,val
2,0.02008000,2.308663,0.250073,2.445654,0.310962,val
3,0.04006000,2.047869,0.308099,2.068233,0.349875,val
4,0.06004000,1.932224,0.337881,2.587806,0.197939,val
5,0.08002000,1.877510,0.355854,2.324463,0.286517,val
6,0.10000000,1.844391,0.359155,2.128996,0.326968,val
7,0.09997267,1.799999,0.380282,2.166124,0.366589,val
8,0.09989069,1.775466,0.379548,1.895812,0.324532,val
9,0.09975417,1.750699,0.392532,1.731552,0.417751,val
10,0.09956325,1.727741,0.397667,1.957142,0.325403,val
11,0.09931813,1.715041,0.407130,1.904256,0.342729,val
12,0.09901910,1.709238,0.404710,1.797372,0.375272,val
13,0.09866646,1.672053,0.417033,2.618501,0.183784,val
14,0.09826062,1.677948,0.413512,1.889447,0.363826,val
15,0.09780201,1.663239,0.422829,1.767279,0.398220,val
16,0.09729113,1.659579,0.426056,1.893330,0.383738,val
17,0.09672855,1.647606,0.429284,2.559340,0.184302,val
18,0.09611488,1.640064,0.429431,1.807743,0.379736,val
19,0.09545078,1.631031,0.441535,1.652567,0.422760,val
20,0.09473699,1.621967,0.438087,1.688750,0.441420,val
21,0.09397429,1.618159,0.441094,2.266795,0.303708,val
22,0.09316351,1.612086,0.444982,1.703062,0.431620,val
23,0.09230553,1.600404,0.442708,1.948309,0.380431,val
24,0.09140130,1.592040,0.450337,2.185191,0.339490,val
25,0.09045180,1.583073,0.453125,2.154976,0.355741,val
26,0.08945808,1.583200,0.453345,1.824247,0.377954,val
27,0.08842121,1.577215,0.455546,2.583738,0.268415,val
28,0.08734234,1.571135,0.456499,2.029358,0.321742,val
29,0.08622264,1.568053,0.459947,1.772758,0.396573,val
30,0.08506333,1.554778,0.463762,1.842597,0.368086,val
31,0.08386569,1.535239,0.473665,1.740245,0.422242,val
32,0.08263103,1.538085,0.471244,1.767469,0.423427,val
33,0.08136068,1.538082,0.469557,1.672714,0.417955,val
34,0.08005605,1.505388,0.479240,1.734681,0.419901,val
35,0.07871856,1.526352,0.470877,2.180187,0.295133,val
36,0.07734967,1.520610,0.475425,1.733138,0.407176,val
37,0.07595088,1.516530,0.478947,2.015524,0.382908,val
38,0.07452372,1.490604,0.485915,2.116303,0.346431,val
39,0.07306975,1.478080,0.488410,1.609171,0.461577,val
40,0.07159056,1.476552,0.492518,1.863143,0.407039,val
41,0.07008776,1.461046,0.496919,1.919453,0.377532,val
42,0.06856301,1.455993,0.496626,1.479303,0.499020,val
43,0.06701796,1.448470,0.504181,2.082866,0.389318,val
44,0.06545430,1.449453,0.500587,1.628840,0.451396,val
45,0.06387376,1.429025,0.504988,1.959900,0.390611,val
46,0.06227805,1.424452,0.503521,1.610741,0.464231,val
47,0.06066892,1.418068,0.515258,2.612436,0.211196,val
48,0.05904812,1.406905,0.515038,2.489821,0.217716,val
49,0.05741744,1.392852,0.520173,2.057140,0.331187,val
50,0.05577865,1.383652,0.523548,2.126370,0.331296,val
51,0.05413355,1.369421,0.532937,2.147269,0.328778,val
52,0.05248394,1.366323,0.531690,1.418784,0.525629,val
53,0.05083161,1.348213,0.533744,1.722354,0.432178,val
54,0.04917839,1.341865,0.538586,1.544413,0.525316,val
55,0.04752606,1.325007,0.545408,1.753638,0.438276,val
56,0.04587645,1.323740,0.543867,1.523506,0.492827,val
57,0.04423135,1.296712,0.557218,1.698479,0.468097,val
58,0.04259256,1.300376,0.550469,2.005202,0.365949,val
59,0.04096188,1.287752,0.557585,1.934463,0.423454,val
60,0.03934108,1.270078,0.565874,1.780422,0.442046,val
61,0.03773195,1.251654,0.571450,1.945651,0.402711,val
62,0.03613624,1.245362,0.570056,1.959438,0.403827,val
63,0.03455570,1.229466,0.577025,2.194055,0.346772,val
64,0.03299204,1.209881,0.585974,1.865109,0.407107,val
65,0.03144699,1.212999,0.584800,2.054904,0.372999,val
66,0.02992224,1.190615,0.591183,1.532211,0.512522,val
67,0.02841944,1.169291,0.603800,1.777215,0.426081,val
