epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.589966,0.238413,2.369239,0.309846,val
2,0.02008000,1.411928,0.526903,1.512080,0.544357,val
3,0.04006000,0.885761,0.713493,1.417618,0.645035,val
4,0.06004000,0.572258,0.818859,1.617636,0.663232,val
5,0.08002000,0.424565,0.864750,1.798549,0.615323,val
6,0.10000000,0.374669,0.880522,1.515341,0.663232,val
7,0.09997267,0.278762,0.911684,1.518311,0.671603,val
8,0.09989069,0.279975,0.909481,1.475968,0.667179,val
9,0.09975417,0.262994,0.914826,1.473287,0.671780,val
10,0.09956325,0.257110,0.915795,1.538978,0.657339,val
11,0.09931813,0.249733,0.918042,1.464168,0.680246,val
12,0.09901910,0.245868,0.919041,1.522043,0.667138,val
13,0.09866646,0.225152,0.925473,1.872867,0.616112,val
14,0.09826062,0.236202,0.923138,1.519829,0.664348,val
15,0.09780201,0.241151,0.918762,1.636387,0.672964,val
16,0.09729113,0.199159,0.932522,1.777580,0.645756,val
17,0.09672855,0.248601,0.917337,1.754113,0.663096,val
18,0.09611488,0.171277,0.942287,1.850542,0.652425,val
19,0.09545078,0.253926,0.916133,1.715871,0.673522,val
20,0.09473699,0.188982,0.935870,1.799833,0.658836,val
21,0.09397429,0.223420,0.925076,1.672441,0.674189,val
22,0.09316351,0.180909,0.937867,1.554439,0.654345,val
23,0.09230553,0.223094,0.924856,1.547178,0.662987,val
24,0.09140130,0.163093,0.944975,1.614239,0.671113,val
25,0.09045180,0.223771,0.924871,1.628360,0.641469,val
26,0.08945808,0.152550,0.947001,1.524709,0.672433,val
27,0.08842121,0.236871,0.919232,1.494299,0.667315,val
28,0.08734234,0.155550,0.946223,1.410210,0.692386,val
29,0.08622264,0.125540,0.954799,1.656333,0.648968,val
30,0.08506333,0.276194,0.907205,1.535285,0.677115,val
31,0.08386569,0.116995,0.957472,1.443483,0.683948,val
32,0.08263103,0.231104,0.921009,1.548294,0.651132,val
33,0.08136068,0.197809,0.933770,1.490283,0.685935,val
34,0.08005605,0.114199,0.958470,1.548236,0.673032,val
35,0.07871856,0.260386,0.913387,1.626486,0.655284,val
36,0.07734967,0.135205,0.951994,1.454560,0.683458,val
37,0.07595088,0.100370,0.962156,1.419240,0.682274,val
38,0.07452372,0.270659,0.909569,1.409554,0.677564,val
39,0.07306975,0.154796,0.947324,1.424693,0.698280,val
40,0.07159056,0.096633,0.962465,1.381935,0.685690,val
41,0.07008776,0.199736,0.930598,1.504244,0.626756,val
42,0.06856301,0.198712,0.931949,1.516985,0.691338,val
43,0.06701796,0.102659,0.961290,1.425885,0.698838,val
44,0.06545430,0.083995,0.966371,1.372824,0.696361,val
45,0.06387376,0.202711,0.930598,1.576151,0.609811,val
46,0.06227805,0.237295,0.921229,1.494358,0.688480,val
47,0.06066892,0.098768,0.962538,1.473704,0.691583,val
48,0.05904812,0.080236,0.968133,1.390470,0.699709,val
49,0.05741744,0.084597,0.968030,1.800976,0.646668,val
50,0.05577865,0.289352,0.905090,1.573889,0.675400,val
51,0.05413355,0.100270,0.961936,1.435688,0.689664,val
52,0.05248394,0.072128,0.970351,1.365401,0.684506,val
53,0.05083161,0.065006,0.974551,1.373582,0.683458,val
54,0.04917839,0.174677,0.941068,1.630555,0.598963,val
55,0.04752606,0.195281,0.935473,1.416507,0.684193,val
56,0.04587645,0.080895,0.968515,1.412218,0.689038,val
57,0.04423135,0.063363,0.974609,1.422844,0.683458,val
58,0.04259256,0.061606,0.976239,1.437024,0.683771,val
59,0.04096188,0.148281,0.950350,1.784461,0.635861,val
60,0.03934108,0.163009,0.945180,1.473537,0.692944,val
61,0.03773195,0.066917,0.973170,1.409087,0.695421,val
62,0.03613624,0.054275,0.978662,1.344243,0.699573,val
63,0.03455570,0.049359,0.980660,1.338126,0.699886,val
64,0.03299204,0.048993,0.981497,1.338079,0.702077,val
65,0.03144699,0.050365,0.982290,1.480233,0.678476,val
66,0.02992224,0.189914,0.938484,1.590592,0.663096,val
67,0.02841944,0.083530,0.969719,1.597612,0.689147,val
68,0.02694025,0.050008,0.980204,1.405261,0.690263,val
69,0.02548628,0.038318,0.985447,1.363354,0.698457,val
