epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.538596,0.255639,2.337346,0.304225,val,0.1
2,0.02008000,1.374075,0.541265,1.425891,0.575675,val,0.1
3,0.04006000,0.825370,0.738722,1.467746,0.640462,val,0.1
4,0.06004000,0.505537,0.841812,1.349362,0.668391,val,0.1
5,0.08002000,0.375111,0.882607,1.586345,0.676244,val,0.1
6,0.10000000,0.351110,0.887321,1.435052,0.684301,val,0.1
7,0.09997267,0.252171,0.917704,1.608706,0.629478,val,0.1
8,0.09989069,0.273064,0.910758,1.444446,0.674502,val,0.1
9,0.09975417,0.248815,0.919305,1.439074,0.660619,val,0.1
10,0.09956325,0.228599,0.925723,1.673419,0.625926,val,0.1
11,0.09931813,0.238275,0.920495,1.954572,0.637399,val,0.1
12,0.09901910,0.207355,0.930921,1.484094,0.663763,val,0.1
13,0.09866646,0.239545,0.920113,1.555144,0.659299,val,0.1
14,0.09826062,0.174640,0.939703,1.858482,0.605142,val,0.1
15,0.09780201,0.246041,0.918277,1.605608,0.665995,val,0.1
16,0.09729113,0.126230,0.954535,1.433040,0.661150,val,0.1
17,0.09672855,0.317277,0.895177,1.543263,0.645661,val,0.1
18,0.09611488,0.170983,0.940555,1.639820,0.628825,val,0.1
19,0.09545078,0.236046,0.920039,1.470197,0.648914,val,0.1
20,0.09473699,0.165793,0.941744,1.526063,0.667533,val,0.1
21,0.09397429,0.237584,0.919525,1.377920,0.667737,val,0.1
22,0.09316351,0.130427,0.952317,1.297802,0.684860,val,0.1
23,0.09230553,0.098256,0.961026,1.361065,0.690930,val,0.1
24,0.09140130,0.357226,0.883268,1.511917,0.656549,val,0.1
25,0.09045180,0.189520,0.935973,1.485411,0.674298,val,0.1
26,0.08945808,0.215550,0.926618,1.387403,0.666689,val,0.1
27,0.08842121,0.136344,0.950570,1.519242,0.678721,val,0.1
28,0.08734234,0.117501,0.956517,1.741216,0.640258,val,0.1
29,0.08622264,0.281067,0.907160,1.335804,0.684233,val,0.1
30,0.08506333,0.118048,0.956400,1.431790,0.686670,val,0.1
31,0.08386569,0.091769,0.963228,1.357928,0.679347,val,0.1
32,0.08263103,0.171590,0.939747,2.056336,0.493970,val,0.1
33,0.08136068,0.392024,0.875778,1.438132,0.670351,val,0.1
34,0.08005605,0.130553,0.952596,1.453441,0.669588,val,0.1
35,0.07871856,0.223579,0.922741,1.378749,0.663137,val,0.1
36,0.07734967,0.107923,0.959087,1.420574,0.690127,val,0.1
37,0.07595088,0.083670,0.965710,1.282203,0.689814,val,0.1
38,0.07452372,0.087222,0.965343,1.489458,0.669303,val,0.1
39,0.07306975,0.388278,0.875896,1.399340,0.664675,val,0.1
40,0.07159056,0.118575,0.956121,1.480325,0.682559,val,0.1
41,0.07008776,0.089461,0.964021,1.397551,0.679456,val,0.1
42,0.06856301,0.202588,0.930554,1.545055,0.598623,val,0.1
43,0.06701796,0.221862,0.925047,1.456002,0.662266,val,0.1
44,0.06545430,0.095772,0.962171,1.361311,0.685799,val,0.1
45,0.06387376,0.079977,0.966797,1.307162,0.694659,val,0.1
46,0.06227805,0.102934,0.961202,2.636300,0.422134,val,0.1
47,0.06066892,0.308845,0.900317,1.435985,0.672134,val,0.1
48,0.05904812,0.094329,0.963596,1.348327,0.683920,val,0.1
49,0.05741744,0.077112,0.968074,1.330395,0.684928,val,0.1
50,0.05577865,0.071589,0.971129,1.295743,0.683988,val,0.1
51,0.05413355,0.082257,0.968647,2.182265,0.540628,val,0.1
52,0.05248394,0.350037,0.886396,1.519328,0.652983,val,0.1
53,0.05083161,0.095816,0.962714,1.384262,0.684057,val,0.1
54,0.04917839,0.073202,0.969455,1.359256,0.684615,val,0.1
55,0.04752606,0.066298,0.972671,1.341423,0.681266,val,0.1
56,0.04587645,0.066058,0.973170,1.336694,0.688902,val,0.1
57,0.04423135,0.251039,0.918776,1.553517,0.640816,val,0.1
58,0.04259256,0.128377,0.954814,1.398455,0.680327,val,0.1
59,0.04096188,0.070108,0.971320,1.381119,0.684057,val,0.1
60,0.03934108,0.060085,0.974624,1.345930,0.683117,val,0.1
61,0.03773195,0.060518,0.975931,1.418202,0.680953,val,0.1
62,0.03613624,0.057076,0.977341,1.402149,0.679456,val,0.1
63,0.03455570,0.060176,0.976944,1.388488,0.675237,val,0.1
