epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.388186,0.297197,2.090417,0.364901,val,0.05
2,0.02008000,1.018389,0.667046,1.555317,0.623261,val,0.05
3,0.04006000,0.455361,0.857214,1.517750,0.675972,val,0.05
4,0.06004000,0.303910,0.903550,1.422315,0.703554,val,0.05
5,0.08002000,0.289212,0.907256,1.571625,0.667921,val,0.05
6,0.10000000,0.325114,0.894402,1.496491,0.663777,val,0.05
7,0.09997267,0.265708,0.913438,1.416746,0.697694,val,0.05
8,0.09989069,0.256460,0.915149,1.447331,0.656822,val,0.05
9,0.09975417,0.240532,0.920238,1.517473,0.648890,val,0.05
10,0.09956325,0.231716,0.923420,1.481055,0.693050,val,0.05
11,0.09931813,0.226721,0.923899,1.479089,0.677187,val,0.05
12,0.09901910,0.225688,0.924786,1.555278,0.665849,val,0.05
13,0.09866646,0.230745,0.921565,1.596643,0.655464,val,0.05
14,0.09826062,0.215143,0.927285,1.516319,0.649724,val,0.05
15,0.09780201,0.219942,0.925569,1.782440,0.632527,val,0.05
16,0.09729113,0.212953,0.927662,1.407496,0.686333,val,0.05
17,0.09672855,0.210653,0.927854,1.410761,0.688905,val,0.05
18,0.09611488,0.208227,0.928165,1.506504,0.675734,val,0.05
19,0.09545078,0.204097,0.930137,1.417670,0.681712,val,0.05
20,0.09473699,0.200641,0.931307,1.455883,0.683665,val,0.05
21,0.09397429,0.197532,0.932194,1.483214,0.708437,val,0.05
22,0.09316351,0.201229,0.930874,1.497778,0.655964,val,0.05
23,0.09230553,0.196818,0.932358,1.489078,0.679378,val,0.05
24,0.09140130,0.196654,0.932746,1.472752,0.683784,val,0.05
25,0.09045180,0.189711,0.934257,1.501664,0.687691,val,0.05
26,0.08945808,0.188513,0.935269,1.412614,0.657917,val,0.05
27,0.08842121,0.178088,0.938753,1.545761,0.642888,val,0.05
28,0.08734234,0.171772,0.940133,1.651159,0.679997,val,0.05
29,0.08622264,0.175539,0.938866,1.490407,0.695860,val,0.05
30,0.08506333,0.196451,0.932223,1.424865,0.667683,val,0.05
31,0.08386569,0.184024,0.936101,1.423314,0.694646,val,0.05
32,0.08263103,0.180282,0.936562,1.542354,0.677925,val,0.05
33,0.08136068,0.116912,0.956754,1.455614,0.696599,val,0.05
34,0.08005605,0.216307,0.926865,1.469038,0.690620,val,0.05
35,0.07871856,0.172750,0.939242,1.485822,0.681831,val,0.05
36,0.07734967,0.177681,0.937564,1.410003,0.698790,val,0.05
37,0.07595088,0.123768,0.954967,1.681671,0.669255,val,0.05
38,0.07452372,0.178432,0.937668,1.269438,0.731374,val,0.05
39,0.07306975,0.161465,0.942303,1.725630,0.594083,val,0.05
40,0.07159056,0.196411,0.933458,1.468444,0.685857,val,0.05
41,0.07008776,0.164391,0.942419,1.478822,0.687691,val,0.05
42,0.06856301,0.100662,0.961510,1.283071,0.711604,val,0.05
43,0.06701796,0.216929,0.926861,1.296397,0.691216,val,0.05
44,0.06545430,0.134633,0.952056,2.165848,0.577006,val,0.05
45,0.06387376,0.150052,0.947430,1.331338,0.720036,val,0.05
46,0.06227805,0.081257,0.966587,1.262589,0.727349,val,0.05
47,0.06066892,0.235688,0.922102,1.262734,0.705745,val,0.05
48,0.05904812,0.088664,0.964963,1.306682,0.711724,val,0.05
49,0.05741744,0.195630,0.933824,1.291814,0.710509,val,0.05
50,0.05577865,0.080991,0.967390,1.189450,0.718679,val,0.05
51,0.05413355,0.207812,0.930224,1.303345,0.699147,val,0.05
52,0.05248394,0.088254,0.965502,1.205983,0.716725,val,0.05
53,0.05083161,0.155499,0.945313,1.413829,0.645341,val,0.05
54,0.04917839,0.125526,0.955404,1.253345,0.720274,val,0.05
55,0.04752606,0.071792,0.970488,1.250267,0.717345,val,0.05
56,0.04587645,0.200676,0.933466,1.311123,0.701362,val,0.05
57,0.04423135,0.078691,0.968601,1.183532,0.723561,val,0.05
58,0.04259256,0.067102,0.972703,1.211435,0.717345,val,0.05
59,0.04096188,0.195378,0.934747,1.327517,0.712343,val,0.05
60,0.03934108,0.073191,0.970700,1.240467,0.716987,val,0.05
61,0.03773195,0.065583,0.973510,1.204045,0.716130,val,0.05
62,0.03613624,0.176920,0.940568,1.309841,0.695979,val,0.05
63,0.03455570,0.086247,0.967410,1.280554,0.714177,val,0.05
64,0.03299204,0.059460,0.975511,1.124543,0.705269,val,0.05
65,0.03144699,0.059197,0.976378,1.268588,0.701362,val,0.05
66,0.02992224,0.172720,0.942159,1.274045,0.729183,val,0.05
67,0.02841944,0.063029,0.973867,1.182799,0.720274,val,0.05
68,0.02694025,0.052795,0.978185,1.238664,0.722108,val,0.05
69,0.02548628,0.051658,0.979319,1.162776,0.706245,val,0.05
70,0.02405912,0.079925,0.971240,1.897306,0.539539,val,0.05
71,0.02266033,0.132805,0.953828,1.273706,0.714534,val,0.05
72,0.02129144,0.050933,0.978679,1.209233,0.731374,val,0.05
73,0.01995395,0.044354,0.981353,1.217379,0.717226,val,0.05
74,0.01864932,0.041819,0.982972,1.205695,0.720393,val,0.05
75,0.01737897,0.044349,0.982434,1.207349,0.726491,val,0.05
76,0.01614431,0.042952,0.983055,1.226009,0.715630,val,0.05
