epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.759613,0.146174,2.651332,0.221091,val,0.1
2,0.02008000,1.955800,0.349372,1.698966,0.424815,val,0.1
3,0.04006000,1.668298,0.445751,1.745458,0.437405,val,0.1
4,0.06004000,1.611709,0.471671,1.729691,0.440263,val,0.1
5,0.08002000,1.365181,0.547824,1.596997,0.478659,val,0.1
6,0.10000000,1.268752,0.577760,1.392915,0.552728,val,0.1
7,0.09997267,1.122365,0.626679,1.528292,0.524867,val,0.1
8,0.09989069,1.009597,0.670707,1.225078,0.622958,val,0.1
9,0.09975417,0.942673,0.691370,1.406641,0.565943,val,0.1
10,0.09956325,0.816245,0.739340,1.185859,0.638651,val,0.1
11,0.09931813,0.739804,0.758981,1.350628,0.614071,val,0.1
12,0.09901910,0.674995,0.782199,1.413690,0.581392,val,0.1
13,0.09866646,0.631319,0.795196,1.137207,0.666825,val,0.1
14,0.09826062,0.559460,0.821773,1.294676,0.633847,val,0.1
15,0.09780201,0.502860,0.835938,1.269012,0.658428,val,0.1
16,0.09729113,0.447446,0.852001,1.171754,0.675060,val,0.1
17,0.09672855,0.443776,0.854994,1.524419,0.616793,val,0.1
18,0.09611488,0.378070,0.877994,1.371030,0.665369,val,0.1
19,0.09545078,0.347798,0.888508,1.399682,0.677469,val,0.1
20,0.09473699,0.322448,0.897634,1.436849,0.661531,val,0.1
21,0.09397429,0.283549,0.910047,1.596354,0.670146,val,0.1
22,0.09316351,0.240712,0.922532,1.440881,0.684546,val,0.1
23,0.09230553,0.224919,0.926329,1.381272,0.701356,val,0.1
24,0.09140130,0.250901,0.919393,1.376095,0.679211,val,0.1
25,0.09045180,0.291387,0.901869,1.444110,0.651173,val,0.1
26,0.08945808,0.303507,0.899971,1.646705,0.654521,val,0.1
27,0.08842121,0.309142,0.900701,1.529160,0.654698,val,0.1
28,0.08734234,0.249255,0.916180,1.403457,0.684615,val,0.1
29,0.08622264,0.224100,0.925526,1.411306,0.672692,val,0.1
30,0.08506333,0.199804,0.933192,1.664257,0.674815,val,0.1
31,0.08386569,0.185831,0.935237,1.425211,0.687405,val,0.1
32,0.08263103,0.157341,0.943633,1.374080,0.704840,val,0.1
33,0.08136068,0.142846,0.948233,1.322786,0.704282,val,0.1
34,0.08005605,0.129519,0.951811,1.349961,0.722071,val,0.1
35,0.07871856,0.121989,0.954877,1.256102,0.713945,val,0.1
36,0.07734967,0.117006,0.953271,1.290029,0.720778,val,0.1
37,0.07595088,0.113312,0.954804,1.219082,0.714082,val,0.1
38,0.07452372,0.112603,0.954439,1.215099,0.723568,val,0.1
39,0.07306975,0.105852,0.957214,1.265103,0.728972,val,0.1
40,0.07159056,0.112225,0.955973,1.245298,0.703588,val,0.1
