epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.583474,0.221839,2.353399,0.309118,val,0.05
2,0.02008000,1.407601,0.527759,1.525659,0.574814,val,0.05
3,0.04006000,0.909396,0.706386,1.275396,0.631431,val,0.05
4,0.06004000,0.592620,0.812491,1.476288,0.610209,val,0.05
5,0.08002000,0.438439,0.859353,1.593001,0.669493,val,0.05
6,0.10000000,0.377308,0.879237,1.323351,0.672185,val,0.05
7,0.09997267,0.305269,0.903412,1.540110,0.650105,val,0.05
8,0.09989069,0.290982,0.905575,1.475051,0.653034,val,0.05
9,0.09975417,0.268633,0.912681,1.767828,0.645341,val,0.05
10,0.09956325,0.281501,0.908768,1.712086,0.620570,val,0.05
11,0.09931813,0.264403,0.913471,1.485757,0.672304,val,0.05
12,0.09901910,0.255826,0.917177,1.376298,0.657179,val,0.05
13,0.09866646,0.242303,0.920840,1.501607,0.661824,val,0.05
14,0.09826062,0.247904,0.918392,1.619287,0.680259,val,0.05
15,0.09780201,0.232521,0.923316,1.409289,0.688048,val,0.05
16,0.09729113,0.248243,0.918428,1.543465,0.673042,val,0.05
17,0.09672855,0.204044,0.932358,1.816621,0.658394,val,0.05
18,0.09611488,0.252671,0.917412,1.511675,0.664872,val,0.05
19,0.09545078,0.212143,0.929424,1.702336,0.633265,val,0.05
20,0.09473699,0.219756,0.927210,1.618880,0.631431,val,0.05
21,0.09397429,0.218834,0.927529,1.539183,0.670851,val,0.05
22,0.09316351,0.217868,0.927157,1.924415,0.633146,val,0.05
23,0.09230553,0.185998,0.937975,1.451604,0.673042,val,0.05
24,0.09140130,0.232031,0.922363,1.614021,0.658894,val,0.05
25,0.09045180,0.138579,0.952097,1.680890,0.667183,val,0.05
26,0.08945808,0.283986,0.906693,1.331391,0.678163,val,0.05
27,0.08842121,0.157619,0.945089,1.639295,0.656083,val,0.05
28,0.08734234,0.239327,0.920547,1.401191,0.690001,val,0.05
29,0.08622264,0.153998,0.946892,1.385806,0.673042,val,0.05
30,0.08506333,0.231841,0.922175,1.649890,0.668898,val,0.05
31,0.08386569,0.143204,0.948987,1.624438,0.663157,val,0.05
32,0.08263103,0.236012,0.921718,1.613876,0.672923,val,0.05
33,0.08136068,0.131544,0.953359,1.397663,0.701601,val,0.05
34,0.08005605,0.121756,0.955729,1.995229,0.550257,val,0.05
35,0.07871856,0.299560,0.901911,1.312157,0.697575,val,0.05
36,0.07734967,0.135484,0.952138,1.493707,0.663396,val,0.05
37,0.07595088,0.221551,0.925550,1.445623,0.680855,val,0.05
38,0.07452372,0.139187,0.951084,1.502458,0.689405,val,0.05
39,0.07306975,0.156516,0.944193,1.967583,0.589320,val,0.05
40,0.07159056,0.208172,0.929726,1.417434,0.714653,val,0.05
41,0.07008776,0.100079,0.961263,1.202184,0.711485,val,0.05
42,0.06856301,0.091072,0.964543,1.198330,0.707579,val,0.05
43,0.06701796,0.304052,0.900127,1.296794,0.673900,val,0.05
44,0.06545430,0.177203,0.940673,1.361222,0.704768,val,0.05
45,0.06387376,0.113793,0.957657,1.416020,0.694646,val,0.05
46,0.06227805,0.216184,0.925545,1.462654,0.700005,val,0.05
47,0.06066892,0.120408,0.956435,1.286733,0.694646,val,0.05
48,0.05904812,0.087505,0.965320,1.199625,0.704530,val,0.05
49,0.05741744,0.081191,0.967554,1.202459,0.709770,val,0.05
50,0.05577865,0.210669,0.929775,1.683585,0.584199,val,0.05
51,0.05413355,0.234671,0.924251,1.503070,0.672923,val,0.05
52,0.05248394,0.100792,0.961767,1.231604,0.709532,val,0.05
