epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.440920,0.280605,2.182556,0.345832,val,0.1
2,0.02008000,1.121329,0.628608,1.685974,0.589272,val,0.1
3,0.04006000,0.512718,0.839350,1.503268,0.686357,val,0.1
4,0.06004000,0.318306,0.898535,1.537727,0.686643,val,0.1
5,0.08002000,0.284957,0.908373,1.749188,0.677850,val,0.1
6,0.10000000,0.316558,0.897548,1.627481,0.645457,val,0.1
7,0.09997267,0.266670,0.913156,1.522923,0.654100,val,0.1
8,0.09989069,0.245718,0.919916,1.656656,0.651173,val,0.1
9,0.09975417,0.242259,0.920079,1.545006,0.650547,val,0.1
10,0.09956325,0.230484,0.923287,1.580526,0.667356,val,0.1
11,0.09931813,0.218826,0.926569,1.594531,0.677224,val,0.1
12,0.09901910,0.219710,0.926120,1.597545,0.673250,val,0.1
13,0.09866646,0.215452,0.927165,1.476437,0.669098,val,0.1
14,0.09826062,0.216044,0.927500,1.491837,0.672311,val,0.1
15,0.09780201,0.209071,0.928790,1.513326,0.676462,val,0.1
16,0.09729113,0.204637,0.930488,1.559928,0.668540,val,0.1
17,0.09672855,0.200655,0.932349,1.472579,0.681443,val,0.1
18,0.09611488,0.192329,0.933590,1.976766,0.647131,val,0.1
19,0.09545078,0.195761,0.933206,1.751404,0.623870,val,0.1
20,0.09473699,0.190320,0.934773,1.746488,0.669901,val,0.1
21,0.09397429,0.187450,0.935859,1.582222,0.669480,val,0.1
22,0.09316351,0.191511,0.934577,1.550570,0.675863,val,0.1
23,0.09230553,0.192607,0.933647,1.581220,0.678095,val,0.1
24,0.09140130,0.187734,0.935908,1.601382,0.698144,val,0.1
25,0.09045180,0.190690,0.934030,1.597573,0.640884,val,0.1
26,0.08945808,0.184389,0.937043,1.765359,0.634051,val,0.1
27,0.08842121,0.180988,0.937761,1.693343,0.654140,val,0.1
28,0.08734234,0.180074,0.938463,1.601057,0.661082,val,0.1
29,0.08622264,0.169563,0.941010,1.628727,0.659231,val,0.1
30,0.08506333,0.186180,0.935982,1.655342,0.686779,val,0.1
31,0.08386569,0.177692,0.938276,1.701318,0.632826,val,0.1
32,0.08263103,0.125015,0.954856,1.380611,0.693475,val,0.1
33,0.08136068,0.228772,0.922789,1.860277,0.634786,val,0.1
34,0.08005605,0.177073,0.938986,1.497905,0.670459,val,0.1
35,0.07871856,0.135567,0.951925,1.563554,0.671263,val,0.1
36,0.07734967,0.175094,0.939590,1.442654,0.691175,val,0.1
37,0.07595088,0.098812,0.962195,1.687296,0.648628,val,0.1
38,0.07452372,0.232720,0.922365,1.496881,0.668159,val,0.1
39,0.07306975,0.172223,0.940243,1.581313,0.680776,val,0.1
40,0.07159056,0.093756,0.963680,1.361810,0.685350,val,0.1
41,0.07008776,0.223394,0.925238,1.458970,0.666553,val,0.1
42,0.06856301,0.154401,0.946839,1.612994,0.636215,val,0.1
43,0.06701796,0.128411,0.953688,1.425353,0.684791,val,0.1
44,0.06545430,0.139172,0.950341,1.766986,0.592661,val,0.1
45,0.06387376,0.167986,0.942790,1.486365,0.691243,val,0.1
46,0.06227805,0.158396,0.944374,1.600349,0.670528,val,0.1
47,0.06066892,0.109032,0.959542,1.416575,0.695639,val,0.1
48,0.05904812,0.078639,0.968938,1.434138,0.679633,val,0.1
49,0.05741744,0.233743,0.922618,1.556939,0.701043,val,0.1
50,0.05577865,0.085863,0.966611,1.360166,0.708923,val,0.1
51,0.05413355,0.155713,0.944757,1.595037,0.623271,val,0.1
52,0.05248394,0.148363,0.948406,1.415915,0.696510,val,0.1
53,0.05083161,0.076568,0.969575,1.327205,0.704881,val,0.1
54,0.04917839,0.166913,0.942953,1.552336,0.642109,val,0.1
55,0.04752606,0.129269,0.954317,1.403381,0.691733,val,0.1
56,0.04587645,0.070802,0.971787,1.348126,0.696959,val,0.1
57,0.04423135,0.142668,0.950121,1.530912,0.633561,val,0.1
58,0.04259256,0.138149,0.951900,1.443597,0.704146,val,0.1
59,0.04096188,0.066111,0.972611,1.307248,0.704595,val,0.1
60,0.03934108,0.064526,0.974489,1.419310,0.688766,val,0.1
61,0.03773195,0.191782,0.935639,1.534282,0.687024,val,0.1
62,0.03613624,0.065699,0.973509,1.417277,0.696755,val,0.1
63,0.03455570,0.059468,0.976048,1.359460,0.691175,val,0.1
64,0.03299204,0.149767,0.948953,1.397400,0.678517,val,0.1
65,0.03144699,0.083327,0.968864,1.352997,0.704146,val,0.1
66,0.02992224,0.053987,0.977167,1.283264,0.708052,val,0.1
67,0.02841944,0.050080,0.979240,1.285750,0.696578,val,0.1
68,0.02694025,0.052067,0.979803,1.308349,0.696510,val,0.1
69,0.02548628,0.137569,0.953909,1.445986,0.674366,val,0.1
70,0.02405912,0.083336,0.968791,1.381986,0.701914,val,0.1
71,0.02266033,0.047625,0.979885,1.354111,0.700103,val,0.1
72,0.02129144,0.042590,0.982497,1.318058,0.707181,val,0.1
73,0.01995395,0.039619,0.983991,1.327744,0.691243,val,0.1
74,0.01864932,0.041163,0.984187,1.303053,0.695326,val,0.1
75,0.01737897,0.041875,0.984277,1.344207,0.693652,val,0.1
76,0.01614431,0.047787,0.982873,1.425154,0.685771,val,0.1
77,0.01494667,0.091550,0.969272,1.491188,0.701220,val,0.1
78,0.01378736,0.049018,0.980963,1.430043,0.705439,val,0.1
79,0.01266766,0.034031,0.985836,1.394458,0.689501,val,0.1
80,0.01158879,0.028341,0.988236,1.362535,0.696265,val,0.1
81,0.01055192,0.025764,0.989616,1.328508,0.698742,val,0.1
82,0.00955820,0.022478,0.991110,1.299718,0.704459,val,0.1
83,0.00860870,0.020114,0.992139,1.294445,0.702404,val,0.1
84,0.00770447,0.017950,0.993077,1.296028,0.702472,val,0.1
85,0.00684649,0.016258,0.993951,1.281325,0.700730,val,0.1
86,0.00603571,0.014250,0.994898,1.289884,0.703588,val,0.1
87,0.00527301,0.012454,0.995551,1.269088,0.704881,val,0.1
88,0.00455922,0.011180,0.996179,1.276346,0.705507,val,0.1
89,0.00389512,0.009934,0.996645,1.281989,0.703275,val,0.1
90,0.00328145,0.008790,0.996963,1.267683,0.700730,val,0.1
91,0.00271887,0.007697,0.997412,1.257840,0.702649,val,0.1
92,0.00220799,0.006944,0.997437,1.265206,0.701533,val,0.1
93,0.00174938,0.006670,0.997567,1.251028,0.704078,val,0.1
94,0.00134354,0.006347,0.997673,1.249445,0.704078,val,0.1
95,0.00099090,0.006279,0.997624,1.268220,0.705820,val,0.1
96,0.00069187,0.006118,0.997722,1.257313,0.706623,val,0.1
97,0.00044675,0.006061,0.997837,1.259007,0.701846,val,0.1
98,0.00025583,0.006043,0.997755,1.265768,0.713387,val,0.1
99,0.00011931,0.005935,0.997877,1.258527,0.704146,val,0.1
100,0.00003733,0.005859,0.997902,1.253953,0.704391,val,0.1
