epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.826764,0.066963,2.815030,0.102289,val
2,0.01004000,2.281001,0.247355,1.948369,0.347929,val
3,0.02003000,1.843667,0.373407,1.813685,0.384175,val
4,0.03002000,1.691732,0.422835,1.801712,0.389172,val
5,0.04001000,1.607025,0.452175,1.580577,0.457667,val
6,0.05000000,1.546072,0.475286,1.535282,0.480105,val
7,0.04998633,1.468053,0.504984,1.440491,0.510265,val
8,0.04994535,1.404490,0.524530,1.402045,0.526617,val
9,0.04987710,1.356421,0.542719,1.438552,0.528525,val
10,0.04978165,1.312325,0.557853,1.368839,0.546602,val
11,0.04965910,1.275086,0.572784,1.404590,0.536973,val
12,0.04950960,1.241328,0.584804,1.313852,0.567133,val
13,0.04933330,1.214240,0.593280,1.331324,0.558412,val
14,0.04913040,1.189468,0.602584,1.271743,0.587209,val
15,0.04890111,1.160252,0.612255,1.283578,0.575945,val
16,0.04864570,1.136064,0.622569,1.273112,0.583031,val
17,0.04836444,1.112334,0.630198,1.243978,0.591933,val
18,0.04805763,1.093449,0.634630,1.201417,0.604651,val
19,0.04772562,1.073489,0.641350,1.221482,0.603743,val
20,0.04736876,1.053485,0.648907,1.254426,0.595113,val
21,0.04698745,1.033082,0.653809,1.192070,0.617460,val
22,0.04658210,1.017391,0.660151,1.196275,0.606741,val
23,0.04615315,1.001804,0.666044,1.201260,0.615189,val
24,0.04570108,0.981932,0.672958,1.228906,0.612191,val
25,0.04522638,0.966798,0.676491,1.212203,0.614644,val
26,0.04472957,0.953542,0.680954,1.276890,0.600018,val
27,0.04421119,0.932917,0.687735,1.182038,0.633358,val
28,0.04367180,0.922876,0.692759,1.144192,0.642714,val
29,0.04311201,0.905349,0.697621,1.261294,0.600472,val
30,0.04253241,0.891189,0.701062,1.165654,0.627362,val
31,0.04193365,0.875927,0.706199,1.191551,0.623728,val
32,0.04131638,0.859161,0.710294,1.174820,0.633630,val
33,0.04068127,0.844900,0.716228,1.142142,0.638445,val
34,0.04002902,0.831085,0.721804,1.173653,0.637900,val
35,0.03936034,0.813075,0.725807,1.153918,0.645076,val
36,0.03867597,0.801248,0.729432,1.139795,0.655069,val
37,0.03797664,0.787472,0.734814,1.198836,0.640625,val
38,0.03726314,0.773935,0.737949,1.189520,0.627725,val
39,0.03653622,0.754312,0.745210,1.203417,0.648074,val
40,0.03579670,0.740080,0.749929,1.173703,0.646530,val
41,0.03504538,0.726948,0.754381,1.168302,0.657976,val
42,0.03428308,0.712202,0.758599,1.167516,0.654706,val
43,0.03351063,0.694980,0.764165,1.185767,0.653070,val
44,0.03272888,0.678005,0.769067,1.147321,0.664789,val
45,0.03193869,0.666530,0.773295,1.162718,0.664062,val
46,0.03114091,0.650983,0.777747,1.193436,0.658612,val
47,0.03033642,0.636380,0.781475,1.172689,0.659611,val
48,0.02952611,0.619097,0.788266,1.145250,0.678052,val
49,0.02871085,0.601512,0.794771,1.188365,0.667969,val
50,0.02789154,0.584398,0.798979,1.148196,0.679052,val
51,0.02706907,0.575870,0.803666,1.166122,0.673783,val
52,0.02624435,0.554352,0.811346,1.241211,0.665153,val
53,0.02541827,0.541012,0.814512,1.185026,0.677689,val
54,0.02459173,0.518915,0.821538,1.236200,0.674509,val
55,0.02376565,0.509760,0.826256,1.197011,0.685411,val
56,0.02294093,0.489463,0.832281,1.222924,0.687046,val
57,0.02211846,0.475856,0.835784,1.248030,0.673238,val
58,0.02129915,0.459586,0.842494,1.269250,0.683049,val
59,0.02048389,0.441754,0.847069,1.222764,0.689044,val
60,0.01967358,0.421134,0.854759,1.251480,0.693859,val
61,0.01886909,0.409803,0.858313,1.285815,0.681959,val
62,0.01807131,0.392707,0.863777,1.244661,0.696039,val
63,0.01728112,0.379674,0.868546,1.298502,0.691770,val
64,0.01649937,0.360871,0.874939,1.326718,0.690134,val
65,0.01572692,0.347751,0.879575,1.260231,0.702217,val
66,0.01496462,0.327523,0.886264,1.289985,0.707940,val
67,0.01421330,0.312820,0.890829,1.329156,0.703761,val
68,0.01347378,0.294617,0.897682,1.323828,0.706214,val
69,0.01274686,0.278364,0.902492,1.358010,0.712936,val
70,0.01203336,0.264944,0.907363,1.365643,0.704942,val
71,0.01133403,0.248234,0.912663,1.384688,0.707395,val
72,0.01064966,0.235903,0.917637,1.383413,0.711846,val
73,0.00998098,0.220424,0.922028,1.419534,0.713663,val
74,0.00932873,0.205091,0.927451,1.442231,0.709121,val
75,0.00869362,0.197334,0.929626,1.452953,0.714026,val
76,0.00807635,0.181900,0.935110,1.497017,0.715752,val
77,0.00747759,0.171036,0.938266,1.473836,0.718932,val
78,0.00689799,0.158527,0.943229,1.524867,0.719023,val
79,0.00633820,0.148131,0.946906,1.517854,0.721384,val
80,0.00579881,0.135383,0.950980,1.512339,0.720022,val
81,0.00528043,0.128571,0.953401,1.539140,0.720839,val
82,0.00478362,0.120763,0.955750,1.540669,0.724019,val
83,0.00430892,0.113140,0.958435,1.541191,0.723837,val
84,0.00385685,0.106738,0.960141,1.535885,0.722838,val
85,0.00342790,0.102554,0.961479,1.589338,0.720385,val
86,0.00302255,0.097491,0.963695,1.578143,0.723292,val
87,0.00264124,0.092460,0.965359,1.581003,0.722475,val
88,0.00228438,0.088867,0.966371,1.558733,0.726562,val
89,0.00195237,0.084884,0.967719,1.573722,0.725927,val
90,0.00164556,0.082704,0.968515,1.568245,0.726381,val
91,0.00136430,0.079359,0.970333,1.545453,0.725836,val
92,0.00110889,0.077084,0.970598,1.567336,0.726653,val
93,0.00087960,0.075858,0.970782,1.601741,0.723746,val
94,0.00067670,0.073379,0.971671,1.570860,0.726744,val
95,0.00050040,0.072405,0.972089,1.577621,0.726744,val
96,0.00035090,0.070665,0.972845,1.578346,0.728107,val
97,0.00022835,0.069871,0.973009,1.592989,0.726653,val
98,0.00013290,0.069400,0.973785,1.562447,0.728743,val
99,0.00006465,0.068825,0.973437,1.578255,0.728743,val
100,0.00002367,0.068513,0.974112,1.584295,0.727743,val
